EnergyCarrier,GeographicGranularity,TimeGranularity,Comment
COKING_COAL,SUBGEOGRAPHY1,YEAR,Needs to be given only for physical PECs
STEAM_COAL,SUBGEOGRAPHY1,YEAR,
CRUDE,MODELGEOGRAPHY,YEAR,
NATGAS,MODELGEOGRAPHY,YEAR,
BIOGAS,MODELGEOGRAPHY,YEAR,
BIOMASS,MODELGEOGRAPHY,YEAR,
