InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,EffectiveCapacity
2020,EG_COAL,2021,INDIA,ER,48.041698
2020,EG_COAL,2021,INDIA,WR,106.93611800000001
2020,EG_COAL,2021,INDIA,NR,48.767043
2020,EG_COAL,2021,INDIA,SR,52.025611000000005
2020,EG_COAL,2021,INDIA,NER,0.9068
2020,EG_COAL,2022,INDIA,ER,48.041698
2020,EG_COAL,2022,INDIA,WR,106.93611800000001
2020,EG_COAL,2022,INDIA,NR,48.767043
2020,EG_COAL,2022,INDIA,SR,52.025611000000005
2020,EG_COAL,2022,INDIA,NER,0.9068
2020,EG_COAL,2023,INDIA,ER,47.911697999999994
2020,EG_COAL,2023,INDIA,WR,106.93611800000001
2020,EG_COAL,2023,INDIA,NR,48.767043
2020,EG_COAL,2023,INDIA,SR,51.343611
2020,EG_COAL,2023,INDIA,NER,0.9068
2020,EG_COAL,2024,INDIA,ER,47.911697999999994
2020,EG_COAL,2024,INDIA,WR,106.93611800000001
2020,EG_COAL,2024,INDIA,NR,48.767043
2020,EG_COAL,2024,INDIA,SR,51.343611
2020,EG_COAL,2024,INDIA,NER,0.9068
2020,EG_COAL,2025,INDIA,ER,47.911697999999994
2020,EG_COAL,2025,INDIA,WR,106.93611800000001
2020,EG_COAL,2025,INDIA,NR,48.767043
2020,EG_COAL,2025,INDIA,SR,51.343611
2020,EG_COAL,2025,INDIA,NER,0.9068
2020,EG_COAL,2026,INDIA,ER,47.911697999999994
2020,EG_COAL,2026,INDIA,WR,106.93611800000001
2020,EG_COAL,2026,INDIA,NR,48.767043
2020,EG_COAL,2026,INDIA,SR,51.223611000000005
2020,EG_COAL,2026,INDIA,NER,0.9068
2020,EG_COAL,2027,INDIA,ER,45.396697999999994
2020,EG_COAL,2027,INDIA,WR,105.691118
2020,EG_COAL,2027,INDIA,NR,46.428043
2020,EG_COAL,2027,INDIA,SR,44.21361100000001
2020,EG_COAL,2027,INDIA,NER,0.9068
2020,EG_COAL,2028,INDIA,ER,45.396697999999994
2020,EG_COAL,2028,INDIA,WR,105.691118
2020,EG_COAL,2028,INDIA,NR,46.428043
2020,EG_COAL,2028,INDIA,SR,44.09361100000001
2020,EG_COAL,2028,INDIA,NER,0.9068
2020,EG_COAL,2029,INDIA,ER,45.396697999999994
2020,EG_COAL,2029,INDIA,WR,105.691118
2020,EG_COAL,2029,INDIA,NR,46.228043
2020,EG_COAL,2029,INDIA,SR,44.09361100000001
2020,EG_COAL,2029,INDIA,NER,0.9068
2020,EG_COAL,2030,INDIA,ER,45.396697999999994
2020,EG_COAL,2030,INDIA,WR,104.761118
2020,EG_COAL,2030,INDIA,NR,46.028043
2020,EG_COAL,2030,INDIA,SR,44.09361100000001
2020,EG_COAL,2030,INDIA,NER,0.9068
2020,EG_COAL,2031,INDIA,ER,45.396697999999994
2020,EG_COAL,2031,INDIA,WR,104.761118
2020,EG_COAL,2031,INDIA,NR,45.828042999999994
2020,EG_COAL,2031,INDIA,SR,44.09361100000001
2020,EG_COAL,2031,INDIA,NER,0.9068
