EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,ImpSupplyFromTo
COKING_COAL,2024,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2024,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2024,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,INDIA,SR,1.1068646789153185
COKING_COAL,2024,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2024,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2024,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2024,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,INDIA,ER,52.47061321846168
COKING_COAL,2025,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2025,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2025,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2025,,,,INDIA,WR,INDIA,WR,3.5787394649229305
COKING_COAL,2025,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2025,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2025,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2025,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2025,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2025,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2025,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,INDIA,SR,1.1700703957913732
COKING_COAL,2025,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2025,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2025,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2025,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,INDIA,ER,54.72248160964146
COKING_COAL,2026,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2026,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2026,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2026,,,,INDIA,WR,INDIA,WR,3.7860195684147393
COKING_COAL,2026,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2026,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2026,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2026,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2026,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2026,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2026,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,INDIA,SR,1.2361487139990472
COKING_COAL,2026,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2026,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2026,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,NER,INDIA,SR,0.0
