Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51405.378385515854
2025,57385.60602359378
2026,58342.44244635447
2027,58342.44244635447
2028,61013.24225112245
2029,108401.49955448456
2030,148797.83078867377
2031,148797.83078867377
