Year,AnnualECTCost
2021,4868628.896908628
2022,5065895.4380729655
2023,5387304.366518354
2024,5617038.602876053
2025,5949043.882755294
2026,6141147.676207717
2027,6231350.204105317
2028,6460259.908512452
2029,6855098.847069823
2030,7085635.512971733
2031,7281504.748222404
