Year,AnnualCarrierCost
2021,20837747.50618514
2022,22214641.928623155
2023,23568680.936650608
2024,24840828.433664624
2025,26150266.012694195
2026,27458837.461543735
2027,28841794.421925943
2028,30320128.97001705
2029,32052107.918817922
2030,33857785.49547779
2031,35701926.2793125
