Year,AnnualECTCost
2021,4852024.2703654235
2022,5058628.813019515
2023,5355278.031562671
2024,5583710.145602701
2025,5911351.043739167
2026,6141637.949158042
2027,6302945.012105287
2028,6557927.784541486
2029,6962048.083894632
2030,7229216.235990041
2031,7409585.200707793
