Year,AnnualCost
2021,25785774.07290896
2022,27699893.47499828
2023,29522118.168224704
2024,31083177.28865588
2025,32762026.05824837
2026,34291760.61826424
2027,35874517.0954088
2028,37636903.475178696
2029,39879676.11216089
2030,42000016.858067155
2031,44200853.773053154
