Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51377.68058436
2025,57344.059321860004
2026,58298.679919860006
2027,64338.54176383018
2028,67306.09709997804
2029,119959.71632500668
2030,179276.56833732457
2031,179276.56833732457
