Year,ModelGeography,SubGeography1,SubGeography2,GDP
2021,INDIA,NR,PB,5535453.115
2021,INDIA,SR,TS,8030451.266
2021,INDIA,SR,KA,14903122.63
2021,INDIA,NR,UK,2291864.345
2021,INDIA,WR,MP,7354858.461
2021,INDIA,NER,AS,3269184.98
2021,INDIA,ER,JH,2958572.915
2021,INDIA,ER,SK,266231.8028
2021,INDIA,SR,KL,6701935.894
2021,INDIA,NR,UP,14196175.34
2021,INDIA,NER,NE,1853565.938
2021,INDIA,ER,OD,5059390.132
2021,INDIA,WR,MH,24615109.58
2021,INDIA,ER,WB,10328070.23
2021,INDIA,NR,RJ,8600441.674
2021,INDIA,SR,TN,17226942.86
2021,INDIA,ER,BR,5470509.088
2021,INDIA,NR,DL,7356875.687
2021,INDIA,SR,AP,8733382.21
2021,INDIA,WR,GA,703023.9689
2021,INDIA,NR,HR,6986294.063
2021,INDIA,WR,GJ,16210995.02
2021,INDIA,NR,JK,1520197.907
2021,INDIA,NR,HP,1495867.821
2021,INDIA,WR,CG,3197903.037
2022,INDIA,NR,RJ,9284817.551
2022,INDIA,SR,KL,7265512.694
2022,INDIA,NR,JK,1639861.032
2022,INDIA,NR,HR,7673293.627
2022,INDIA,WR,GA,743531.6948
2022,INDIA,ER,OD,5540247.892
2022,INDIA,NER,AS,3561894.437
2022,INDIA,WR,MP,8053975.406
2022,INDIA,NR,PB,5984536.101
2022,INDIA,ER,WB,11139894.31
2022,INDIA,WR,CG,3460701.221
2022,INDIA,NR,HP,1628025.126
2022,INDIA,WR,MH,26731181.8
2022,INDIA,SR,TN,18751747.11
2022,INDIA,SR,TS,8806585.498
2022,INDIA,WR,GJ,18006953.64
2022,INDIA,ER,JH,3206399.647
2022,INDIA,ER,SK,291383.0629
2022,INDIA,SR,AP,9545458.896
2022,INDIA,SR,KA,16398273.57
2022,INDIA,NR,UK,2496968.583
2022,INDIA,ER,BR,5942016.139
2022,INDIA,NR,DL,8036158.977
2022,INDIA,NR,UP,15388579.54
2022,INDIA,NER,NE,2019347.17
2023,INDIA,WR,MP,8629686.233
2023,INDIA,ER,BR,6336672.815
2023,INDIA,ER,WB,11796803.13
2023,INDIA,SR,KA,17651044.65
2023,INDIA,ER,SK,312052.9106
2023,INDIA,NR,JK,1736742.109
2023,INDIA,SR,TS,9449185.283
2023,INDIA,NER,AS,3798168.331
2023,INDIA,NR,HR,8245268.999
2023,INDIA,NR,PB,6350948.266
2023,INDIA,ER,JH,3411728.005
2023,INDIA,NR,UK,2662500.387
2023,INDIA,NR,RJ,9841184.335
2023,INDIA,WR,GJ,19478888.72
2023,INDIA,NR,DL,8590193.856
2023,INDIA,NR,UP,16377480.31
2023,INDIA,ER,OD,5936209.005
2023,INDIA,NER,NE,2155002.863
2023,INDIA,NR,HP,1734214.747
2023,INDIA,SR,KL,7733100.167
2023,INDIA,SR,AP,10209356.01
