ModelGeography,Year,AIR
INDIA,2016,50707758000.00001
INDIA,2017,55351710000.00001
INDIA,2018,60937540000.00001
INDIA,2019,64370276000.00001
INDIA,2020,60981552000
INDIA,2021,7840052000.000001
INDIA,2022,21951112000.000004
INDIA,2023,22987278000
INDIA,2024,24072354000
INDIA,2025,24956563500.000004
INDIA,2026,26093735930.850525
INDIA,2027,27276036214.006176
INDIA,2028,28503803338.016296
INDIA,2029,29777018608.986137
INDIA,2030,31095210411.70411
INDIA,2031,32457337785.089577
INDIA,2032,33861644492.341755
INDIA,2033,35305495782.07185
INDIA,2034,36785158188.11105
INDIA,2035,38295555425.9594
INDIA,2036,39829952044.72448
INDIA,2037,41379580562.49559
INDIA,2038,42933190317.116165
INDIA,2039,44476493714.23222
INDIA,2040,45991499143.84678
INDIA,2041,47455700400.00001
