Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51405.378385515854
2025,57385.60602359378
2026,58342.44244635447
2027,60018.41577999696
2028,60018.41577999696
2029,103517.96390338067
2030,168766.501118361
2031,168766.501118361
