Year,AnnualCost
2021,25705963.626089454
2022,27687891.717045438
2023,29703742.062555093
2024,31276938.784663685
2025,32966609.274771452
2026,34503071.87796056
2027,36068029.09777764
2028,37841713.49096533
2029,40105026.01666134
2030,42251437.912575744
2031,44526454.743326835
