Year,AnnualECTCost
2021,4852795.939015115
2022,5061396.067995588
2023,5365530.775773693
2024,5595597.114321099
2025,5936849.884052626
2026,6160561.368362722
2027,6324411.97089895
2028,6570398.878054866
2029,6996498.064319972
2030,7248324.867056335
2031,7426226.247725838
