EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,OPC_CCUS,PETCOKE,2029,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2029,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2029,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2029,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2029,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2029,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2029,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2029,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2030,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2030,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2030,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2030,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2030,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2030,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2030,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2030,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2030,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2031,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2031,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2031,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2031,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2031,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2031,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2031,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2031,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2031,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2032,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2032,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2032,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2032,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2032,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2032,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2032,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2032,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2032,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2033,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2033,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2033,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2033,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2033,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2033,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2033,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2033,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2033,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2034,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2034,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2034,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2034,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2034,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2034,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2034,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2034,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2034,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2035,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2035,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2035,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2035,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2035,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2035,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2035,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2035,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2035,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2036,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2036,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2036,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2036,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2036,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2036,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2036,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2036,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2036,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2037,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2037,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2037,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2037,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2037,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2037,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2037,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2037,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2037,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2038,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2038,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2038,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2038,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2038,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2038,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2038,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2038,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2038,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2039,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2039,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2039,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2039,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2039,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2039,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2039,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2039,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2039,GHG,129.2306701,129.2306701
