EnergyService,EnergyCarrier,ModelGeography,Year,EnergyDemand
GH2_OTHER_USES,GREEN_H2,INDIA,2024,8.342814617
GH2_OTHER_USES,GREEN_H2,INDIA,2025,17.01814664
GH2_OTHER_USES,GREEN_H2,INDIA,2026,34.71458113
GH2_OTHER_USES,GREEN_H2,INDIA,2027,70.81277233
GH2_OTHER_USES,GREEN_H2,INDIA,2028,144.447911
GH2_OTHER_USES,GREEN_H2,INDIA,2029,294.653045
GH2_OTHER_USES,GREEN_H2,INDIA,2030,601.05
GH2_OTHER_USES,GREEN_H2,INDIA,2031,675.880725
GH2_OTHER_USES,GREEN_H2,INDIA,2032,750.71145
GH2_OTHER_USES,GREEN_H2,INDIA,2033,825.542175
GH2_OTHER_USES,GREEN_H2,INDIA,2034,900.3729
GH2_OTHER_USES,GREEN_H2,INDIA,2035,975.203625
GH2_OTHER_USES,GREEN_H2,INDIA,2036,1050.03435
GH2_OTHER_USES,GREEN_H2,INDIA,2037,1124.865075
GH2_OTHER_USES,GREEN_H2,INDIA,2038,1199.6958
GH2_OTHER_USES,GREEN_H2,INDIA,2039,1274.526525
GH2_OTHER_USES,GREEN_H2,INDIA,2040,1349.35725
GH2_OTHER_USES,GREEN_H2,INDIA,2041,1424.187975
