ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,LPG
RURAL,Q1,INDIA,NR,JK,2021,4607.10289
RURAL,Q1,INDIA,NR,JK,2022,4560.164298
RURAL,Q1,INDIA,NR,JK,2023,4513.703931
RURAL,Q1,INDIA,NR,JK,2024,4467.716916
RURAL,Q1,INDIA,NR,JK,2025,4422.198431
RURAL,Q1,INDIA,NR,JK,2026,4377.143703
RURAL,Q1,INDIA,NR,JK,2027,4332.548006
RURAL,Q1,INDIA,NR,JK,2028,4288.406664
RURAL,Q1,INDIA,NR,JK,2029,4244.715048
RURAL,Q1,INDIA,NR,JK,2030,4201.468575
RURAL,Q1,INDIA,NR,JK,2031,4158.662711
RURAL,Q1,INDIA,NR,HP,2021,4413.416964
RURAL,Q1,INDIA,NR,HP,2022,4390.373264
RURAL,Q1,INDIA,NR,HP,2023,4367.449882
RURAL,Q1,INDIA,NR,HP,2024,4344.646189
RURAL,Q1,INDIA,NR,HP,2025,4321.96156
RURAL,Q1,INDIA,NR,HP,2026,4299.395375
RURAL,Q1,INDIA,NR,HP,2027,4276.947014
RURAL,Q1,INDIA,NR,HP,2028,4254.615862
RURAL,Q1,INDIA,NR,HP,2029,4232.401308
RURAL,Q1,INDIA,NR,HP,2030,4210.302742
RURAL,Q1,INDIA,NR,HP,2031,4188.319559
RURAL,Q1,INDIA,NR,PB,2021,4763.371513
RURAL,Q1,INDIA,NR,PB,2022,4763.371513
RURAL,Q1,INDIA,NR,PB,2023,4763.371513
RURAL,Q1,INDIA,NR,PB,2024,4763.371513
RURAL,Q1,INDIA,NR,PB,2025,4763.371513
RURAL,Q1,INDIA,NR,PB,2026,4763.371513
RURAL,Q1,INDIA,NR,PB,2027,4763.371513
RURAL,Q1,INDIA,NR,PB,2028,4763.371513
RURAL,Q1,INDIA,NR,PB,2029,4763.371513
RURAL,Q1,INDIA,NR,PB,2030,4763.371513
RURAL,Q1,INDIA,NR,PB,2031,4763.371513
RURAL,Q1,INDIA,WR,UT,2021,3655.983753
RURAL,Q1,INDIA,WR,UT,2022,3655.983753
RURAL,Q1,INDIA,WR,UT,2023,3655.983753
RURAL,Q1,INDIA,WR,UT,2024,3655.983753
RURAL,Q1,INDIA,WR,UT,2025,3655.983753
RURAL,Q1,INDIA,WR,UT,2026,3655.983753
RURAL,Q1,INDIA,WR,UT,2027,3655.983753
RURAL,Q1,INDIA,WR,UT,2028,3655.983753
RURAL,Q1,INDIA,WR,UT,2029,3655.983753
RURAL,Q1,INDIA,WR,UT,2030,3655.983753
RURAL,Q1,INDIA,WR,UT,2031,3655.983753
RURAL,Q1,INDIA,NR,UK,2021,4637.224414
RURAL,Q1,INDIA,NR,UK,2022,4631.602881
RURAL,Q1,INDIA,NR,UK,2023,4625.988164
RURAL,Q1,INDIA,NR,UK,2024,4620.380253
RURAL,Q1,INDIA,NR,UK,2025,4614.77914
RURAL,Q1,INDIA,NR,UK,2026,4609.184817
RURAL,Q1,INDIA,NR,UK,2027,4603.597276
RURAL,Q1,INDIA,NR,UK,2028,4598.016509
