ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,LPG
RURAL,Q1,INDIA,NR,UK,2029,4592.442507
RURAL,Q1,INDIA,NR,UK,2030,4586.875262
RURAL,Q1,INDIA,NR,UK,2031,4581.314766
RURAL,Q1,INDIA,NR,HR,2021,4945.07366
RURAL,Q1,INDIA,NR,HR,2022,4945.07366
RURAL,Q1,INDIA,NR,HR,2023,4945.07366
RURAL,Q1,INDIA,NR,HR,2024,4945.07366
RURAL,Q1,INDIA,NR,HR,2025,4945.07366
RURAL,Q1,INDIA,NR,HR,2026,4945.07366
RURAL,Q1,INDIA,NR,HR,2027,4945.07366
RURAL,Q1,INDIA,NR,HR,2028,4945.07366
RURAL,Q1,INDIA,NR,HR,2029,4945.07366
RURAL,Q1,INDIA,NR,HR,2030,4945.07366
RURAL,Q1,INDIA,NR,HR,2031,4945.07366
RURAL,Q1,INDIA,NR,DL,2021,5196.960312
RURAL,Q1,INDIA,NR,DL,2022,5196.960312
RURAL,Q1,INDIA,NR,DL,2023,5196.960312
RURAL,Q1,INDIA,NR,DL,2024,5196.960312
RURAL,Q1,INDIA,NR,DL,2025,5196.960312
RURAL,Q1,INDIA,NR,DL,2026,5196.960312
RURAL,Q1,INDIA,NR,DL,2027,5196.960312
RURAL,Q1,INDIA,NR,DL,2028,5196.960312
RURAL,Q1,INDIA,NR,DL,2029,5196.960312
RURAL,Q1,INDIA,NR,DL,2030,5196.960312
RURAL,Q1,INDIA,NR,DL,2031,5196.960312
RURAL,Q1,INDIA,NR,RJ,2021,3843.217835
RURAL,Q1,INDIA,NR,RJ,2022,3770.098039
RURAL,Q1,INDIA,NR,RJ,2023,3698.369396
RURAL,Q1,INDIA,NR,RJ,2024,3628.005438
RURAL,Q1,INDIA,NR,RJ,2025,3558.980202
RURAL,Q1,INDIA,NR,RJ,2026,3491.268218
RURAL,Q1,INDIA,NR,RJ,2027,3424.844499
RURAL,Q1,INDIA,NR,RJ,2028,3359.684536
RURAL,Q1,INDIA,NR,RJ,2029,3295.764285
RURAL,Q1,INDIA,NR,RJ,2030,3233.06016
RURAL,Q1,INDIA,NR,RJ,2031,3171.549023
RURAL,Q1,INDIA,NR,UP,2021,5049.11835
RURAL,Q1,INDIA,NR,UP,2022,5023.138794
RURAL,Q1,INDIA,NR,UP,2023,4997.292912
RURAL,Q1,INDIA,NR,UP,2024,4971.580017
RURAL,Q1,INDIA,NR,UP,2025,4945.999424
RURAL,Q1,INDIA,NR,UP,2026,4920.550452
RURAL,Q1,INDIA,NR,UP,2027,4895.232425
RURAL,Q1,INDIA,NR,UP,2028,4870.044668
RURAL,Q1,INDIA,NR,UP,2029,4844.986512
RURAL,Q1,INDIA,NR,UP,2030,4820.057288
RURAL,Q1,INDIA,NR,UP,2031,4795.256335
RURAL,Q1,INDIA,ER,BR,2021,5066.249265
RURAL,Q1,INDIA,ER,BR,2022,5066.249265
RURAL,Q1,INDIA,ER,BR,2023,5066.249265
RURAL,Q1,INDIA,ER,BR,2024,5066.249265
RURAL,Q1,INDIA,ER,BR,2025,5066.249265
RURAL,Q1,INDIA,ER,BR,2026,5066.249265
RURAL,Q1,INDIA,ER,BR,2027,5066.249265
RURAL,Q1,INDIA,ER,BR,2028,5066.249265
RURAL,Q1,INDIA,ER,BR,2029,5066.249265
RURAL,Q1,INDIA,ER,BR,2030,5066.249265
RURAL,Q1,INDIA,ER,BR,2031,5066.249265
RURAL,Q1,INDIA,NER,NE,2021,4137.922463
RURAL,Q1,INDIA,NER,NE,2022,4137.922463
RURAL,Q1,INDIA,NER,NE,2023,4137.922463
RURAL,Q1,INDIA,NER,NE,2024,4137.922463
RURAL,Q1,INDIA,NER,NE,2025,4137.922463
RURAL,Q1,INDIA,NER,NE,2026,4137.922463
RURAL,Q1,INDIA,NER,NE,2027,4137.922463
RURAL,Q1,INDIA,NER,NE,2028,4137.922463
RURAL,Q1,INDIA,NER,NE,2029,4137.922463
RURAL,Q1,INDIA,NER,NE,2030,4137.922463
RURAL,Q1,INDIA,NER,NE,2031,4137.922463
RURAL,Q1,INDIA,NER,AS,2021,4712.114521
RURAL,Q1,INDIA,NER,AS,2022,4710.141151
RURAL,Q1,INDIA,NER,AS,2023,4708.168606
RURAL,Q1,INDIA,NER,AS,2024,4706.196888
RURAL,Q1,INDIA,NER,AS,2025,4704.225996
RURAL,Q1,INDIA,NER,AS,2026,4702.255929
RURAL,Q1,INDIA,NER,AS,2027,4700.286687
RURAL,Q1,INDIA,NER,AS,2028,4698.31827
RURAL,Q1,INDIA,NER,AS,2029,4696.350677
RURAL,Q1,INDIA,NER,AS,2030,4694.383908
RURAL,Q1,INDIA,NER,AS,2031,4692.417963
RURAL,Q1,INDIA,ER,WB,2021,3203.027375
RURAL,Q1,INDIA,ER,WB,2022,3138.966827
RURAL,Q1,INDIA,ER,WB,2023,3076.187491
RURAL,Q1,INDIA,ER,WB,2024,3014.663741
RURAL,Q1,INDIA,ER,WB,2025,2954.370466
RURAL,Q1,INDIA,ER,WB,2026,2895.283057
RURAL,Q1,INDIA,ER,WB,2027,2837.377396
RURAL,Q1,INDIA,ER,WB,2028,2780.629848
RURAL,Q1,INDIA,ER,WB,2029,2725.017251
RURAL,Q1,INDIA,ER,WB,2030,2670.516906
RURAL,Q1,INDIA,ER,WB,2031,2617.106568
RURAL,Q1,INDIA,ER,JH,2021,3732.049477
RURAL,Q1,INDIA,ER,JH,2022,3662.910574
RURAL,Q1,INDIA,ER,JH,2023,3595.05252
RURAL,Q1,INDIA,ER,JH,2024,3528.451584
RURAL,Q1,INDIA,ER,JH,2025,3463.084479
RURAL,Q1,INDIA,ER,JH,2026,3398.928347
RURAL,Q1,INDIA,ER,JH,2027,3335.960753
RURAL,Q1,INDIA,ER,JH,2028,3274.15968
RURAL,Q1,INDIA,ER,JH,2029,3213.503515
RURAL,Q1,INDIA,ER,JH,2030,3153.97105
RURAL,Q1,INDIA,ER,JH,2031,3095.541466
RURAL,Q1,INDIA,ER,OD,2021,3203.211921
RURAL,Q1,INDIA,ER,OD,2022,3152.178595
RURAL,Q1,INDIA,ER,OD,2023,3101.958327
RURAL,Q1,INDIA,ER,OD,2024,3052.538165
RURAL,Q1,INDIA,ER,OD,2025,3003.905362
RURAL,Q1,INDIA,ER,OD,2026,2956.047372
RURAL,Q1,INDIA,ER,OD,2027,2908.951852
RURAL,Q1,INDIA,ER,OD,2028,2862.606654
RURAL,Q1,INDIA,ER,OD,2029,2816.999825
RURAL,Q1,INDIA,ER,OD,2030,2772.1196
RURAL,Q1,INDIA,ER,OD,2031,2727.954403
RURAL,Q1,INDIA,WR,CG,2021,3994.644738
RURAL,Q1,INDIA,WR,CG,2022,3944.063652
RURAL,Q1,INDIA,WR,CG,2023,3894.123036
RURAL,Q1,INDIA,WR,CG,2024,3844.814778
RURAL,Q1,INDIA,WR,CG,2025,3796.130873
RURAL,Q1,INDIA,WR,CG,2026,3748.063414
RURAL,Q1,INDIA,WR,CG,2027,3700.604597
RURAL,Q1,INDIA,WR,CG,2028,3653.746713
RURAL,Q1,INDIA,WR,CG,2029,3607.482154
RURAL,Q1,INDIA,WR,CG,2030,3561.803408
RURAL,Q1,INDIA,WR,CG,2031,3516.703056
RURAL,Q1,INDIA,WR,MP,2021,3602.130188
RURAL,Q1,INDIA,WR,MP,2022,3530.087584
RURAL,Q1,INDIA,WR,MP,2023,3459.485833
RURAL,Q1,INDIA,WR,MP,2024,3390.296116
RURAL,Q1,INDIA,WR,MP,2025,3322.490194
RURAL,Q1,INDIA,WR,MP,2026,3256.04039
RURAL,Q1,INDIA,WR,MP,2027,3190.919582
RURAL,Q1,INDIA,WR,MP,2028,3127.10119
RURAL,Q1,INDIA,WR,MP,2029,3064.559167
RURAL,Q1,INDIA,WR,MP,2030,3003.267983
RURAL,Q1,INDIA,WR,MP,2031,2943.202624
RURAL,Q1,INDIA,WR,GJ,2021,4133.583345
RURAL,Q1,INDIA,WR,GJ,2022,4096.163394
RURAL,Q1,INDIA,WR,GJ,2023,4059.082193
RURAL,Q1,INDIA,WR,GJ,2024,4022.336676
RURAL,Q1,INDIA,WR,GJ,2025,3985.923803
RURAL,Q1,INDIA,WR,GJ,2026,3949.840565
RURAL,Q1,INDIA,WR,GJ,2027,3914.083975
RURAL,Q1,INDIA,WR,GJ,2028,3878.651079
RURAL,Q1,INDIA,WR,GJ,2029,3843.538944
RURAL,Q1,INDIA,WR,GJ,2030,3808.744668
RURAL,Q1,INDIA,WR,GJ,2031,3774.265373
RURAL,Q1,INDIA,WR,MH,2021,3539.684887
RURAL,Q1,INDIA,WR,MH,2022,3491.908929
RURAL,Q1,INDIA,WR,MH,2023,3444.777814
RURAL,Q1,INDIA,WR,MH,2024,3398.282839
RURAL,Q1,INDIA,WR,MH,2025,3352.415418
RURAL,Q1,INDIA,WR,MH,2026,3307.167079
RURAL,Q1,INDIA,WR,MH,2027,3262.529469
RURAL,Q1,INDIA,WR,MH,2028,3218.494342
RURAL,Q1,INDIA,WR,MH,2029,3175.053568
RURAL,Q1,INDIA,WR,MH,2030,3132.199124
RURAL,Q1,INDIA,WR,MH,2031,3089.923097
RURAL,Q1,INDIA,SR,AP,2021,3213.179154
RURAL,Q1,INDIA,SR,AP,2022,3197.622031
RURAL,Q1,INDIA,SR,AP,2023,3182.140231
RURAL,Q1,INDIA,SR,AP,2024,3166.733388
RURAL,Q1,INDIA,SR,AP,2025,3151.401141
RURAL,Q1,INDIA,SR,AP,2026,3136.143126
RURAL,Q1,INDIA,SR,AP,2027,3120.958986
RURAL,Q1,INDIA,SR,AP,2028,3105.848362
RURAL,Q1,INDIA,SR,AP,2029,3090.810899
RURAL,Q1,INDIA,SR,AP,2030,3075.846241
RURAL,Q1,INDIA,SR,AP,2031,3060.954038
RURAL,Q1,INDIA,SR,KA,2021,4696.858089
RURAL,Q1,INDIA,SR,KA,2022,4696.858089
RURAL,Q1,INDIA,SR,KA,2023,4696.858089
RURAL,Q1,INDIA,SR,KA,2024,4696.858089
RURAL,Q1,INDIA,SR,KA,2025,4696.858089
RURAL,Q1,INDIA,SR,KA,2026,4696.858089
RURAL,Q1,INDIA,SR,KA,2027,4696.858089
RURAL,Q1,INDIA,SR,KA,2028,4696.858089
RURAL,Q1,INDIA,SR,KA,2029,4696.858089
RURAL,Q1,INDIA,SR,KA,2030,4696.858089
RURAL,Q1,INDIA,SR,KA,2031,4696.858089
RURAL,Q1,INDIA,WR,GA,2021,3089.825919
RURAL,Q1,INDIA,WR,GA,2022,3028.029401
RURAL,Q1,INDIA,WR,GA,2023,2967.468813
RURAL,Q1,INDIA,WR,GA,2024,2908.119437
RURAL,Q1,INDIA,WR,GA,2025,2849.957048
RURAL,Q1,INDIA,WR,GA,2026,2792.957907
RURAL,Q1,INDIA,WR,GA,2027,2737.098749
RURAL,Q1,INDIA,WR,GA,2028,2682.356774
RURAL,Q1,INDIA,WR,GA,2029,2628.709638
RURAL,Q1,INDIA,WR,GA,2030,2576.135446
RURAL,Q1,INDIA,WR,GA,2031,2524.612737
RURAL,Q1,INDIA,SR,KL,2021,3706.927698
RURAL,Q1,INDIA,SR,KL,2022,3677.3364
RURAL,Q1,INDIA,SR,KL,2023,3647.98132
RURAL,Q1,INDIA,SR,KL,2024,3618.860573
RURAL,Q1,INDIA,SR,KL,2025,3589.972288
RURAL,Q1,INDIA,SR,KL,2026,3561.31461
RURAL,Q1,INDIA,SR,KL,2027,3532.885698
RURAL,Q1,INDIA,SR,KL,2028,3504.683725
RURAL,Q1,INDIA,SR,KL,2029,3476.70688
RURAL,Q1,INDIA,SR,KL,2030,3448.953366
RURAL,Q1,INDIA,SR,KL,2031,3421.4214
RURAL,Q1,INDIA,SR,TN,2021,3329.65259
RURAL,Q1,INDIA,SR,TN,2022,3319.677194
RURAL,Q1,INDIA,SR,TN,2023,3309.731684
RURAL,Q1,INDIA,SR,TN,2024,3299.815969
RURAL,Q1,INDIA,SR,TN,2025,3289.929962
RURAL,Q1,INDIA,SR,TN,2026,3280.073572
RURAL,Q1,INDIA,SR,TN,2027,3270.246711
RURAL,Q1,INDIA,SR,TN,2028,3260.449291
RURAL,Q1,INDIA,SR,TN,2029,3250.681223
RURAL,Q1,INDIA,SR,TN,2030,3240.942419
RURAL,Q1,INDIA,SR,TN,2031,3231.232793
RURAL,Q1,INDIA,SR,TS,2021,3213.179154
RURAL,Q1,INDIA,SR,TS,2022,3197.622031
RURAL,Q1,INDIA,SR,TS,2023,3182.140231
RURAL,Q1,INDIA,SR,TS,2024,3166.733388
RURAL,Q1,INDIA,SR,TS,2025,3151.401141
RURAL,Q1,INDIA,SR,TS,2026,3136.143126
RURAL,Q1,INDIA,SR,TS,2027,3120.958986
RURAL,Q1,INDIA,SR,TS,2028,3105.848362
RURAL,Q1,INDIA,SR,TS,2029,3090.810899
RURAL,Q1,INDIA,SR,TS,2030,3075.846241
RURAL,Q1,INDIA,SR,TS,2031,3060.954038
URBAN,Q1,INDIA,NR,JK,2021,4198.234955
URBAN,Q1,INDIA,NR,JK,2022,4146.733231
URBAN,Q1,INDIA,NR,JK,2023,4095.863302
URBAN,Q1,INDIA,NR,JK,2024,4045.617419
URBAN,Q1,INDIA,NR,JK,2025,3995.987926
URBAN,Q1,INDIA,NR,JK,2026,3946.967261
URBAN,Q1,INDIA,NR,JK,2027,3898.547956
URBAN,Q1,INDIA,NR,JK,2028,3850.722633
URBAN,Q1,INDIA,NR,JK,2029,3803.484006
URBAN,Q1,INDIA,NR,JK,2030,3756.824877
URBAN,Q1,INDIA,NR,JK,2031,3710.738138
URBAN,Q1,INDIA,NR,HP,2021,4011.092061
URBAN,Q1,INDIA,NR,HP,2022,4011.092061
URBAN,Q1,INDIA,NR,HP,2023,4011.092061
URBAN,Q1,INDIA,NR,HP,2024,4011.092061
URBAN,Q1,INDIA,NR,HP,2025,4011.092061
URBAN,Q1,INDIA,NR,HP,2026,4011.092061
URBAN,Q1,INDIA,NR,HP,2027,4011.092061
URBAN,Q1,INDIA,NR,HP,2028,4011.092061
URBAN,Q1,INDIA,NR,HP,2029,4011.092061
URBAN,Q1,INDIA,NR,HP,2030,4011.092061
URBAN,Q1,INDIA,NR,HP,2031,4011.092061
URBAN,Q1,INDIA,NR,PB,2021,3818.571677
URBAN,Q1,INDIA,NR,PB,2022,3768.413793
URBAN,Q1,INDIA,NR,PB,2023,3718.914746
URBAN,Q1,INDIA,NR,PB,2024,3670.06588
URBAN,Q1,INDIA,NR,PB,2025,3621.858657
URBAN,Q1,INDIA,NR,PB,2026,3574.284647
URBAN,Q1,INDIA,NR,PB,2027,3527.335534
URBAN,Q1,INDIA,NR,PB,2028,3481.003109
URBAN,Q1,INDIA,NR,PB,2029,3435.279272
URBAN,Q1,INDIA,NR,PB,2030,3390.156029
URBAN,Q1,INDIA,NR,PB,2031,3345.62549
URBAN,Q1,INDIA,WR,UT,2021,4525.850157
URBAN,Q1,INDIA,WR,UT,2022,4525.850157
URBAN,Q1,INDIA,WR,UT,2023,4525.850157
URBAN,Q1,INDIA,WR,UT,2024,4525.850157
URBAN,Q1,INDIA,WR,UT,2025,4525.850157
URBAN,Q1,INDIA,WR,UT,2026,4525.850157
URBAN,Q1,INDIA,WR,UT,2027,4525.850157
URBAN,Q1,INDIA,WR,UT,2028,4525.850157
URBAN,Q1,INDIA,WR,UT,2029,4525.850157
URBAN,Q1,INDIA,WR,UT,2030,4525.850157
URBAN,Q1,INDIA,WR,UT,2031,4525.850157
URBAN,Q1,INDIA,NR,UK,2021,3765.754648
URBAN,Q1,INDIA,NR,UK,2022,3709.932862
URBAN,Q1,INDIA,NR,UK,2023,3654.938553
URBAN,Q1,INDIA,NR,UK,2024,3600.759453
URBAN,Q1,INDIA,NR,UK,2025,3547.383479
URBAN,Q1,INDIA,NR,UK,2026,3494.798726
URBAN,Q1,INDIA,NR,UK,2027,3442.993464
URBAN,Q1,INDIA,NR,UK,2028,3391.95614
URBAN,Q1,INDIA,NR,UK,2029,3341.675368
URBAN,Q1,INDIA,NR,UK,2030,3292.139936
URBAN,Q1,INDIA,NR,UK,2031,3243.338793
URBAN,Q1,INDIA,NR,HR,2021,3933.845748
URBAN,Q1,INDIA,NR,HR,2022,3893.078724
URBAN,Q1,INDIA,NR,HR,2023,3852.734175
URBAN,Q1,INDIA,NR,HR,2024,3812.807722
URBAN,Q1,INDIA,NR,HR,2025,3773.295032
URBAN,Q1,INDIA,NR,HR,2026,3734.191819
URBAN,Q1,INDIA,NR,HR,2027,3695.493838
URBAN,Q1,INDIA,NR,HR,2028,3657.196889
URBAN,Q1,INDIA,NR,HR,2029,3619.296818
URBAN,Q1,INDIA,NR,HR,2030,3581.789511
URBAN,Q1,INDIA,NR,HR,2031,3544.670897
URBAN,Q1,INDIA,NR,DL,2021,4628.868563
URBAN,Q1,INDIA,NR,DL,2022,4628.868563
URBAN,Q1,INDIA,NR,DL,2023,4628.868563
URBAN,Q1,INDIA,NR,DL,2024,4628.868563
URBAN,Q1,INDIA,NR,DL,2025,4628.868563
URBAN,Q1,INDIA,NR,DL,2026,4628.868563
URBAN,Q1,INDIA,NR,DL,2027,4628.868563
URBAN,Q1,INDIA,NR,DL,2028,4628.868563
URBAN,Q1,INDIA,NR,DL,2029,4628.868563
URBAN,Q1,INDIA,NR,DL,2030,4628.868563
URBAN,Q1,INDIA,NR,DL,2031,4628.868563
URBAN,Q1,INDIA,NR,RJ,2021,4974.626433
URBAN,Q1,INDIA,NR,RJ,2022,4974.626433
URBAN,Q1,INDIA,NR,RJ,2023,4974.626433
URBAN,Q1,INDIA,NR,RJ,2024,4974.626433
URBAN,Q1,INDIA,NR,RJ,2025,4974.626433
URBAN,Q1,INDIA,NR,RJ,2026,4974.626433
URBAN,Q1,INDIA,NR,RJ,2027,4974.626433
URBAN,Q1,INDIA,NR,RJ,2028,4974.626433
URBAN,Q1,INDIA,NR,RJ,2029,4974.626433
URBAN,Q1,INDIA,NR,RJ,2030,4974.626433
URBAN,Q1,INDIA,NR,RJ,2031,4974.626433
URBAN,Q1,INDIA,NR,UP,2021,4991.316315
URBAN,Q1,INDIA,NR,UP,2022,4954.069609
URBAN,Q1,INDIA,NR,UP,2023,4917.10085
URBAN,Q1,INDIA,NR,UP,2024,4880.407962
URBAN,Q1,INDIA,NR,UP,2025,4843.988888
URBAN,Q1,INDIA,NR,UP,2026,4807.841584
URBAN,Q1,INDIA,NR,UP,2027,4771.964021
URBAN,Q1,INDIA,NR,UP,2028,4736.354188
URBAN,Q1,INDIA,NR,UP,2029,4701.010087
URBAN,Q1,INDIA,NR,UP,2030,4665.929734
URBAN,Q1,INDIA,NR,UP,2031,4631.11116
URBAN,Q1,INDIA,ER,BR,2021,4833.470564
URBAN,Q1,INDIA,ER,BR,2022,4788.986556
URBAN,Q1,INDIA,ER,BR,2023,4744.911949
URBAN,Q1,INDIA,ER,BR,2024,4701.242975
URBAN,Q1,INDIA,ER,BR,2025,4657.975901
URBAN,Q1,INDIA,ER,BR,2026,4615.107028
URBAN,Q1,INDIA,ER,BR,2027,4572.632692
URBAN,Q1,INDIA,ER,BR,2028,4530.54926
URBAN,Q1,INDIA,ER,BR,2029,4488.853136
URBAN,Q1,INDIA,ER,BR,2030,4447.540755
URBAN,Q1,INDIA,ER,BR,2031,4406.608586
URBAN,Q1,INDIA,NER,NE,2021,4225.743373
URBAN,Q1,INDIA,NER,NE,2022,4225.743373
URBAN,Q1,INDIA,NER,NE,2023,4225.743373
URBAN,Q1,INDIA,NER,NE,2024,4225.743373
URBAN,Q1,INDIA,NER,NE,2025,4225.743373
URBAN,Q1,INDIA,NER,NE,2026,4225.743373
URBAN,Q1,INDIA,NER,NE,2027,4225.743373
URBAN,Q1,INDIA,NER,NE,2028,4225.743373
URBAN,Q1,INDIA,NER,NE,2029,4225.743373
URBAN,Q1,INDIA,NER,NE,2030,4225.743373
URBAN,Q1,INDIA,NER,NE,2031,4225.743373
URBAN,Q1,INDIA,NER,AS,2021,4051.224857
URBAN,Q1,INDIA,NER,AS,2022,4051.224857
URBAN,Q1,INDIA,NER,AS,2023,4051.224857
URBAN,Q1,INDIA,NER,AS,2024,4051.224857
URBAN,Q1,INDIA,NER,AS,2025,4051.224857
URBAN,Q1,INDIA,NER,AS,2026,4051.224857
URBAN,Q1,INDIA,NER,AS,2027,4051.224857
URBAN,Q1,INDIA,NER,AS,2028,4051.224857
URBAN,Q1,INDIA,NER,AS,2029,4051.224857
URBAN,Q1,INDIA,NER,AS,2030,4051.224857
URBAN,Q1,INDIA,NER,AS,2031,4051.224857
URBAN,Q1,INDIA,ER,WB,2021,3963.375198
URBAN,Q1,INDIA,ER,WB,2022,3950.103653
URBAN,Q1,INDIA,ER,WB,2023,3936.876548
URBAN,Q1,INDIA,ER,WB,2024,3923.693734
URBAN,Q1,INDIA,ER,WB,2025,3910.555064
URBAN,Q1,INDIA,ER,WB,2026,3897.46039
URBAN,Q1,INDIA,ER,WB,2027,3884.409563
URBAN,Q1,INDIA,ER,WB,2028,3871.402438
URBAN,Q1,INDIA,ER,WB,2029,3858.438868
URBAN,Q1,INDIA,ER,WB,2030,3845.518707
URBAN,Q1,INDIA,ER,WB,2031,3832.641809
URBAN,Q1,INDIA,ER,JH,2021,4140.43892
URBAN,Q1,INDIA,ER,JH,2022,4104.211883
URBAN,Q1,INDIA,ER,JH,2023,4068.301816
URBAN,Q1,INDIA,ER,JH,2024,4032.705947
URBAN,Q1,INDIA,ER,JH,2025,3997.421526
URBAN,Q1,INDIA,ER,JH,2026,3962.445828
URBAN,Q1,INDIA,ER,JH,2027,3927.776153
URBAN,Q1,INDIA,ER,JH,2028,3893.409822
URBAN,Q1,INDIA,ER,JH,2029,3859.344182
URBAN,Q1,INDIA,ER,JH,2030,3825.576601
URBAN,Q1,INDIA,ER,JH,2031,3792.104471
URBAN,Q1,INDIA,ER,OD,2021,3066.419895
URBAN,Q1,INDIA,ER,OD,2022,3009.440901
URBAN,Q1,INDIA,ER,OD,2023,2953.520667
URBAN,Q1,INDIA,ER,OD,2024,2898.639521
URBAN,Q1,INDIA,ER,OD,2025,2844.778155
URBAN,Q1,INDIA,ER,OD,2026,2791.917619
URBAN,Q1,INDIA,ER,OD,2027,2740.039316
URBAN,Q1,INDIA,ER,OD,2028,2689.124995
URBAN,Q1,INDIA,ER,OD,2029,2639.156745
URBAN,Q1,INDIA,ER,OD,2030,2590.116984
URBAN,Q1,INDIA,ER,OD,2031,2541.98846
URBAN,Q1,INDIA,WR,CG,2021,3778.432362
URBAN,Q1,INDIA,WR,CG,2022,3728.721811
URBAN,Q1,INDIA,WR,CG,2023,3679.665272
URBAN,Q1,INDIA,WR,CG,2024,3631.254141
URBAN,Q1,INDIA,WR,CG,2025,3583.479925
URBAN,Q1,INDIA,WR,CG,2026,3536.334246
URBAN,Q1,INDIA,WR,CG,2027,3489.808834
URBAN,Q1,INDIA,WR,CG,2028,3443.895528
URBAN,Q1,INDIA,WR,CG,2029,3398.586277
URBAN,Q1,INDIA,WR,CG,2030,3353.873131
URBAN,Q1,INDIA,WR,CG,2031,3309.74825
URBAN,Q1,INDIA,WR,MP,2021,3864.572382
URBAN,Q1,INDIA,WR,MP,2022,3800.092961
URBAN,Q1,INDIA,WR,MP,2023,3736.689363
URBAN,Q1,INDIA,WR,MP,2024,3674.343638
URBAN,Q1,INDIA,WR,MP,2025,3613.038136
URBAN,Q1,INDIA,WR,MP,2026,3552.7555
URBAN,Q1,INDIA,WR,MP,2027,3493.478666
URBAN,Q1,INDIA,WR,MP,2028,3435.19085
URBAN,Q1,INDIA,WR,MP,2029,3377.875552
URBAN,Q1,INDIA,WR,MP,2030,3321.516546
URBAN,Q1,INDIA,WR,MP,2031,3266.097875
URBAN,Q1,INDIA,WR,GJ,2021,4229.474774
URBAN,Q1,INDIA,WR,GJ,2022,4211.923364
URBAN,Q1,INDIA,WR,GJ,2023,4194.444789
URBAN,Q1,INDIA,WR,GJ,2024,4177.038746
URBAN,Q1,INDIA,WR,GJ,2025,4159.704935
URBAN,Q1,INDIA,WR,GJ,2026,4142.443055
URBAN,Q1,INDIA,WR,GJ,2027,4125.252808
URBAN,Q1,INDIA,WR,GJ,2028,4108.133897
URBAN,Q1,INDIA,WR,GJ,2029,4091.086025
URBAN,Q1,INDIA,WR,GJ,2030,4074.108899
URBAN,Q1,INDIA,WR,GJ,2031,4057.202224
URBAN,Q1,INDIA,WR,MH,2021,4464.728147
URBAN,Q1,INDIA,WR,MH,2022,4463.219749
URBAN,Q1,INDIA,WR,MH,2023,4461.711861
URBAN,Q1,INDIA,WR,MH,2024,4460.204482
URBAN,Q1,INDIA,WR,MH,2025,4458.697613
