EnergyStorTech,ModelGeography,SubGeography1,Year,SubGeography2,MinCap,MaxCap
FOURHR_BATTERY,INDIA,SR,2030,AP,0,2.617744289
FOURHR_BATTERY,INDIA,SR,2030,KA,0,5.277466523
FOURHR_BATTERY,INDIA,SR,2030,KL,0,0.103135653
FOURHR_BATTERY,INDIA,SR,2030,TN,0,2.83953344
FOURHR_BATTERY,INDIA,SR,2030,TS,0,2.625524966
FOURHR_BATTERY,INDIA,NR,2030,DL,0,0.119762951
FOURHR_BATTERY,INDIA,NR,2030,HR,0,0.182835011
FOURHR_BATTERY,INDIA,NR,2030,HP,0,0.023878627
FOURHR_BATTERY,INDIA,NR,2030,JK,0,0.013995065
FOURHR_BATTERY,INDIA,NR,2030,PB,0,0.686773374
FOURHR_BATTERY,INDIA,NR,2030,RJ,0,3.725667604
FOURHR_BATTERY,INDIA,NR,2030,UP,0,0.794093044
FOURHR_BATTERY,INDIA,NR,2030,UK,0,0.229069485
FOURHR_BATTERY,INDIA,ER,2031,BR,0,0.219095911
FOURHR_BATTERY,INDIA,ER,2031,JH,0,0.055507574
FOURHR_BATTERY,INDIA,ER,2031,OD,0,0.575081594
FOURHR_BATTERY,INDIA,ER,2031,WB,0,0.165453045
FOURHR_BATTERY,INDIA,WR,2031,CG,0,0.334418678
FOURHR_BATTERY,INDIA,WR,2031,GJ,0,4.261897544
FOURHR_BATTERY,INDIA,WR,2031,MP,0,3.264625922
FOURHR_BATTERY,INDIA,WR,2031,MH,0,2.604519445
FOURHR_BATTERY,INDIA,WR,2031,GA,0,0.006909537
FOURHR_BATTERY,INDIA,WR,2031,UT,0,0.103180485
FOURHR_BATTERY,INDIA,NER,2031,AS,0,0.059598366
FOURHR_BATTERY,INDIA,NER,2031,NE,0,0.033087718
FOURHR_BATTERY,INDIA,SR,2031,AP,0,5.218319062
FOURHR_BATTERY,INDIA,SR,2031,KA,0,10.52031868
FOURHR_BATTERY,INDIA,SR,2031,KL,0,0.20559485
FOURHR_BATTERY,INDIA,SR,2031,TN,0,5.660442671
FOURHR_BATTERY,INDIA,SR,2031,TS,0,5.233829382
FOURHR_BATTERY,INDIA,NR,2031,DL,0,0.238740388
FOURHR_BATTERY,INDIA,NR,2031,HR,0,0.364470825
FOURHR_BATTERY,INDIA,NR,2031,HP,0,0.047600636
FOURHR_BATTERY,INDIA,NR,2031,JK,0,0.027898338
FOURHR_BATTERY,INDIA,NR,2031,PB,0,1.369042272
FOURHR_BATTERY,INDIA,NR,2031,RJ,0,7.426898935
FOURHR_BATTERY,INDIA,NR,2031,UP,0,1.582977713
FOURHR_BATTERY,INDIA,NR,2031,UK,0,0.456636526
SIXHR_BATTERY,INDIA,ER,2021,BR,0,0
SIXHR_BATTERY,INDIA,ER,2021,JH,0,0
SIXHR_BATTERY,INDIA,ER,2021,OD,0,0
SIXHR_BATTERY,INDIA,ER,2021,WB,0,0
SIXHR_BATTERY,INDIA,WR,2021,CG,0,0
SIXHR_BATTERY,INDIA,WR,2021,GJ,0,0
SIXHR_BATTERY,INDIA,WR,2021,MP,0,0
SIXHR_BATTERY,INDIA,WR,2021,MH,0,0
SIXHR_BATTERY,INDIA,WR,2021,GA,0,0
SIXHR_BATTERY,INDIA,WR,2021,UT,0,0
SIXHR_BATTERY,INDIA,NER,2021,AS,0,0
SIXHR_BATTERY,INDIA,NER,2021,NE,0,0
SIXHR_BATTERY,INDIA,SR,2021,AP,0,0
SIXHR_BATTERY,INDIA,SR,2021,KA,0,0
SIXHR_BATTERY,INDIA,SR,2021,KL,0,0
SIXHR_BATTERY,INDIA,SR,2021,TN,0,0
SIXHR_BATTERY,INDIA,SR,2021,TS,0,0
SIXHR_BATTERY,INDIA,NR,2021,DL,0,0
SIXHR_BATTERY,INDIA,NR,2021,HR,0,0
SIXHR_BATTERY,INDIA,NR,2021,HP,0,0
SIXHR_BATTERY,INDIA,NR,2021,JK,0,0
SIXHR_BATTERY,INDIA,NR,2021,PB,0,0
SIXHR_BATTERY,INDIA,NR,2021,RJ,0,0
SIXHR_BATTERY,INDIA,NR,2021,UP,0,0
SIXHR_BATTERY,INDIA,NR,2021,UK,0,0
SIXHR_BATTERY,INDIA,ER,2022,BR,0,0
SIXHR_BATTERY,INDIA,ER,2022,JH,0,0
SIXHR_BATTERY,INDIA,ER,2022,OD,0,0
SIXHR_BATTERY,INDIA,ER,2022,WB,0,0
SIXHR_BATTERY,INDIA,WR,2022,CG,0,0
SIXHR_BATTERY,INDIA,WR,2022,GJ,0,0
SIXHR_BATTERY,INDIA,WR,2022,MP,0,0
SIXHR_BATTERY,INDIA,WR,2022,MH,0,0
SIXHR_BATTERY,INDIA,WR,2022,GA,0,0
SIXHR_BATTERY,INDIA,WR,2022,UT,0,0
SIXHR_BATTERY,INDIA,NER,2022,AS,0,0
SIXHR_BATTERY,INDIA,NER,2022,NE,0,0
SIXHR_BATTERY,INDIA,SR,2022,AP,0,0
SIXHR_BATTERY,INDIA,SR,2022,KA,0,0
SIXHR_BATTERY,INDIA,SR,2022,KL,0,0
SIXHR_BATTERY,INDIA,SR,2022,TN,0,0
SIXHR_BATTERY,INDIA,SR,2022,TS,0,0
SIXHR_BATTERY,INDIA,NR,2022,DL,0,0
SIXHR_BATTERY,INDIA,NR,2022,HR,0,0
SIXHR_BATTERY,INDIA,NR,2022,HP,0,0
SIXHR_BATTERY,INDIA,NR,2022,JK,0,0
SIXHR_BATTERY,INDIA,NR,2022,PB,0,0
SIXHR_BATTERY,INDIA,NR,2022,RJ,0,0
SIXHR_BATTERY,INDIA,NR,2022,UP,0,0
SIXHR_BATTERY,INDIA,NR,2022,UK,0,0
SIXHR_BATTERY,INDIA,ER,2023,BR,0,0
SIXHR_BATTERY,INDIA,ER,2023,JH,0,0
SIXHR_BATTERY,INDIA,ER,2023,OD,0,0
SIXHR_BATTERY,INDIA,ER,2023,WB,0,0
SIXHR_BATTERY,INDIA,WR,2023,CG,0,0
SIXHR_BATTERY,INDIA,WR,2023,GJ,0,0
SIXHR_BATTERY,INDIA,WR,2023,MP,0,0
SIXHR_BATTERY,INDIA,WR,2023,MH,0,0
SIXHR_BATTERY,INDIA,WR,2023,GA,0,0
SIXHR_BATTERY,INDIA,WR,2023,UT,0,0
SIXHR_BATTERY,INDIA,NER,2023,AS,0,0
SIXHR_BATTERY,INDIA,NER,2023,NE,0,0
SIXHR_BATTERY,INDIA,SR,2023,AP,0,0
SIXHR_BATTERY,INDIA,SR,2023,KA,0,0
SIXHR_BATTERY,INDIA,SR,2023,KL,0,0
SIXHR_BATTERY,INDIA,SR,2023,TN,0,0
SIXHR_BATTERY,INDIA,SR,2023,TS,0,0
SIXHR_BATTERY,INDIA,NR,2023,DL,0,0
SIXHR_BATTERY,INDIA,NR,2023,HR,0,0
SIXHR_BATTERY,INDIA,NR,2023,HP,0,0
SIXHR_BATTERY,INDIA,NR,2023,JK,0,0
SIXHR_BATTERY,INDIA,NR,2023,PB,0,0
SIXHR_BATTERY,INDIA,NR,2023,RJ,0,0
SIXHR_BATTERY,INDIA,NR,2023,UP,0,0
SIXHR_BATTERY,INDIA,NR,2023,UK,0,0
SIXHR_BATTERY,INDIA,ER,2024,BR,0,0.002627252
SIXHR_BATTERY,INDIA,ER,2024,JH,0,0.00066561
SIXHR_BATTERY,INDIA,ER,2024,OD,0,0.006895994
SIXHR_BATTERY,INDIA,ER,2024,WB,0,0.001984002
SIXHR_BATTERY,INDIA,WR,2024,CG,0,0.004010125
SIXHR_BATTERY,INDIA,WR,2024,GJ,0,0.051105825
SIXHR_BATTERY,INDIA,WR,2024,MP,0,0.039147211
SIXHR_BATTERY,INDIA,WR,2024,MH,0,0.031231655
SIXHR_BATTERY,INDIA,WR,2024,GA,0,8.28545E-05
SIXHR_BATTERY,INDIA,WR,2024,UT,0,0.001237271
SIXHR_BATTERY,INDIA,NER,2024,AS,0,0.000714664
SIXHR_BATTERY,INDIA,NER,2024,NE,0,0.000396766
SIXHR_BATTERY,INDIA,SR,2024,AP,0,0.062574592
SIXHR_BATTERY,INDIA,SR,2024,KA,0,0.126152626
SIXHR_BATTERY,INDIA,SR,2024,KL,0,0.002465356
SIXHR_BATTERY,INDIA,SR,2024,TN,0,0.067876243
SIXHR_BATTERY,INDIA,SR,2024,TS,0,0.062760582
SIXHR_BATTERY,INDIA,NR,2024,DL,0,0.002862815
SIXHR_BATTERY,INDIA,NR,2024,HR,0,0.00437049
SIXHR_BATTERY,INDIA,NR,2024,HP,0,0.000570795
SIXHR_BATTERY,INDIA,NR,2024,JK,0,0.000334538
SIXHR_BATTERY,INDIA,NR,2024,PB,0,0.016416639
SIXHR_BATTERY,INDIA,NR,2024,RJ,0,0.089058405
SIXHR_BATTERY,INDIA,NR,2024,UP,0,0.01898201
SIXHR_BATTERY,INDIA,NR,2024,UK,0,0.00547568
SIXHR_BATTERY,INDIA,ER,2025,BR,0,0.005237271
SIXHR_BATTERY,INDIA,ER,2025,JH,0,0.001326854
SIXHR_BATTERY,INDIA,ER,2025,OD,0,0.013746758
SIXHR_BATTERY,INDIA,ER,2025,WB,0,0.003954992
SIXHR_BATTERY,INDIA,WR,2025,CG,0,0.007993948
SIXHR_BATTERY,INDIA,WR,2025,GJ,0,0.101876452
SIXHR_BATTERY,INDIA,WR,2025,MP,0,0.078037659
SIXHR_BATTERY,INDIA,WR,2025,MH,0,0.062258465
SIXHR_BATTERY,INDIA,WR,2025,GA,0,0.000165166
SIXHR_BATTERY,INDIA,WR,2025,UT,0,0.002466428
SIXHR_BATTERY,INDIA,NER,2025,AS,0,0.00142464
SIXHR_BATTERY,INDIA,NER,2025,NE,0,0.000790929
SIXHR_BATTERY,INDIA,SR,2025,AP,0,0.124738764
SIXHR_BATTERY,INDIA,SR,2025,KA,0,0.251477829
SIXHR_BATTERY,INDIA,SR,2025,KL,0,0.004914542
SIXHR_BATTERY,INDIA,SR,2025,TN,0,0.135307292
SIXHR_BATTERY,INDIA,SR,2025,TS,0,0.125109523
SIXHR_BATTERY,INDIA,NR,2025,DL,0,0.005706853
SIXHR_BATTERY,INDIA,NR,2025,HR,0,0.008712315
SIXHR_BATTERY,INDIA,NR,2025,HP,0,0.001137846
SIXHR_BATTERY,INDIA,NR,2025,JK,0,0.000666882
SIXHR_BATTERY,INDIA,NR,2025,PB,0,0.032725604
SIXHR_BATTERY,INDIA,NR,2025,RJ,0,0.177532685
SIXHR_BATTERY,INDIA,NR,2025,UP,0,0.037839519
SIXHR_BATTERY,INDIA,NR,2025,UK,0,0.010915445
SIXHR_BATTERY,INDIA,ER,2026,BR,0,0.010440192
SIXHR_BATTERY,INDIA,ER,2026,JH,0,0.002645005
SIXHR_BATTERY,INDIA,ER,2026,OD,0,0.027403352
SIXHR_BATTERY,INDIA,ER,2026,WB,0,0.007884043
SIXHR_BATTERY,INDIA,WR,2026,CG,0,0.015935465
SIXHR_BATTERY,INDIA,WR,2026,GJ,0,0.203084707
SIXHR_BATTERY,INDIA,WR,2026,MP,0,0.155563477
SIXHR_BATTERY,INDIA,WR,2026,MH,0,0.124108584
SIXHR_BATTERY,INDIA,WR,2026,GA,0,0.000329248
SIXHR_BATTERY,INDIA,WR,2026,UT,0,0.004916678
SIXHR_BATTERY,INDIA,NER,2026,AS,0,0.002839936
SIXHR_BATTERY,INDIA,NER,2026,NE,0,0.001576671
SIXHR_BATTERY,INDIA,SR,2026,AP,0,0.248659379
SIXHR_BATTERY,INDIA,SR,2026,KA,0,0.501306241
SIXHR_BATTERY,INDIA,SR,2026,KL,0,0.00979685
SIXHR_BATTERY,INDIA,SR,2026,TN,0,0.269727118
SIXHR_BATTERY,INDIA,SR,2026,TS,0,0.249398465
SIXHR_BATTERY,INDIA,NR,2026,DL,0,0.011376276
SIXHR_BATTERY,INDIA,NR,2026,HR,0,0.017367487
SIXHR_BATTERY,INDIA,NR,2026,HP,0,0.002268229
SIXHR_BATTERY,INDIA,NR,2026,JK,0,0.00132939
SIXHR_BATTERY,INDIA,NR,2026,PB,0,0.065236563
SIXHR_BATTERY,INDIA,NR,2026,RJ,0,0.353900951
SIXHR_BATTERY,INDIA,NR,2026,UP,0,0.075430853
SIXHR_BATTERY,INDIA,NR,2026,UK,0,0.021759297
