ModelGeography,Year,AIR
INDIA,2016,50707758000.00001
INDIA,2017,55351710000.00001
INDIA,2018,60937540000.00001
INDIA,2019,64370276000.00001
INDIA,2020,60981552000
INDIA,2021,7840052000.000001
INDIA,2022,21951112000.000004
INDIA,2023,22987278000
INDIA,2024,24072354000
INDIA,2025,24931606936.500004
INDIA,2026,26063603354.684338
INDIA,2027,27239663035.130333
INDIA,2028,28459909575.1625
INDIA,2029,29724066749.901432
INDIA,2030,31031355618.920727
INDIA,2031,32380369307.71024
INDIA,2032,33768917100.215446
INDIA,2033,35193850001.479034
INDIA,2034,36650828307.738304
INDIA,2035,38134064407.75958
INDIA,2036,39635993112.97754
INDIA,2037,41146886080.80224
INDIA,2038,42654390065.34717
INDIA,2039,44142967063.35509
INDIA,2040,45593229169.48262
INDIA,2041,46981143396.00001
