ModelGeography,SubGeography1,SubGeography2,NumHH,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,22412860,RURAL,2024,0.952772009
INDIA,ER,BR,22798326,RURAL,2025,0.946975058
INDIA,ER,BR,23185523,RURAL,2026,0.940473939
INDIA,ER,BR,23566367,RURAL,2027,0.933192473
INDIA,ER,BR,23943207,RURAL,2028,0.92503487
INDIA,ER,BR,24322097,RURAL,2029,0.915890716
INDIA,ER,BR,24703044,RURAL,2030,0.905641769
INDIA,ER,BR,25085853,RURAL,2031,0.894156032
INDIA,ER,BR,25444991,RURAL,2032,0.881302198
INDIA,ER,BR,25787002,RURAL,2033,0.866914885
INDIA,ER,BR,26130981,RURAL,2034,0.850799167
INDIA,ER,BR,26476520,RURAL,2035,0.832748986
INDIA,ER,BR,26823832,RURAL,2036,0.812535501
INDIA,ER,BR,27173344,RURAL,2037,0.789902012
INDIA,ER,BR,27537771,RURAL,2038,0.764601357
INDIA,ER,BR,27907086,RURAL,2039,0.736291314
INDIA,ER,BR,28281354,RURAL,2040,0.707053633
INDIA,ER,BR,28660641,RURAL,2041,0.674614797
INDIA,ER,BR,3757302,URBAN,2024,0.717669183
INDIA,ER,BR,3881523,URBAN,2025,0.689963982
INDIA,ER,BR,4008916,URBAN,2026,0.659255823
INDIA,ER,BR,4138064,URBAN,2027,0.625583439
INDIA,ER,BR,4269234,URBAN,2028,0.588649478
INDIA,ER,BR,4403461,URBAN,2029,0.548114492
INDIA,ER,BR,4540807,URBAN,2030,0.503631144
INDIA,ER,BR,4681591,URBAN,2031,0.454820188
INDIA,ER,BR,4820639,URBAN,2032,0.410248526
INDIA,ER,BR,4959695,URBAN,2033,0.36212488
INDIA,ER,BR,5101661,URBAN,2034,0.310124283
INDIA,ER,BR,5247136,URBAN,2035,0.253937567
INDIA,ER,BR,5395916,URBAN,2036,0.193235973
INDIA,ER,BR,5547510,URBAN,2037,0.140776797
INDIA,ER,BR,5706663,URBAN,2038,0.085050738
INDIA,ER,BR,5870381,URBAN,2039,0.033196517
INDIA,ER,BR,6038797,URBAN,2040,0
INDIA,ER,BR,6212044,URBAN,2041,0
INDIA,ER,JH,6408521,RURAL,2024,0.615431084
INDIA,ER,JH,6548685,RURAL,2025,0.664800344
INDIA,ER,JH,6691241,RURAL,2026,0.718056449
INDIA,ER,JH,6831246,RURAL,2027,0.775433076
INDIA,ER,JH,6969709,RURAL,2028,0.824215969
INDIA,ER,JH,7110235,RURAL,2029,0.87596166
INDIA,ER,JH,7253086,RURAL,2030,0.923461097
INDIA,ER,JH,7397823,RURAL,2031,0.950968504
INDIA,ER,JH,7537989,RURAL,2032,0.945915279
INDIA,ER,JH,7676290,RURAL,2033,0.940351825
INDIA,ER,JH,7816050,RURAL,2034,0.934221925
INDIA,ER,JH,7957774,RURAL,2035,0.9274684
INDIA,ER,JH,8101234,RURAL,2036,0.92002893
INDIA,ER,JH,8247207,RURAL,2037,0.911834648
INDIA,ER,JH,8397965,RURAL,2038,0.902823883
INDIA,ER,JH,8551479,RURAL,2039,0.892905196
INDIA,ER,JH,8707799,RURAL,2040,0.881987998
INDIA,ER,JH,8866976,RURAL,2041,0.86997278
INDIA,ER,JH,2886561,URBAN,2024,0.697379727
INDIA,ER,JH,3007231,URBAN,2025,0.705446647
INDIA,ER,JH,3132129,URBAN,2026,0.716028606
INDIA,ER,JH,3259324,URBAN,2027,0.729935429
INDIA,ER,JH,3389722,URBAN,2028,0.748291808
INDIA,ER,JH,3524615,URBAN,2029,0.746858196
INDIA,ER,JH,3664146,URBAN,2030,0.743634154
INDIA,ER,JH,3808461,URBAN,2031,0.739393945
INDIA,ER,JH,3955077,URBAN,2032,0.733803453
INDIA,ER,JH,4103972,URBAN,2033,0.726393973
INDIA,ER,JH,4258222,URBAN,2034,0.716502964
INDIA,ER,JH,4417654,URBAN,2035,0.703192292
INDIA,ER,JH,4582790,URBAN,2036,0.687182348
INDIA,ER,JH,4752718,URBAN,2037,0.667797294
INDIA,ER,JH,4931444,URBAN,2038,0.64418368
INDIA,ER,JH,5116892,URBAN,2039,0.615135831
INDIA,ER,JH,5309313,URBAN,2040,0.579049597
INDIA,ER,JH,5508970,URBAN,2041,0.539628593
INDIA,ER,OD,10220730,RURAL,2024,0.733445621
INDIA,ER,OD,10374117,RURAL,2025,0.762523631
INDIA,ER,OD,10529086,RURAL,2026,0.792397811
INDIA,ER,OD,10676951,RURAL,2027,0.817471971
INDIA,ER,OD,10819704,RURAL,2028,0.826372184
INDIA,ER,OD,10964305,RURAL,2029,0.81001701
INDIA,ER,OD,11110197,RURAL,2030,0.792142961
INDIA,ER,OD,11257971,RURAL,2031,0.772611415
INDIA,ER,OD,11397283,RURAL,2032,0.751303058
INDIA,ER,OD,11530808,RURAL,2033,0.728050224
INDIA,ER,OD,11665892,RURAL,2034,0.70460569
INDIA,ER,OD,11801941,RURAL,2035,0.679168294
INDIA,ER,OD,11939570,RURAL,2036,0.651573164
INDIA,ER,OD,12078799,RURAL,2037,0.621640263
INDIA,ER,OD,12221308,RURAL,2038,0.589234659
INDIA,ER,OD,12365498,RURAL,2039,0.554108259
INDIA,ER,OD,12511390,RURAL,2040,0.516035516
INDIA,ER,OD,12659002,RURAL,2041,0.474772572
INDIA,ER,OD,2432031,URBAN,2024,0.59661287
INDIA,ER,OD,2470744,URBAN,2025,0.581563473
INDIA,ER,OD,2510010,URBAN,2026,0.550333512
INDIA,ER,OD,2547618,URBAN,2027,0.516862997
INDIA,ER,OD,2584119,URBAN,2028,0.480976407
INDIA,ER,OD,2620897,URBAN,2029,0.44888893
INDIA,ER,OD,2657951,URBAN,2030,0.414859085
INDIA,ER,OD,2695282,URBAN,2031,0.378772569
INDIA,ER,OD,2730953,URBAN,2032,0.340565429
INDIA,ER,OD,2765519,URBAN,2033,0.300099476
INDIA,ER,OD,2800361,URBAN,2034,0.25719882
INDIA,ER,OD,2835203,URBAN,2035,0.211719095
INDIA,ER,OD,2870598,URBAN,2036,0.173153426
INDIA,ER,OD,2905717,URBAN,2037,0.132749196
INDIA,ER,OD,2942353,URBAN,2038,0.0904994
INDIA,ER,OD,2979451,URBAN,2039,0.051790075
INDIA,ER,OD,3017017,URBAN,2040,0.01149407
INDIA,ER,OD,3055057,URBAN,2041,0
INDIA,ER,SK,86020,RURAL,2024,0.36853053
INDIA,ER,SK,83791,RURAL,2025,0.391652095
INDIA,ER,SK,81278,RURAL,2026,0.416174077
INDIA,ER,SK,78985,RURAL,2027,0.442124981
INDIA,ER,SK,76148,RURAL,2028,0.469606018
INDIA,ER,SK,73529,RURAL,2029,0.498739941
INDIA,ER,SK,70875,RURAL,2030,0.524178101
INDIA,ER,SK,67923,RURAL,2031,0.550854989
INDIA,ER,SK,65194,RURAL,2032,0.57876431
INDIA,ER,SK,62164,RURAL,2033,0.607978151
INDIA,ER,SK,59094,RURAL,2034,0.638603347
INDIA,ER,SK,56250,RURAL,2035,0.670705563
INDIA,ER,SK,53099,RURAL,2036,0.704348623
INDIA,ER,SK,50177,RURAL,2037,0.739602244
