Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51377.68058436
2025,57344.059321860004
2026,58298.679919860006
2027,64338.54176383018
2028,67045.63867443762
2029,119699.25789946626
2030,178150.82750879863
2031,178150.82750879863
