EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DomSupplyFrom
STEAM_COAL,2030,,,,INDIA,NR,45.92
STEAM_COAL,2030,,,,INDIA,SR,123.08
STEAM_COAL,2030,,,,INDIA,NER,0.07
STEAM_COAL,2031,,,,INDIA,ER,392.5787673715855
STEAM_COAL,2031,,,,INDIA,WR,497.74375627124033
STEAM_COAL,2031,,,,INDIA,NR,48.56
STEAM_COAL,2031,,,,INDIA,SR,127.11
STEAM_COAL,2031,,,,INDIA,NER,0.06
NATGAS,2021,,,,INDIA,,19.73617931082
NATGAS,2022,,,,INDIA,,20.13269360676
NATGAS,2023,,,,INDIA,,20.53560329457
NATGAS,2024,,,,INDIA,,20.94490837425
NATGAS,2025,,,,INDIA,,21.36700423767
NATGAS,2026,,,,INDIA,,21.78910010109
NATGAS,2027,,,,INDIA,,22.23038214012
