Year,AnnualECTCost
2021,4854361.618284247
2022,5065932.101219042
2023,5361866.053998905
2024,5586408.400174859
2025,5912471.874502379
2026,6166593.881608914
2027,6334465.21105926
2028,6597675.7516727
2029,7010140.571016545
2030,7294813.018351001
2031,7498324.523085382
