EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DomPECCostInBT_BA
STEAM_COAL,2029,,,,INDIA,NR,296113.3343340323
STEAM_COAL,2029,,,,INDIA,SR,323834.9947546594
STEAM_COAL,2029,,,,INDIA,NER,6217.363234484455
STEAM_COAL,2030,,,,INDIA,ER,1012234.9250429556
STEAM_COAL,2030,,,,INDIA,WR,1250984.636726193
STEAM_COAL,2030,,,,INDIA,NR,295356.80779393465
STEAM_COAL,2030,,,,INDIA,SR,336115.98559574375
STEAM_COAL,2030,,,,INDIA,NER,6378.3091751963
STEAM_COAL,2031,,,,INDIA,ER,1023277.3395420258
STEAM_COAL,2031,,,,INDIA,WR,1305924.1850716656
STEAM_COAL,2031,,,,INDIA,NR,331400.65380626946
STEAM_COAL,2031,,,,INDIA,SR,348907.14365957485
STEAM_COAL,2031,,,,INDIA,NER,7682.705297659606
