Year,AnnualCarrierCost
2021,20646077.343566783
2022,22332259.238739315
2023,23866103.93779764
2024,25200885.648879338
2025,26556303.889675844
2026,27845193.747634966
2027,29252912.67199744
2028,30757029.593963113
2029,32536565.418054823
2030,34310136.97665329
2031,36310010.2597063
