ModelGeography,SubGeography1,SubGeography2,Year,IF+EAF+BOF
INDIA,ER,SK,2028,0
INDIA,ER,WB,2028,4.325
INDIA,NER,AS,2028,0.117
INDIA,NER,NE,2028,0.154
INDIA,NR,DL,2028,0.005
INDIA,NR,HP,2028,1.369
INDIA,NR,HR,2028,0.178
INDIA,NR,JK,2028,0.158
INDIA,NR,PB,2028,3.506
INDIA,NR,RJ,2028,0.672
INDIA,NR,UK,2028,1.072
INDIA,NR,UP,2028,1.296
INDIA,SR,AP,2028,1.656
INDIA,SR,KA,2028,0.981
INDIA,SR,KL,2028,0.352
INDIA,SR,TN,2028,2.152
INDIA,SR,TS,2028,1.585
INDIA,WR,CG,2028,6.205
INDIA,WR,GA,2028,0.441
INDIA,WR,GJ,2028,2.346
INDIA,WR,MH,2028,3.965
INDIA,WR,MP,2028,0.616
INDIA,ER,BR,2029,0.578
INDIA,ER,JH,2029,1.529
INDIA,ER,OD,2029,2.908
INDIA,ER,SK,2029,0
INDIA,ER,WB,2029,4.367
INDIA,NER,AS,2029,0.118
INDIA,NER,NE,2029,0.156
INDIA,NR,DL,2029,0.005
INDIA,NR,HP,2029,1.384
INDIA,NR,HR,2029,0.18
INDIA,NR,JK,2029,0.16
INDIA,NR,PB,2029,3.541
INDIA,NR,RJ,2029,0.679
INDIA,NR,UK,2029,1.083
INDIA,NR,UP,2029,1.309
INDIA,SR,AP,2029,1.672
INDIA,SR,KA,2029,0.991
INDIA,SR,KL,2029,0.356
INDIA,SR,TN,2029,2.174
INDIA,SR,TS,2029,1.601
INDIA,WR,CG,2029,6.267
INDIA,WR,GA,2029,0.445
INDIA,WR,GJ,2029,2.37
INDIA,WR,MH,2029,4.005
INDIA,WR,MP,2029,0.622
INDIA,ER,BR,2030,0.584
INDIA,ER,JH,2030,1.545
INDIA,ER,OD,2030,2.937
INDIA,ER,SK,2030,0
INDIA,ER,WB,2030,4.411
INDIA,NER,AS,2030,0.119
INDIA,NER,NE,2030,0.156
INDIA,NR,DL,2030,0.006
INDIA,NR,HP,2030,1.397
INDIA,NR,HR,2030,0.182
INDIA,NR,JK,2030,0.161
INDIA,NR,PB,2030,3.578
INDIA,NR,RJ,2030,0.686
INDIA,NR,UK,2030,1.094
INDIA,NR,UP,2030,1.322
INDIA,SR,AP,2030,1.689
INDIA,SR,KA,2030,1.001
INDIA,SR,KL,2030,0.359
INDIA,SR,TN,2030,2.196
INDIA,SR,TS,2030,1.617
INDIA,WR,CG,2030,6.329
INDIA,WR,GA,2030,0.45
INDIA,WR,GJ,2030,2.394
INDIA,WR,MH,2030,4.046
INDIA,WR,MP,2030,0.628
INDIA,ER,BR,2031,0.59
INDIA,ER,JH,2031,1.56
INDIA,ER,OD,2031,2.967
INDIA,ER,SK,2031,0
INDIA,ER,WB,2031,4.455
INDIA,NER,AS,2031,0.121
INDIA,NER,NE,2031,0.158
INDIA,NR,DL,2031,0.005
INDIA,NR,HP,2031,1.411
INDIA,NR,HR,2031,0.184
INDIA,NR,JK,2031,0.162
INDIA,NR,PB,2031,3.613
INDIA,NR,RJ,2031,0.693
INDIA,NR,UK,2031,1.105
INDIA,NR,UP,2031,1.335
INDIA,SR,AP,2031,1.706
INDIA,SR,KA,2031,1.01
INDIA,SR,KL,2031,0.362
INDIA,SR,TN,2031,2.218
INDIA,SR,TS,2031,1.633
INDIA,WR,CG,2031,6.392
INDIA,WR,GA,2031,0.454
INDIA,WR,GJ,2031,2.418
INDIA,WR,MH,2031,4.086
INDIA,WR,MP,2031,0.634
INDIA,ER,BR,2032,0.59
INDIA,ER,JH,2032,1.56
INDIA,ER,OD,2032,2.967
INDIA,ER,SK,2032,0
INDIA,ER,WB,2032,4.455
INDIA,NER,AS,2032,0.121
INDIA,NER,NE,2032,0.159
INDIA,NR,DL,2032,0.005
INDIA,NR,HP,2032,1.411
INDIA,NR,HR,2032,0.185
INDIA,NR,JK,2032,0.163
INDIA,NR,PB,2032,3.613
INDIA,NR,RJ,2032,0.693
INDIA,NR,UK,2032,1.106
INDIA,NR,UP,2032,1.335
INDIA,SR,AP,2032,1.706
INDIA,SR,KA,2032,1.011
INDIA,SR,KL,2032,0.363
INDIA,SR,TN,2032,2.217
INDIA,SR,TS,2032,1.633
INDIA,WR,CG,2032,6.393
INDIA,WR,GA,2032,0.454
INDIA,WR,GJ,2032,2.417
INDIA,WR,MH,2032,4.086
INDIA,WR,MP,2032,0.634
INDIA,ER,BR,2033,0.59
INDIA,ER,JH,2033,1.56
INDIA,ER,OD,2033,2.967
INDIA,ER,SK,2033,0
INDIA,ER,WB,2033,4.455
INDIA,NER,AS,2033,0.121
INDIA,NER,NE,2033,0.159
INDIA,NR,DL,2033,0.005
INDIA,NR,HP,2033,1.411
INDIA,NR,HR,2033,0.185
INDIA,NR,JK,2033,0.163
INDIA,NR,PB,2033,3.613
INDIA,NR,RJ,2033,0.693
INDIA,NR,UK,2033,1.106
INDIA,NR,UP,2033,1.335
INDIA,SR,AP,2033,1.706
INDIA,SR,KA,2033,1.011
INDIA,SR,KL,2033,0.363
INDIA,SR,TN,2033,2.217
INDIA,SR,TS,2033,1.633
INDIA,WR,CG,2033,6.393
INDIA,WR,GA,2033,0.454
INDIA,WR,GJ,2033,2.417
INDIA,WR,MH,2033,4.086
INDIA,WR,MP,2033,0.634
INDIA,ER,BR,2034,0.59
INDIA,ER,JH,2034,1.56
INDIA,ER,OD,2034,2.967
INDIA,ER,SK,2034,0
INDIA,ER,WB,2034,4.455
INDIA,NER,AS,2034,0.121
INDIA,NER,NE,2034,0.159
INDIA,NR,DL,2034,0.005
INDIA,NR,HP,2034,1.411
INDIA,NR,HR,2034,0.185
INDIA,NR,JK,2034,0.163
INDIA,NR,PB,2034,3.613
INDIA,NR,RJ,2034,0.693
INDIA,NR,UK,2034,1.106
INDIA,NR,UP,2034,1.335
INDIA,SR,AP,2034,1.706
INDIA,SR,KA,2034,1.011
INDIA,SR,KL,2034,0.363
INDIA,SR,TN,2034,2.217
INDIA,SR,TS,2034,1.633
INDIA,WR,CG,2034,6.393
INDIA,WR,GA,2034,0.454
INDIA,WR,GJ,2034,2.417
INDIA,WR,MH,2034,4.086
INDIA,WR,MP,2034,0.634
INDIA,ER,BR,2035,0.59
INDIA,ER,JH,2035,1.56
INDIA,ER,OD,2035,2.967
INDIA,ER,SK,2035,0
INDIA,ER,WB,2035,4.455
INDIA,NER,AS,2035,0.121
INDIA,NER,NE,2035,0.159
INDIA,NR,DL,2035,0.005
INDIA,NR,HP,2035,1.411
INDIA,NR,HR,2035,0.185
INDIA,NR,JK,2035,0.163
INDIA,NR,PB,2035,3.613
INDIA,NR,RJ,2035,0.693
INDIA,NR,UK,2035,1.106
INDIA,NR,UP,2035,1.335
INDIA,SR,AP,2035,1.706
INDIA,SR,KA,2035,1.011
INDIA,SR,KL,2035,0.363
INDIA,SR,TN,2035,2.217
INDIA,SR,TS,2035,1.633
INDIA,WR,CG,2035,6.393
INDIA,WR,GA,2035,0.454
INDIA,WR,GJ,2035,2.417
INDIA,WR,MH,2035,4.086
INDIA,WR,MP,2035,0.634
INDIA,ER,BR,2036,0.59
INDIA,ER,JH,2036,1.56
INDIA,ER,OD,2036,2.967
INDIA,ER,SK,2036,0
INDIA,ER,WB,2036,4.455
INDIA,NER,AS,2036,0.12
INDIA,NER,NE,2036,0.159
INDIA,NR,DL,2036,0.005
INDIA,NR,HP,2036,1.411
INDIA,NR,HR,2036,0.184
INDIA,NR,JK,2036,0.163
INDIA,NR,PB,2036,3.613
INDIA,NR,RJ,2036,0.693
INDIA,NR,UK,2036,1.106
INDIA,NR,UP,2036,1.335
INDIA,SR,AP,2036,1.706
INDIA,SR,KA,2036,1.011
INDIA,SR,KL,2036,0.363
INDIA,SR,TN,2036,2.218
INDIA,SR,TS,2036,1.633
INDIA,WR,CG,2036,6.393
INDIA,WR,GA,2036,0.454
INDIA,WR,GJ,2036,2.417
INDIA,WR,MH,2036,4.085
INDIA,WR,MP,2036,0.634
INDIA,ER,BR,2037,0.584
INDIA,ER,JH,2037,1.545
INDIA,ER,OD,2037,2.938
INDIA,ER,SK,2037,0
INDIA,ER,WB,2037,4.411
INDIA,NER,AS,2037,0.119
INDIA,NER,NE,2037,0.157
INDIA,NR,DL,2037,0.005
INDIA,NR,HP,2037,1.397
INDIA,NR,HR,2037,0.182
INDIA,NR,JK,2037,0.161
INDIA,NR,PB,2037,3.577
INDIA,NR,RJ,2037,0.686
INDIA,NR,UK,2037,1.094
INDIA,NR,UP,2037,1.322
INDIA,SR,AP,2037,1.689
INDIA,SR,KA,2037,1
INDIA,SR,KL,2037,0.359
INDIA,SR,TN,2037,2.196
INDIA,SR,TS,2037,1.616
INDIA,WR,CG,2037,6.329
INDIA,WR,GA,2037,0.449
INDIA,WR,GJ,2037,2.393
INDIA,WR,MH,2037,4.045
INDIA,WR,MP,2037,0.628
INDIA,ER,BR,2038,0.578
INDIA,ER,JH,2038,1.529
INDIA,ER,OD,2038,2.908
INDIA,ER,SK,2038,0
INDIA,ER,WB,2038,4.366
INDIA,NER,AS,2038,0.118
INDIA,NER,NE,2038,0.155
INDIA,NR,DL,2038,0.005
INDIA,NR,HP,2038,1.383
INDIA,NR,HR,2038,0.18
INDIA,NR,JK,2038,0.16
INDIA,NR,PB,2038,3.541
INDIA,NR,RJ,2038,0.679
INDIA,NR,UK,2038,1.083
INDIA,NR,UP,2038,1.308
INDIA,SR,AP,2038,1.672
INDIA,SR,KA,2038,0.99
INDIA,SR,KL,2038,0.355
INDIA,SR,TN,2038,2.174
INDIA,SR,TS,2038,1.601
INDIA,WR,CG,2038,6.265
INDIA,WR,GA,2038,0.445
INDIA,WR,GJ,2038,2.369
INDIA,WR,MH,2038,4.004
INDIA,WR,MP,2038,0.622
INDIA,ER,BR,2039,0.573
INDIA,ER,JH,2039,1.514
INDIA,ER,OD,2039,2.879
INDIA,ER,SK,2039,0
INDIA,ER,WB,2039,4.322
INDIA,NER,AS,2039,0.117
INDIA,NER,NE,2039,0.153
INDIA,NR,DL,2039,0.005
INDIA,NR,HP,2039,1.369
INDIA,NR,HR,2039,0.179
INDIA,NR,JK,2039,0.158
INDIA,NR,PB,2039,3.506
INDIA,NR,RJ,2039,0.672
INDIA,NR,UK,2039,1.073
INDIA,NR,UP,2039,1.296
INDIA,SR,AP,2039,1.655
INDIA,SR,KA,2039,0.98
INDIA,SR,KL,2039,0.352
INDIA,SR,TN,2039,2.152
INDIA,SR,TS,2039,1.585
INDIA,WR,CG,2039,6.203
INDIA,WR,GA,2039,0.441
INDIA,WR,GJ,2039,2.346
INDIA,WR,MH,2039,3.965
INDIA,WR,MP,2039,0.616
INDIA,ER,BR,2040,0.567
INDIA,ER,JH,2040,1.499
INDIA,ER,OD,2040,2.851
INDIA,ER,SK,2040,0
INDIA,ER,WB,2040,4.28
INDIA,NER,AS,2040,0.116
INDIA,NER,NE,2040,0.152
INDIA,NR,DL,2040,0.005
INDIA,NR,HP,2040,1.356
INDIA,NR,HR,2040,0.177
INDIA,NR,JK,2040,0.156
INDIA,NR,PB,2040,3.47
INDIA,NR,RJ,2040,0.665
INDIA,NR,UK,2040,1.062
INDIA,NR,UP,2040,1.283
INDIA,SR,AP,2040,1.638
INDIA,SR,KA,2040,0.971
INDIA,SR,KL,2040,0.349
INDIA,SR,TN,2040,2.13
INDIA,SR,TS,2040,1.568
INDIA,WR,CG,2040,6.141
INDIA,WR,GA,2040,0.436
INDIA,WR,GJ,2040,2.322
INDIA,WR,MH,2040,3.924
INDIA,WR,MP,2040,0.609
INDIA,ER,BR,2041,0.561
INDIA,ER,JH,2041,1.484
INDIA,ER,OD,2041,2.822
INDIA,ER,SK,2041,0
INDIA,ER,WB,2041,4.237
INDIA,NER,AS,2041,0.114
INDIA,NER,NE,2041,0.151
INDIA,NR,DL,2041,0.005
INDIA,NR,HP,2041,1.342
INDIA,NR,HR,2041,0.175
INDIA,NR,JK,2041,0.155
INDIA,NR,PB,2041,3.436
INDIA,NR,RJ,2041,0.659
INDIA,NR,UK,2041,1.052
INDIA,NR,UP,2041,1.269
INDIA,SR,AP,2041,1.622
INDIA,SR,KA,2041,0.961
INDIA,SR,KL,2041,0.345
INDIA,SR,TN,2041,2.109
INDIA,SR,TS,2041,1.553
INDIA,WR,CG,2041,6.079
INDIA,WR,GA,2041,0.431
INDIA,WR,GJ,2041,2.299
INDIA,WR,MH,2041,3.886
INDIA,WR,MP,2041,0.604
