EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TransitCost
COKING_COAL,2021,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2022,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2023,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2024,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2025,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2026,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2027,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2028,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2029,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2030,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2031,INDIA,ER,INDIA,ER,797.2
COKING_COAL,2021,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2022,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2023,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2024,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2025,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2026,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2027,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2028,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2029,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2030,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2031,INDIA,ER,INDIA,WR,2399.6
COKING_COAL,2021,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2022,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2023,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2024,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2025,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2026,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2027,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2028,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2029,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2030,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2031,INDIA,ER,INDIA,NR,2497.6
COKING_COAL,2021,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2022,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2023,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2024,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2025,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2026,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2027,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2028,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2029,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2030,INDIA,ER,INDIA,SR,2776.7
COKING_COAL,2031,INDIA,ER,INDIA,SR,2776.7
