EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemand
COKING_COAL,2021,,,,INDIA,ER,59.09308120139969
COKING_COAL,2021,,,,INDIA,WR,3.8105774468735727
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,1.2513942904913307
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,63.01725785032084
COKING_COAL,2022,,,,INDIA,WR,4.120631306079221
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,1.3519246353952952
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,65.89164725690695
COKING_COAL,2023,,,,INDIA,WR,4.369230366884072
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,1.4319762484091816
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,68.83100329247715
COKING_COAL,2024,,,,INDIA,WR,4.628847919761677
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,1.5153077056846453
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,71.82764129666411
COKING_COAL,2025,,,,INDIA,WR,4.899352716135125
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,1.6018369009458993
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,74.9102504952662
COKING_COAL,2026,,,,INDIA,WR,5.183122559309501
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,1.6922987131529705
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,78.06676733125376
COKING_COAL,2027,,,,INDIA,WR,5.479796137755529
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,1.7865284856122563
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,81.35101808452697
COKING_COAL,2028,,,,INDIA,WR,5.793688316888133
COKING_COAL,2028,,,,INDIA,NR,0.0
