ModelGeography,Year,AIR+RAIL+LGV+MGV+HGV+WATER
INDIA,2014,572494555.0000002
INDIA,2015,660395483.9999999
INDIA,2016,698005837.6650001
INDIA,2017,711972269
INDIA,2018,792020709.1
INDIA,2019,858234109.056
INDIA,2020,816411710.72232
INDIA,2021,592803238.0708102
INDIA,2022,833031478.3227366
INDIA,2023,882925882.1754094
INDIA,2024,957394944.8576722
INDIA,2025,1017957478.1344942
INDIA,2026,1072692017.2907604
INDIA,2027,1121717943.0406463
INDIA,2028,1165294543.543101
INDIA,2029,1208300538.3668253
INDIA,2030,1250664040.913987
INDIA,2031,1292320385.689592
INDIA,2032,1333212003.8192003
INDIA,2033,1373288239.4896986
INDIA,2034,1412505117.0928626
INDIA,2035,1450825068.2604961
INDIA,2036,1488216627.3005064
INDIA,2037,1524654102.8076077
INDIA,2038,1560117232.4577537
INDIA,2039,1594590827.2246482
INDIA,2040,1628064410.49803
INDIA,2041,1660531856.8512626
