EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,DerivedMaxTransit
COKING_COAL,2025,,,,INDIA,WR,INDIA,WR,1e+18
COKING_COAL,2025,,,,INDIA,WR,INDIA,NR,1e+18
COKING_COAL,2025,,,,INDIA,WR,INDIA,SR,1e+18
COKING_COAL,2025,,,,INDIA,WR,INDIA,NER,1e+18
COKING_COAL,2025,,,,INDIA,NR,INDIA,ER,1e+18
COKING_COAL,2025,,,,INDIA,NR,INDIA,WR,1e+18
COKING_COAL,2025,,,,INDIA,NR,INDIA,NR,1e+18
COKING_COAL,2025,,,,INDIA,NR,INDIA,SR,1e+18
COKING_COAL,2025,,,,INDIA,NR,INDIA,NER,1e+18
COKING_COAL,2025,,,,INDIA,SR,INDIA,ER,1e+18
COKING_COAL,2025,,,,INDIA,SR,INDIA,WR,1e+18
COKING_COAL,2025,,,,INDIA,SR,INDIA,NR,1e+18
COKING_COAL,2025,,,,INDIA,SR,INDIA,SR,1e+18
COKING_COAL,2025,,,,INDIA,SR,INDIA,NER,1e+18
COKING_COAL,2025,,,,INDIA,NER,INDIA,ER,1e+18
COKING_COAL,2025,,,,INDIA,NER,INDIA,WR,1e+18
COKING_COAL,2025,,,,INDIA,NER,INDIA,NR,1e+18
COKING_COAL,2025,,,,INDIA,NER,INDIA,SR,1e+18
COKING_COAL,2025,,,,INDIA,NER,INDIA,NER,1e+18
COKING_COAL,2026,,,,INDIA,ER,INDIA,ER,1e+18
COKING_COAL,2026,,,,INDIA,ER,INDIA,WR,1e+18
COKING_COAL,2026,,,,INDIA,ER,INDIA,NR,1e+18
COKING_COAL,2026,,,,INDIA,ER,INDIA,SR,1e+18
COKING_COAL,2026,,,,INDIA,ER,INDIA,NER,1e+18
COKING_COAL,2026,,,,INDIA,WR,INDIA,ER,1e+18
COKING_COAL,2026,,,,INDIA,WR,INDIA,WR,1e+18
COKING_COAL,2026,,,,INDIA,WR,INDIA,NR,1e+18
COKING_COAL,2026,,,,INDIA,WR,INDIA,SR,1e+18
COKING_COAL,2026,,,,INDIA,WR,INDIA,NER,1e+18
COKING_COAL,2026,,,,INDIA,NR,INDIA,ER,1e+18
COKING_COAL,2026,,,,INDIA,NR,INDIA,WR,1e+18
COKING_COAL,2026,,,,INDIA,NR,INDIA,NR,1e+18
COKING_COAL,2026,,,,INDIA,NR,INDIA,SR,1e+18
COKING_COAL,2026,,,,INDIA,NR,INDIA,NER,1e+18
COKING_COAL,2026,,,,INDIA,SR,INDIA,ER,1e+18
COKING_COAL,2026,,,,INDIA,SR,INDIA,WR,1e+18
COKING_COAL,2026,,,,INDIA,SR,INDIA,NR,1e+18
COKING_COAL,2026,,,,INDIA,SR,INDIA,SR,1e+18
COKING_COAL,2026,,,,INDIA,SR,INDIA,NER,1e+18
COKING_COAL,2026,,,,INDIA,NER,INDIA,ER,1e+18
COKING_COAL,2026,,,,INDIA,NER,INDIA,WR,1e+18
COKING_COAL,2026,,,,INDIA,NER,INDIA,NR,1e+18
COKING_COAL,2026,,,,INDIA,NER,INDIA,SR,1e+18
COKING_COAL,2026,,,,INDIA,NER,INDIA,NER,1e+18
COKING_COAL,2027,,,,INDIA,ER,INDIA,ER,1e+18
COKING_COAL,2027,,,,INDIA,ER,INDIA,WR,1e+18
COKING_COAL,2027,,,,INDIA,ER,INDIA,NR,1e+18
COKING_COAL,2027,,,,INDIA,ER,INDIA,SR,1e+18
COKING_COAL,2027,,,,INDIA,ER,INDIA,NER,1e+18
COKING_COAL,2027,,,,INDIA,WR,INDIA,ER,1e+18
COKING_COAL,2027,,,,INDIA,WR,INDIA,WR,1e+18
COKING_COAL,2027,,,,INDIA,WR,INDIA,NR,1e+18
COKING_COAL,2027,,,,INDIA,WR,INDIA,SR,1e+18
COKING_COAL,2027,,,,INDIA,WR,INDIA,NER,1e+18
COKING_COAL,2027,,,,INDIA,NR,INDIA,ER,1e+18
COKING_COAL,2027,,,,INDIA,NR,INDIA,WR,1e+18
COKING_COAL,2027,,,,INDIA,NR,INDIA,NR,1e+18
COKING_COAL,2027,,,,INDIA,NR,INDIA,SR,1e+18
COKING_COAL,2027,,,,INDIA,NR,INDIA,NER,1e+18
COKING_COAL,2027,,,,INDIA,SR,INDIA,ER,1e+18
COKING_COAL,2027,,,,INDIA,SR,INDIA,WR,1e+18
COKING_COAL,2027,,,,INDIA,SR,INDIA,NR,1e+18
COKING_COAL,2027,,,,INDIA,SR,INDIA,SR,1e+18
COKING_COAL,2027,,,,INDIA,SR,INDIA,NER,1e+18
COKING_COAL,2027,,,,INDIA,NER,INDIA,ER,1e+18
COKING_COAL,2027,,,,INDIA,NER,INDIA,WR,1e+18
COKING_COAL,2027,,,,INDIA,NER,INDIA,NR,1e+18
COKING_COAL,2027,,,,INDIA,NER,INDIA,SR,1e+18
COKING_COAL,2027,,,,INDIA,NER,INDIA,NER,1e+18
COKING_COAL,2028,,,,INDIA,ER,INDIA,ER,1e+18
COKING_COAL,2028,,,,INDIA,ER,INDIA,WR,1e+18
COKING_COAL,2028,,,,INDIA,ER,INDIA,NR,1e+18
COKING_COAL,2028,,,,INDIA,ER,INDIA,SR,1e+18
COKING_COAL,2028,,,,INDIA,ER,INDIA,NER,1e+18
COKING_COAL,2028,,,,INDIA,WR,INDIA,ER,1e+18
COKING_COAL,2028,,,,INDIA,WR,INDIA,WR,1e+18
COKING_COAL,2028,,,,INDIA,WR,INDIA,NR,1e+18
COKING_COAL,2028,,,,INDIA,WR,INDIA,SR,1e+18
COKING_COAL,2028,,,,INDIA,WR,INDIA,NER,1e+18
COKING_COAL,2028,,,,INDIA,NR,INDIA,ER,1e+18
COKING_COAL,2028,,,,INDIA,NR,INDIA,WR,1e+18
COKING_COAL,2028,,,,INDIA,NR,INDIA,NR,1e+18
COKING_COAL,2028,,,,INDIA,NR,INDIA,SR,1e+18
COKING_COAL,2028,,,,INDIA,NR,INDIA,NER,1e+18
COKING_COAL,2028,,,,INDIA,SR,INDIA,ER,1e+18
COKING_COAL,2028,,,,INDIA,SR,INDIA,WR,1e+18
COKING_COAL,2028,,,,INDIA,SR,INDIA,NR,1e+18
COKING_COAL,2028,,,,INDIA,SR,INDIA,SR,1e+18
COKING_COAL,2028,,,,INDIA,SR,INDIA,NER,1e+18
COKING_COAL,2028,,,,INDIA,NER,INDIA,ER,1e+18
COKING_COAL,2028,,,,INDIA,NER,INDIA,WR,1e+18
COKING_COAL,2028,,,,INDIA,NER,INDIA,NR,1e+18
COKING_COAL,2028,,,,INDIA,NER,INDIA,SR,1e+18
COKING_COAL,2028,,,,INDIA,NER,INDIA,NER,1e+18
COKING_COAL,2029,,,,INDIA,ER,INDIA,ER,1e+18
COKING_COAL,2029,,,,INDIA,ER,INDIA,WR,1e+18
COKING_COAL,2029,,,,INDIA,ER,INDIA,NR,1e+18
COKING_COAL,2029,,,,INDIA,ER,INDIA,SR,1e+18
COKING_COAL,2029,,,,INDIA,ER,INDIA,NER,1e+18
COKING_COAL,2029,,,,INDIA,WR,INDIA,ER,1e+18
COKING_COAL,2029,,,,INDIA,WR,INDIA,WR,1e+18
COKING_COAL,2029,,,,INDIA,WR,INDIA,NR,1e+18
COKING_COAL,2029,,,,INDIA,WR,INDIA,SR,1e+18
COKING_COAL,2029,,,,INDIA,WR,INDIA,NER,1e+18
COKING_COAL,2029,,,,INDIA,NR,INDIA,ER,1e+18
COKING_COAL,2029,,,,INDIA,NR,INDIA,WR,1e+18
COKING_COAL,2029,,,,INDIA,NR,INDIA,NR,1e+18
COKING_COAL,2029,,,,INDIA,NR,INDIA,SR,1e+18
COKING_COAL,2029,,,,INDIA,NR,INDIA,NER,1e+18
COKING_COAL,2029,,,,INDIA,SR,INDIA,ER,1e+18
COKING_COAL,2029,,,,INDIA,SR,INDIA,WR,1e+18
COKING_COAL,2029,,,,INDIA,SR,INDIA,NR,1e+18
COKING_COAL,2029,,,,INDIA,SR,INDIA,SR,1e+18
COKING_COAL,2029,,,,INDIA,SR,INDIA,NER,1e+18
COKING_COAL,2029,,,,INDIA,NER,INDIA,ER,1e+18
COKING_COAL,2029,,,,INDIA,NER,INDIA,WR,1e+18
COKING_COAL,2029,,,,INDIA,NER,INDIA,NR,1e+18
COKING_COAL,2029,,,,INDIA,NER,INDIA,SR,1e+18
COKING_COAL,2029,,,,INDIA,NER,INDIA,NER,1e+18
COKING_COAL,2030,,,,INDIA,ER,INDIA,ER,1e+18
COKING_COAL,2030,,,,INDIA,ER,INDIA,WR,1e+18
COKING_COAL,2030,,,,INDIA,ER,INDIA,NR,1e+18
COKING_COAL,2030,,,,INDIA,ER,INDIA,SR,1e+18
COKING_COAL,2030,,,,INDIA,ER,INDIA,NER,1e+18
COKING_COAL,2030,,,,INDIA,WR,INDIA,ER,1e+18
COKING_COAL,2030,,,,INDIA,WR,INDIA,WR,1e+18
COKING_COAL,2030,,,,INDIA,WR,INDIA,NR,1e+18
COKING_COAL,2030,,,,INDIA,WR,INDIA,SR,1e+18
COKING_COAL,2030,,,,INDIA,WR,INDIA,NER,1e+18
COKING_COAL,2030,,,,INDIA,NR,INDIA,ER,1e+18
COKING_COAL,2030,,,,INDIA,NR,INDIA,WR,1e+18
COKING_COAL,2030,,,,INDIA,NR,INDIA,NR,1e+18
COKING_COAL,2030,,,,INDIA,NR,INDIA,SR,1e+18
COKING_COAL,2030,,,,INDIA,NR,INDIA,NER,1e+18
COKING_COAL,2030,,,,INDIA,SR,INDIA,ER,1e+18
COKING_COAL,2030,,,,INDIA,SR,INDIA,WR,1e+18
COKING_COAL,2030,,,,INDIA,SR,INDIA,NR,1e+18
COKING_COAL,2030,,,,INDIA,SR,INDIA,SR,1e+18
COKING_COAL,2030,,,,INDIA,SR,INDIA,NER,1e+18
COKING_COAL,2030,,,,INDIA,NER,INDIA,ER,1e+18
COKING_COAL,2030,,,,INDIA,NER,INDIA,WR,1e+18
COKING_COAL,2030,,,,INDIA,NER,INDIA,NR,1e+18
COKING_COAL,2030,,,,INDIA,NER,INDIA,SR,1e+18
COKING_COAL,2030,,,,INDIA,NER,INDIA,NER,1e+18
COKING_COAL,2031,,,,INDIA,ER,INDIA,ER,1e+18
COKING_COAL,2031,,,,INDIA,ER,INDIA,WR,1e+18
COKING_COAL,2031,,,,INDIA,ER,INDIA,NR,1e+18
COKING_COAL,2031,,,,INDIA,ER,INDIA,SR,1e+18
COKING_COAL,2031,,,,INDIA,ER,INDIA,NER,1e+18
COKING_COAL,2031,,,,INDIA,WR,INDIA,ER,1e+18
