InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,VarCost
2023,RF_LPG,2029,INDIA,,6889.270914
2024,RF_LPG,2029,INDIA,,6889.270914
2025,RF_LPG,2029,INDIA,,6889.270914
2026,RF_LPG,2029,INDIA,,6889.270914
2027,RF_LPG,2029,INDIA,,6889.270914
2028,RF_LPG,2029,INDIA,,6889.270914
2029,RF_LPG,2029,INDIA,,6889.270914
2021,RF_LPG,2030,INDIA,,6889.270914
2022,RF_LPG,2030,INDIA,,6889.270914
2023,RF_LPG,2030,INDIA,,6889.270914
2024,RF_LPG,2030,INDIA,,6889.270914
2025,RF_LPG,2030,INDIA,,6889.270914
2026,RF_LPG,2030,INDIA,,6889.270914
2027,RF_LPG,2030,INDIA,,6889.270914
2028,RF_LPG,2030,INDIA,,6889.270914
2029,RF_LPG,2030,INDIA,,6889.270914
2030,RF_LPG,2030,INDIA,,6889.270914
2021,RF_LPG,2031,INDIA,,6889.270914
2022,RF_LPG,2031,INDIA,,6889.270914
2023,RF_LPG,2031,INDIA,,6889.270914
2024,RF_LPG,2031,INDIA,,6889.270914
2025,RF_LPG,2031,INDIA,,6889.270914
2026,RF_LPG,2031,INDIA,,6889.270914
2027,RF_LPG,2031,INDIA,,6889.270914
2028,RF_LPG,2031,INDIA,,6889.270914
2029,RF_LPG,2031,INDIA,,6889.270914
2030,RF_LPG,2031,INDIA,,6889.270914
2031,RF_LPG,2031,INDIA,,6889.270914
2020,RF_MS,2021,INDIA,,1864.278928
2020,RF_MS,2022,INDIA,,1864.278928
2020,RF_MS,2023,INDIA,,1864.278928
2020,RF_MS,2024,INDIA,,1864.278928
2020,RF_MS,2025,INDIA,,1864.278928
2020,RF_MS,2026,INDIA,,1864.278928
2020,RF_MS,2027,INDIA,,1864.278928
2020,RF_MS,2028,INDIA,,1864.278928
2020,RF_MS,2029,INDIA,,1864.278928
2020,RF_MS,2030,INDIA,,1864.278928
2020,RF_MS,2031,INDIA,,1864.278928
2021,RF_MS,2021,INDIA,,1864.278928
2021,RF_MS,2022,INDIA,,1864.278928
2022,RF_MS,2022,INDIA,,1864.278928
2021,RF_MS,2023,INDIA,,1864.278928
2022,RF_MS,2023,INDIA,,1864.278928
2023,RF_MS,2023,INDIA,,1864.278928
2021,RF_MS,2024,INDIA,,1864.278928
2022,RF_MS,2024,INDIA,,1864.278928
2023,RF_MS,2024,INDIA,,1864.278928
2024,RF_MS,2024,INDIA,,1864.278928
2021,RF_MS,2025,INDIA,,1864.278928
2022,RF_MS,2025,INDIA,,1864.278928
2023,RF_MS,2025,INDIA,,1864.278928
2024,RF_MS,2025,INDIA,,1864.278928
2025,RF_MS,2025,INDIA,,1864.278928
2021,RF_MS,2026,INDIA,,1864.278928
2022,RF_MS,2026,INDIA,,1864.278928
2023,RF_MS,2026,INDIA,,1864.278928
2024,RF_MS,2026,INDIA,,1864.278928
2025,RF_MS,2026,INDIA,,1864.278928
2026,RF_MS,2026,INDIA,,1864.278928
2021,RF_MS,2027,INDIA,,1864.278928
2022,RF_MS,2027,INDIA,,1864.278928
2023,RF_MS,2027,INDIA,,1864.278928
2024,RF_MS,2027,INDIA,,1864.278928
2025,RF_MS,2027,INDIA,,1864.278928
2026,RF_MS,2027,INDIA,,1864.278928
2027,RF_MS,2027,INDIA,,1864.278928
2021,RF_MS,2028,INDIA,,1864.278928
2022,RF_MS,2028,INDIA,,1864.278928
2023,RF_MS,2028,INDIA,,1864.278928
2024,RF_MS,2028,INDIA,,1864.278928
2025,RF_MS,2028,INDIA,,1864.278928
2026,RF_MS,2028,INDIA,,1864.278928
2027,RF_MS,2028,INDIA,,1864.278928
2028,RF_MS,2028,INDIA,,1864.278928
2021,RF_MS,2029,INDIA,,1864.278928
2022,RF_MS,2029,INDIA,,1864.278928
2023,RF_MS,2029,INDIA,,1864.278928
2024,RF_MS,2029,INDIA,,1864.278928
2025,RF_MS,2029,INDIA,,1864.278928
2026,RF_MS,2029,INDIA,,1864.278928
2027,RF_MS,2029,INDIA,,1864.278928
2028,RF_MS,2029,INDIA,,1864.278928
2029,RF_MS,2029,INDIA,,1864.278928
2021,RF_MS,2030,INDIA,,1864.278928
2022,RF_MS,2030,INDIA,,1864.278928
2023,RF_MS,2030,INDIA,,1864.278928
2024,RF_MS,2030,INDIA,,1864.278928
2025,RF_MS,2030,INDIA,,1864.278928
2026,RF_MS,2030,INDIA,,1864.278928
2027,RF_MS,2030,INDIA,,1864.278928
2028,RF_MS,2030,INDIA,,1864.278928
2029,RF_MS,2030,INDIA,,1864.278928
2030,RF_MS,2030,INDIA,,1864.278928
2021,RF_MS,2031,INDIA,,1864.278928
2022,RF_MS,2031,INDIA,,1864.278928
2023,RF_MS,2031,INDIA,,1864.278928
2024,RF_MS,2031,INDIA,,1864.278928
2025,RF_MS,2031,INDIA,,1864.278928
2026,RF_MS,2031,INDIA,,1864.278928
2027,RF_MS,2031,INDIA,,1864.278928
2028,RF_MS,2031,INDIA,,1864.278928
2029,RF_MS,2031,INDIA,,1864.278928
2030,RF_MS,2031,INDIA,,1864.278928
2031,RF_MS,2031,INDIA,,1864.278928
2020,RF_HSD,2021,INDIA,,85.67272938
2020,RF_HSD,2022,INDIA,,85.67272938
2020,RF_HSD,2023,INDIA,,85.67272938
2020,RF_HSD,2024,INDIA,,85.67272938
2020,RF_HSD,2025,INDIA,,85.67272938
2020,RF_HSD,2026,INDIA,,85.67272938
2020,RF_HSD,2027,INDIA,,85.67272938
2020,RF_HSD,2028,INDIA,,85.67272938
2020,RF_HSD,2029,INDIA,,85.67272938
2020,RF_HSD,2030,INDIA,,85.67272938
2020,RF_HSD,2031,INDIA,,85.67272938
2021,RF_HSD,2021,INDIA,,85.67272938
2021,RF_HSD,2022,INDIA,,85.67272938
2022,RF_HSD,2022,INDIA,,85.67272938
2021,RF_HSD,2023,INDIA,,85.67272938
2022,RF_HSD,2023,INDIA,,85.67272938
2023,RF_HSD,2023,INDIA,,85.67272938
2021,RF_HSD,2024,INDIA,,85.67272938
2022,RF_HSD,2024,INDIA,,85.67272938
2023,RF_HSD,2024,INDIA,,85.67272938
2024,RF_HSD,2024,INDIA,,85.67272938
2021,RF_HSD,2025,INDIA,,85.67272938
2022,RF_HSD,2025,INDIA,,85.67272938
2023,RF_HSD,2025,INDIA,,85.67272938
2024,RF_HSD,2025,INDIA,,85.67272938
2025,RF_HSD,2025,INDIA,,85.67272938
2021,RF_HSD,2026,INDIA,,85.67272938
2022,RF_HSD,2026,INDIA,,85.67272938
2023,RF_HSD,2026,INDIA,,85.67272938
2024,RF_HSD,2026,INDIA,,85.67272938
2025,RF_HSD,2026,INDIA,,85.67272938
2026,RF_HSD,2026,INDIA,,85.67272938
2021,RF_HSD,2027,INDIA,,85.67272938
2022,RF_HSD,2027,INDIA,,85.67272938
2023,RF_HSD,2027,INDIA,,85.67272938
2024,RF_HSD,2027,INDIA,,85.67272938
2025,RF_HSD,2027,INDIA,,85.67272938
2026,RF_HSD,2027,INDIA,,85.67272938
2027,RF_HSD,2027,INDIA,,85.67272938
2021,RF_HSD,2028,INDIA,,85.67272938
2022,RF_HSD,2028,INDIA,,85.67272938
2023,RF_HSD,2028,INDIA,,85.67272938
2024,RF_HSD,2028,INDIA,,85.67272938
2025,RF_HSD,2028,INDIA,,85.67272938
2026,RF_HSD,2028,INDIA,,85.67272938
2027,RF_HSD,2028,INDIA,,85.67272938
2028,RF_HSD,2028,INDIA,,85.67272938
2021,RF_HSD,2029,INDIA,,85.67272938
2022,RF_HSD,2029,INDIA,,85.67272938
2023,RF_HSD,2029,INDIA,,85.67272938
2024,RF_HSD,2029,INDIA,,85.67272938
2025,RF_HSD,2029,INDIA,,85.67272938
2026,RF_HSD,2029,INDIA,,85.67272938
2027,RF_HSD,2029,INDIA,,85.67272938
2028,RF_HSD,2029,INDIA,,85.67272938
2029,RF_HSD,2029,INDIA,,85.67272938
2021,RF_HSD,2030,INDIA,,85.67272938
2022,RF_HSD,2030,INDIA,,85.67272938
2023,RF_HSD,2030,INDIA,,85.67272938
2024,RF_HSD,2030,INDIA,,85.67272938
2025,RF_HSD,2030,INDIA,,85.67272938
2026,RF_HSD,2030,INDIA,,85.67272938
2027,RF_HSD,2030,INDIA,,85.67272938
2028,RF_HSD,2030,INDIA,,85.67272938
2029,RF_HSD,2030,INDIA,,85.67272938
2030,RF_HSD,2030,INDIA,,85.67272938
2021,RF_HSD,2031,INDIA,,85.67272938
2022,RF_HSD,2031,INDIA,,85.67272938
2023,RF_HSD,2031,INDIA,,85.67272938
2024,RF_HSD,2031,INDIA,,85.67272938
2025,RF_HSD,2031,INDIA,,85.67272938
2026,RF_HSD,2031,INDIA,,85.67272938
2027,RF_HSD,2031,INDIA,,85.67272938
2028,RF_HSD,2031,INDIA,,85.67272938
2029,RF_HSD,2031,INDIA,,85.67272938
2030,RF_HSD,2031,INDIA,,85.67272938
2031,RF_HSD,2031,INDIA,,85.67272938
2020,RF_ATF,2021,INDIA,,20991.57281
2020,RF_ATF,2022,INDIA,,20991.57281
2020,RF_ATF,2023,INDIA,,20991.57281
2020,RF_ATF,2024,INDIA,,20991.57281
2020,RF_ATF,2025,INDIA,,20991.57281
2020,RF_ATF,2026,INDIA,,20991.57281
2020,RF_ATF,2027,INDIA,,20991.57281
2020,RF_ATF,2028,INDIA,,20991.57281
2020,RF_ATF,2029,INDIA,,20991.57281
2020,RF_ATF,2030,INDIA,,20991.57281
2020,RF_ATF,2031,INDIA,,20991.57281
2021,RF_ATF,2021,INDIA,,20991.57281
2021,RF_ATF,2022,INDIA,,20991.57281
2022,RF_ATF,2022,INDIA,,20991.57281
2021,RF_ATF,2023,INDIA,,20991.57281
2022,RF_ATF,2023,INDIA,,20991.57281
2023,RF_ATF,2023,INDIA,,20991.57281
2021,RF_ATF,2024,INDIA,,20991.57281
2022,RF_ATF,2024,INDIA,,20991.57281
2023,RF_ATF,2024,INDIA,,20991.57281
2024,RF_ATF,2024,INDIA,,20991.57281
2021,RF_ATF,2025,INDIA,,20991.57281
2022,RF_ATF,2025,INDIA,,20991.57281
2023,RF_ATF,2025,INDIA,,20991.57281
2024,RF_ATF,2025,INDIA,,20991.57281
2025,RF_ATF,2025,INDIA,,20991.57281
2021,RF_ATF,2026,INDIA,,20991.57281
2022,RF_ATF,2026,INDIA,,20991.57281
2023,RF_ATF,2026,INDIA,,20991.57281
2024,RF_ATF,2026,INDIA,,20991.57281
2025,RF_ATF,2026,INDIA,,20991.57281
2026,RF_ATF,2026,INDIA,,20991.57281
2021,RF_ATF,2027,INDIA,,20991.57281
2022,RF_ATF,2027,INDIA,,20991.57281
2023,RF_ATF,2027,INDIA,,20991.57281
2024,RF_ATF,2027,INDIA,,20991.57281
2025,RF_ATF,2027,INDIA,,20991.57281
2026,RF_ATF,2027,INDIA,,20991.57281
2027,RF_ATF,2027,INDIA,,20991.57281
2021,RF_ATF,2028,INDIA,,20991.57281
2022,RF_ATF,2028,INDIA,,20991.57281
2023,RF_ATF,2028,INDIA,,20991.57281
2024,RF_ATF,2028,INDIA,,20991.57281
2025,RF_ATF,2028,INDIA,,20991.57281
2026,RF_ATF,2028,INDIA,,20991.57281
2027,RF_ATF,2028,INDIA,,20991.57281
2028,RF_ATF,2028,INDIA,,20991.57281
2021,RF_ATF,2029,INDIA,,20991.57281
2022,RF_ATF,2029,INDIA,,20991.57281
2023,RF_ATF,2029,INDIA,,20991.57281
2024,RF_ATF,2029,INDIA,,20991.57281
2025,RF_ATF,2029,INDIA,,20991.57281
2026,RF_ATF,2029,INDIA,,20991.57281
2027,RF_ATF,2029,INDIA,,20991.57281
2028,RF_ATF,2029,INDIA,,20991.57281
2029,RF_ATF,2029,INDIA,,20991.57281
2021,RF_ATF,2030,INDIA,,20991.57281
2022,RF_ATF,2030,INDIA,,20991.57281
2023,RF_ATF,2030,INDIA,,20991.57281
2024,RF_ATF,2030,INDIA,,20991.57281
2025,RF_ATF,2030,INDIA,,20991.57281
2026,RF_ATF,2030,INDIA,,20991.57281
2027,RF_ATF,2030,INDIA,,20991.57281
2028,RF_ATF,2030,INDIA,,20991.57281
2029,RF_ATF,2030,INDIA,,20991.57281
2030,RF_ATF,2030,INDIA,,20991.57281
2021,RF_ATF,2031,INDIA,,20991.57281
2022,RF_ATF,2031,INDIA,,20991.57281
2023,RF_ATF,2031,INDIA,,20991.57281
2024,RF_ATF,2031,INDIA,,20991.57281
2025,RF_ATF,2031,INDIA,,20991.57281
2026,RF_ATF,2031,INDIA,,20991.57281
2027,RF_ATF,2031,INDIA,,20991.57281
2028,RF_ATF,2031,INDIA,,20991.57281
2029,RF_ATF,2031,INDIA,,20991.57281
2030,RF_ATF,2031,INDIA,,20991.57281
2031,RF_ATF,2031,INDIA,,20991.57281
2020,RF_OTHERPP,2021,INDIA,,5263.92116
2020,RF_OTHERPP,2022,INDIA,,5263.92116
2020,RF_OTHERPP,2023,INDIA,,5263.92116
2020,RF_OTHERPP,2024,INDIA,,5263.92116
2020,RF_OTHERPP,2025,INDIA,,5263.92116
2020,RF_OTHERPP,2026,INDIA,,5263.92116
2020,RF_OTHERPP,2027,INDIA,,5263.92116
2020,RF_OTHERPP,2028,INDIA,,5263.92116
2020,RF_OTHERPP,2029,INDIA,,5263.92116
2020,RF_OTHERPP,2030,INDIA,,5263.92116
2020,RF_OTHERPP,2031,INDIA,,5263.92116
2021,RF_OTHERPP,2021,INDIA,,5263.92116
2021,RF_OTHERPP,2022,INDIA,,5263.92116
2022,RF_OTHERPP,2022,INDIA,,5263.92116
2021,RF_OTHERPP,2023,INDIA,,5263.92116
2022,RF_OTHERPP,2023,INDIA,,5263.92116
2023,RF_OTHERPP,2023,INDIA,,5263.92116
2021,RF_OTHERPP,2024,INDIA,,5263.92116
2022,RF_OTHERPP,2024,INDIA,,5263.92116
2023,RF_OTHERPP,2024,INDIA,,5263.92116
2024,RF_OTHERPP,2024,INDIA,,5263.92116
2021,RF_OTHERPP,2025,INDIA,,5263.92116
2022,RF_OTHERPP,2025,INDIA,,5263.92116
2023,RF_OTHERPP,2025,INDIA,,5263.92116
2024,RF_OTHERPP,2025,INDIA,,5263.92116
2025,RF_OTHERPP,2025,INDIA,,5263.92116
2021,RF_OTHERPP,2026,INDIA,,5263.92116
2022,RF_OTHERPP,2026,INDIA,,5263.92116
2023,RF_OTHERPP,2026,INDIA,,5263.92116
2024,RF_OTHERPP,2026,INDIA,,5263.92116
2025,RF_OTHERPP,2026,INDIA,,5263.92116
2026,RF_OTHERPP,2026,INDIA,,5263.92116
2021,RF_OTHERPP,2027,INDIA,,5263.92116
2022,RF_OTHERPP,2027,INDIA,,5263.92116
2023,RF_OTHERPP,2027,INDIA,,5263.92116
2024,RF_OTHERPP,2027,INDIA,,5263.92116
2025,RF_OTHERPP,2027,INDIA,,5263.92116
