InstYear,EnergyStorTech,Year,ModelGeography,SubGeography1,StorFixedCost
2020,FOURHR_BATTERY,2029,INDIA,ER,4534.443069
2020,FOURHR_BATTERY,2029,INDIA,WR,4534.443069
2020,FOURHR_BATTERY,2029,INDIA,NR,4534.443069
2020,FOURHR_BATTERY,2029,INDIA,SR,4534.443069
2020,FOURHR_BATTERY,2029,INDIA,NER,4534.443069
2020,FOURHR_BATTERY,2030,INDIA,ER,4534.443069
2020,FOURHR_BATTERY,2030,INDIA,WR,4534.443069
2020,FOURHR_BATTERY,2030,INDIA,NR,4534.443069
2020,FOURHR_BATTERY,2030,INDIA,SR,4534.443069
2020,FOURHR_BATTERY,2030,INDIA,NER,4534.443069
2020,FOURHR_BATTERY,2031,INDIA,ER,4534.443069
2020,FOURHR_BATTERY,2031,INDIA,WR,4534.443069
2020,FOURHR_BATTERY,2031,INDIA,NR,4534.443069
2020,FOURHR_BATTERY,2031,INDIA,SR,4534.443069
2020,FOURHR_BATTERY,2031,INDIA,NER,4534.443069
2021,FOURHR_BATTERY,2021,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2021,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2021,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2021,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2021,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2022,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2022,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2022,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2022,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2022,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2023,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2023,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2023,INDIA,NR,4396.174264
2021,FOURHR_BATTERY,2023,INDIA,SR,4396.174264
2021,FOURHR_BATTERY,2023,INDIA,NER,4396.174264
2021,FOURHR_BATTERY,2024,INDIA,ER,4396.174264
2021,FOURHR_BATTERY,2024,INDIA,WR,4396.174264
2021,FOURHR_BATTERY,2024,INDIA,NR,4396.174264
