EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ImpSupplyFrom
COKING_COAL,2021,,,,INDIA,ER,44.31962890307316
COKING_COAL,2021,,,,INDIA,WR,2.8579213491385267
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,0.9385418637586059
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,47.26274930387857
COKING_COAL,2022,,,,INDIA,WR,3.090460788622595
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,1.0139393128179406
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,49.418532506122624
COKING_COAL,2023,,,,INDIA,WR,3.276909318577783
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,1.0739777760311913
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,51.6230404800171
COKING_COAL,2024,,,,INDIA,WR,3.4716216836522054
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,1.1364761123391882
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,53.87050975395414
COKING_COAL,2025,,,,INDIA,WR,3.6744994478174053
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,1.2013727422879663
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,56.18245715892391
COKING_COAL,2026,,,,INDIA,WR,3.887325956228913
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,1.269218822834227
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,58.54983506430817
COKING_COAL,2027,,,,INDIA,WR,4.109830226352559
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,1.3398908619648866
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,61.01301301425503
COKING_COAL,2028,,,,INDIA,WR,4.345248393960384
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,1.4144051656354257
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,63.57567059755028
COKING_COAL,2029,,,,INDIA,WR,4.594340344836696
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,1.492964575325781
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,66.24161896959671
COKING_COAL,2030,,,,INDIA,WR,4.857911118466602
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,1.5757822525170708
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,69.01480517348428
COKING_COAL,2031,,,,INDIA,WR,5.136813591345718
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,1.6630821791453045
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,0.0
STEAM_COAL,2021,,,,INDIA,WR,45.69895703809949
STEAM_COAL,2021,,,,INDIA,NR,0.0
STEAM_COAL,2021,,,,INDIA,SR,117.54039331718148
STEAM_COAL,2021,,,,INDIA,NER,0.0
STEAM_COAL,2022,,,,INDIA,ER,0.0
STEAM_COAL,2022,,,,INDIA,WR,49.90842280424566
STEAM_COAL,2022,,,,INDIA,NR,0.0
STEAM_COAL,2022,,,,INDIA,SR,129.9898547722342
STEAM_COAL,2022,,,,INDIA,NER,0.0
STEAM_COAL,2023,,,,INDIA,ER,0.0
STEAM_COAL,2023,,,,INDIA,WR,39.67442031352804
STEAM_COAL,2023,,,,INDIA,NR,0.0
STEAM_COAL,2023,,,,INDIA,SR,123.18840817011252
STEAM_COAL,2023,,,,INDIA,NER,0.0
STEAM_COAL,2024,,,,INDIA,ER,0.0
STEAM_COAL,2024,,,,INDIA,WR,41.31013400977984
STEAM_COAL,2024,,,,INDIA,NR,0.0
STEAM_COAL,2024,,,,INDIA,SR,110.77913193911229
STEAM_COAL,2024,,,,INDIA,NER,0.0
STEAM_COAL,2025,,,,INDIA,ER,0.0
STEAM_COAL,2025,,,,INDIA,WR,37.09773265905513
STEAM_COAL,2025,,,,INDIA,NR,0.0
STEAM_COAL,2025,,,,INDIA,SR,107.4839873017824
STEAM_COAL,2025,,,,INDIA,NER,0.0
STEAM_COAL,2026,,,,INDIA,ER,0.5798826925843242
STEAM_COAL,2026,,,,INDIA,WR,16.57851294852811
STEAM_COAL,2026,,,,INDIA,NR,0.0
STEAM_COAL,2026,,,,INDIA,SR,110.24295205100435
STEAM_COAL,2026,,,,INDIA,NER,0.0
STEAM_COAL,2027,,,,INDIA,ER,0.0
STEAM_COAL,2027,,,,INDIA,WR,0.0
STEAM_COAL,2027,,,,INDIA,NR,0.0
