InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,NamePlateCapacity
2020,EG_CCGT,2029,INDIA,SR,7.659523000000001
2020,EG_CCGT,2029,INDIA,NER,2.145014
2020,EG_CCGT,2030,INDIA,ER,0.828372
2020,EG_CCGT,2030,INDIA,WR,14.879273999999999
2020,EG_CCGT,2030,INDIA,NR,5.919032999999999
2020,EG_CCGT,2030,INDIA,SR,7.659523000000001
2020,EG_CCGT,2030,INDIA,NER,2.145014
2020,EG_CCGT,2031,INDIA,ER,0.828372
2020,EG_CCGT,2031,INDIA,WR,14.879273999999999
2020,EG_CCGT,2031,INDIA,NR,5.919032999999999
2020,EG_CCGT,2031,INDIA,SR,7.659523000000001
2020,EG_CCGT,2031,INDIA,NER,2.145014
2020,EG_OCGT,2021,INDIA,ER,0.0
2020,EG_OCGT,2021,INDIA,WR,0.0
