Year,AnnualCost
2021,25785774.070763372
2022,27699925.24664449
2023,29530832.508719914
2024,31107478.4458444
2025,32822519.08254839
2026,34400401.33515144
2027,36065941.939108595
2028,37905077.39639692
2029,40184331.421258554
2030,42379033.557281114
2031,44573770.11382905
