Year,AnnualECTCost
2021,4852024.2703654235
2022,5058630.251037433
2023,5340002.556730322
2024,5536560.702473911
2025,5822676.489146009
2026,5996916.285932199
2027,6164253.483242194
2028,6405101.023547646
2029,6734914.116642306
2030,6970071.492896048
2031,7090245.2035320895
