EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DECCostInBT_BA
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,569.7276309958568
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,522.665291152802
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,297.7911589179637
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,13.628105623028338
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,199.46306516225198
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,623.597711784046
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,591.923446299979
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,330.5196874592688
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,18.136355322978996
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,195.60506950135965
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,602.0898956489978
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,563.8451186472469
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,316.27948238385824
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,13.815732992899218
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,280.09530837547476
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,671.0088592192313
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,710.4523871717129
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,365.26971150939397
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,28.165942777355
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,327.53778368049996
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,978.6989313053297
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,885.0491211710623
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,507.6529280586579
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,20.968633110329087
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,140.81036957748822
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,473.35844067125123
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,402.75688726984606
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,243.09861351555983
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,12.83845032573046
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,160.53892460114486
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,562.6227080213874
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,407.6243112976895
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,290.5020533141095
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,9.536041036994666
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,177.3725647347097
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,619.7327105209444
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,468.6168193968613
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,330.77200921721015
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,10.820295144909156
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,167.74099256137285
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,595.0112827777174
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,472.01695296726257
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,322.2697408354685
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,9.723896664308533
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,212.5229923821625
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,WR,604.3785361622799
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,535.3547174604741
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,317.92099411753895
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,23.72470475097385
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,297.69612334126384
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,WR,983.4105515427536
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,813.9873142090967
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,494.35459021723307
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,18.200141736986726
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,134.71782084114278
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,WR,444.8603615693605
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,376.3291887716472
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,228.07126322757708
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,7.498106679133014
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,178.9756652916858
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,WR,571.8162024351689
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,463.86623260597764
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,302.84050136868717
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,11.387951739121311
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,196.11248429182572
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,WR,635.3389781502981
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,517.3715183349751
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,341.77565925585816
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,14.952854748539062
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,193.76861533817674
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,619.787681460627
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,505.71254121416155
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,336.6031511925599
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,13.020889248109777
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,263.46833285450884
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,WR,682.7650090399402
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,592.2143352522332
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,405.3110219950362
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,27.1732211405601
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,322.9389526020726
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,WR,1019.102368394098
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,837.6995565888486
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,SR,532.2460134872956
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NER,19.61990019214333
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,ER,186.3951526301879
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,WR,567.9655317789426
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NR,519.8514901299735
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,SR,310.6031697403285
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NER,10.903104594003068
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,ER,210.93383551760098
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,WR,667.0216274306733
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NR,600.0947730848787
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,SR,356.39862564092715
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NER,16.666992202717168
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,ER,213.68881674176328
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,WR,653.4719874100721
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NR,600.1226537359491
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,SR,346.907912602787
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NER,20.779927659151372
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,211.21942637415162
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,613.3794678634747
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,570.2861747920807
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,318.95124197456784
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,18.738971777824784
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,ER,333.62419763449515
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,WR,824.4736969219998
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NR,968.771576155335
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,SR,458.993401935044
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NER,30.21469302566573
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,ER,456.44866927551357
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,WR,1261.9684826270181
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NR,1248.0911328371942
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,SR,702.9350538845306
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NER,24.243794380361972
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,ER,199.6340581778578
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,WR,461.6136095242829
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NR,526.2573278208039
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,SR,239.27829074131847
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NER,14.517433737168556
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,ER,206.17683248097023
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,WR,528.0855049624347
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NR,538.599163330003
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,SR,270.85969539902896
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NER,15.566800170380363
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,ER,211.1950209574551
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,WR,552.4305948316984
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NR,550.4175998537575
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,SR,287.3135229937728
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NER,19.64709235433676
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,210.01754838642137
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,541.5655046737913
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,523.3892410859871
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,278.524131371572
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,17.981233202696583
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,ER,324.81056079509693
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,WR,658.5552155555582
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NR,875.3094405121265
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,SR,354.02925251335785
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NER,37.06380692794354
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,ER,456.4481410097564
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,WR,892.6746968117023
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NR,1180.0148786870386
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,SR,430.8785734257883
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NER,25.56316445028616
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,ER,159.98759101028756
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,WR,474.1136641191525
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NR,428.22333971137505
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,SR,248.53071339421638
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NER,9.510229517540235
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,ER,203.25831026963354
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,WR,606.9984295091219
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NR,527.825471407248
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,SR,320.8852006584348
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NER,15.209343829507489
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,ER,213.2145379365591
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,WR,666.449859995709
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NR,641.7888865777444
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,SR,355.9858259056357
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NER,19.916802773101544
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,209.4906610452271
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,641.7320402792284
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,610.2833406572453
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,339.3794055959027
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,15.371870122997938
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,ER,304.2265281524767
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,WR,709.2123975659989
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NR,784.7059156292289
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,SR,386.68124559498335
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NER,31.104336412302217
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,366.9934722112552
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,1028.777732539973
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,964.4562450215194
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,536.3813246945238
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,22.936999820657476
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,ER,150.39092420303095
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,WR,509.9390837158088
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NR,425.6238616873651
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,SR,263.21430121127287
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NER,13.531938870149773
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,ER,175.53160102481226
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,WR,616.356873220257
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NR,449.67923545952755
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,SR,322.3391913634232
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NER,11.153336192537498
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,ER,195.1820566816819
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,WR,675.1215030690514
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NR,475.6536224709176
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,SR,365.5863756689392
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NER,13.356513980905817
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,184.53090838855576
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,649.6646680358065
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,494.5077671274954
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,358.83568991695563
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,11.543439717643059
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,ER,233.52968896836612
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,WR,664.6601414653244
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NR,511.0735338535849
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,SR,354.48915079306056
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NER,25.746513105963828
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,ER,322.0985984392796
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,WR,1045.6349377247852
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NR,844.7508536736017
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,SR,528.3944760917564
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NER,20.064175135953512
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,ER,137.11120299786126
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,WR,479.00724014906746
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NR,394.9014685570339
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,SR,249.515021963118
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NER,8.041424467737254
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,ER,186.77531711601387
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,WR,613.1106200723048
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NR,481.8438668678534
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,SR,331.1260649076109
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NER,11.113754016467446
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,ER,208.20447558448598
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,WR,681.2297845635619
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NR,547.1669094179775
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,SR,371.05187872410676
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NER,14.148918152739602
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,205.42425777342206
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,664.3134501581878
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,529.5803537453874
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,363.5893188711533
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,12.816338325737803
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,ER,267.3766553299782
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,WR,730.0403683590729
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,NR,618.85436969019
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,SR,446.3567812528465
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,NER,26.686351563927488
ELECTRICITY,2022,SPRING,ALLDAYS,NIGHT,INDIA,ER,334.04511059559593
