InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,MaxAnnualUF
2028,RF_MS,2030,INDIA,,1.0
2029,RF_MS,2030,INDIA,,1.0
2030,RF_MS,2030,INDIA,,1.0
2021,RF_MS,2031,INDIA,,1.0
2022,RF_MS,2031,INDIA,,1.0
2023,RF_MS,2031,INDIA,,1.0
2024,RF_MS,2031,INDIA,,1.0
2025,RF_MS,2031,INDIA,,1.0
2026,RF_MS,2031,INDIA,,1.0
2027,RF_MS,2031,INDIA,,1.0
2028,RF_MS,2031,INDIA,,1.0
2029,RF_MS,2031,INDIA,,1.0
2030,RF_MS,2031,INDIA,,1.0
2031,RF_MS,2031,INDIA,,1.0
2020,RF_HSD,2021,INDIA,,1.0
2020,RF_HSD,2022,INDIA,,1.0
2020,RF_HSD,2023,INDIA,,1.0
2020,RF_HSD,2024,INDIA,,1.0
2020,RF_HSD,2025,INDIA,,1.0
2020,RF_HSD,2026,INDIA,,1.0
2020,RF_HSD,2027,INDIA,,1.0
2020,RF_HSD,2028,INDIA,,1.0
2020,RF_HSD,2029,INDIA,,1.0
2020,RF_HSD,2030,INDIA,,1.0
2020,RF_HSD,2031,INDIA,,1.0
2021,RF_HSD,2021,INDIA,,1.0
2021,RF_HSD,2022,INDIA,,1.0
2022,RF_HSD,2022,INDIA,,1.0
2021,RF_HSD,2023,INDIA,,1.0
2022,RF_HSD,2023,INDIA,,1.0
2023,RF_HSD,2023,INDIA,,1.0
2021,RF_HSD,2024,INDIA,,1.0
2022,RF_HSD,2024,INDIA,,1.0
2023,RF_HSD,2024,INDIA,,1.0
2024,RF_HSD,2024,INDIA,,1.0
2021,RF_HSD,2025,INDIA,,1.0
2022,RF_HSD,2025,INDIA,,1.0
2023,RF_HSD,2025,INDIA,,1.0
2024,RF_HSD,2025,INDIA,,1.0
2025,RF_HSD,2025,INDIA,,1.0
2021,RF_HSD,2026,INDIA,,1.0
2022,RF_HSD,2026,INDIA,,1.0
2023,RF_HSD,2026,INDIA,,1.0
2024,RF_HSD,2026,INDIA,,1.0
2025,RF_HSD,2026,INDIA,,1.0
2026,RF_HSD,2026,INDIA,,1.0
2021,RF_HSD,2027,INDIA,,1.0
2022,RF_HSD,2027,INDIA,,1.0
2023,RF_HSD,2027,INDIA,,1.0
2024,RF_HSD,2027,INDIA,,1.0
2025,RF_HSD,2027,INDIA,,1.0
2026,RF_HSD,2027,INDIA,,1.0
2027,RF_HSD,2027,INDIA,,1.0
2021,RF_HSD,2028,INDIA,,1.0
2022,RF_HSD,2028,INDIA,,1.0
2023,RF_HSD,2028,INDIA,,1.0
2024,RF_HSD,2028,INDIA,,1.0
2025,RF_HSD,2028,INDIA,,1.0
2026,RF_HSD,2028,INDIA,,1.0
2027,RF_HSD,2028,INDIA,,1.0
2028,RF_HSD,2028,INDIA,,1.0
2021,RF_HSD,2029,INDIA,,1.0
2022,RF_HSD,2029,INDIA,,1.0
2023,RF_HSD,2029,INDIA,,1.0
2024,RF_HSD,2029,INDIA,,1.0
2025,RF_HSD,2029,INDIA,,1.0
2026,RF_HSD,2029,INDIA,,1.0
2027,RF_HSD,2029,INDIA,,1.0
2028,RF_HSD,2029,INDIA,,1.0
2029,RF_HSD,2029,INDIA,,1.0
2021,RF_HSD,2030,INDIA,,1.0
2022,RF_HSD,2030,INDIA,,1.0
2023,RF_HSD,2030,INDIA,,1.0
2024,RF_HSD,2030,INDIA,,1.0
2025,RF_HSD,2030,INDIA,,1.0
2026,RF_HSD,2030,INDIA,,1.0
2027,RF_HSD,2030,INDIA,,1.0
2028,RF_HSD,2030,INDIA,,1.0
2029,RF_HSD,2030,INDIA,,1.0
2030,RF_HSD,2030,INDIA,,1.0
2021,RF_HSD,2031,INDIA,,1.0
2022,RF_HSD,2031,INDIA,,1.0
2023,RF_HSD,2031,INDIA,,1.0
2024,RF_HSD,2031,INDIA,,1.0
2025,RF_HSD,2031,INDIA,,1.0
2026,RF_HSD,2031,INDIA,,1.0
2027,RF_HSD,2031,INDIA,,1.0
2028,RF_HSD,2031,INDIA,,1.0
2029,RF_HSD,2031,INDIA,,1.0
2030,RF_HSD,2031,INDIA,,1.0
2031,RF_HSD,2031,INDIA,,1.0
2020,RF_ATF,2021,INDIA,,1.0
2020,RF_ATF,2022,INDIA,,1.0
2020,RF_ATF,2023,INDIA,,1.0
2020,RF_ATF,2024,INDIA,,1.0
2020,RF_ATF,2025,INDIA,,1.0
2020,RF_ATF,2026,INDIA,,1.0
2020,RF_ATF,2027,INDIA,,1.0
2020,RF_ATF,2028,INDIA,,1.0
2020,RF_ATF,2029,INDIA,,1.0
2020,RF_ATF,2030,INDIA,,1.0
2020,RF_ATF,2031,INDIA,,1.0
2021,RF_ATF,2021,INDIA,,1.0
2021,RF_ATF,2022,INDIA,,1.0
2022,RF_ATF,2022,INDIA,,1.0
2021,RF_ATF,2023,INDIA,,1.0
2022,RF_ATF,2023,INDIA,,1.0
2023,RF_ATF,2023,INDIA,,1.0
2021,RF_ATF,2024,INDIA,,1.0
2022,RF_ATF,2024,INDIA,,1.0
2023,RF_ATF,2024,INDIA,,1.0
2024,RF_ATF,2024,INDIA,,1.0
2021,RF_ATF,2025,INDIA,,1.0
2022,RF_ATF,2025,INDIA,,1.0
2023,RF_ATF,2025,INDIA,,1.0
2024,RF_ATF,2025,INDIA,,1.0
2025,RF_ATF,2025,INDIA,,1.0
2021,RF_ATF,2026,INDIA,,1.0
2022,RF_ATF,2026,INDIA,,1.0
2023,RF_ATF,2026,INDIA,,1.0
2024,RF_ATF,2026,INDIA,,1.0
2025,RF_ATF,2026,INDIA,,1.0
2026,RF_ATF,2026,INDIA,,1.0
2021,RF_ATF,2027,INDIA,,1.0
2022,RF_ATF,2027,INDIA,,1.0
2023,RF_ATF,2027,INDIA,,1.0
2024,RF_ATF,2027,INDIA,,1.0
2025,RF_ATF,2027,INDIA,,1.0
2026,RF_ATF,2027,INDIA,,1.0
2027,RF_ATF,2027,INDIA,,1.0
2021,RF_ATF,2028,INDIA,,1.0
2022,RF_ATF,2028,INDIA,,1.0
2023,RF_ATF,2028,INDIA,,1.0
2024,RF_ATF,2028,INDIA,,1.0
2025,RF_ATF,2028,INDIA,,1.0
2026,RF_ATF,2028,INDIA,,1.0
2027,RF_ATF,2028,INDIA,,1.0
2028,RF_ATF,2028,INDIA,,1.0
2021,RF_ATF,2029,INDIA,,1.0
2022,RF_ATF,2029,INDIA,,1.0
2023,RF_ATF,2029,INDIA,,1.0
2024,RF_ATF,2029,INDIA,,1.0
2025,RF_ATF,2029,INDIA,,1.0
2026,RF_ATF,2029,INDIA,,1.0
2027,RF_ATF,2029,INDIA,,1.0
2028,RF_ATF,2029,INDIA,,1.0
2029,RF_ATF,2029,INDIA,,1.0
2021,RF_ATF,2030,INDIA,,1.0
2022,RF_ATF,2030,INDIA,,1.0
2023,RF_ATF,2030,INDIA,,1.0
2024,RF_ATF,2030,INDIA,,1.0
2025,RF_ATF,2030,INDIA,,1.0
2026,RF_ATF,2030,INDIA,,1.0
2027,RF_ATF,2030,INDIA,,1.0
2028,RF_ATF,2030,INDIA,,1.0
2029,RF_ATF,2030,INDIA,,1.0
2030,RF_ATF,2030,INDIA,,1.0
2021,RF_ATF,2031,INDIA,,1.0
2022,RF_ATF,2031,INDIA,,1.0
2023,RF_ATF,2031,INDIA,,1.0
2024,RF_ATF,2031,INDIA,,1.0
2025,RF_ATF,2031,INDIA,,1.0
2026,RF_ATF,2031,INDIA,,1.0
2027,RF_ATF,2031,INDIA,,1.0
2028,RF_ATF,2031,INDIA,,1.0
2029,RF_ATF,2031,INDIA,,1.0
2030,RF_ATF,2031,INDIA,,1.0
2031,RF_ATF,2031,INDIA,,1.0
2020,RF_OTHERPP,2021,INDIA,,1.0
2020,RF_OTHERPP,2022,INDIA,,1.0
2020,RF_OTHERPP,2023,INDIA,,1.0
2020,RF_OTHERPP,2024,INDIA,,1.0
2020,RF_OTHERPP,2025,INDIA,,1.0
2020,RF_OTHERPP,2026,INDIA,,1.0
2020,RF_OTHERPP,2027,INDIA,,1.0
2020,RF_OTHERPP,2028,INDIA,,1.0
2020,RF_OTHERPP,2029,INDIA,,1.0
