ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,FRIDGE
RURAL,Q3,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,DL,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q5,INDIA,NR,HR,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q1,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q2,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q3,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q4,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
RURAL,Q5,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q1,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q2,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2028,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2029,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2030,SUMMER,ALLDAYS,EARLY,3
URBAN,Q3,INDIA,NR,HP,2031,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2021,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2022,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2023,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2024,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2025,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2026,SUMMER,ALLDAYS,EARLY,3
URBAN,Q4,INDIA,NR,HP,2027,SUMMER,ALLDAYS,EARLY,3
