EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,58.13099834031615
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,140.1559331646996
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,124.35680168847563
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,123.61219194014288
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,3.2588111520263077
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,70.04692030874264
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,165.89643498025254
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,152.19549495655338
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,147.22207012376333
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,4.726685802301977
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,71.6087186480365
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,163.07060303083168
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,159.48275301605867
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,143.83769979592853
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,5.921667364987614
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,70.29211419327092
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,153.15522813999007
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,150.64357441978757
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,132.00484294289612
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,5.232378919972963
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,111.64669052564672
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,205.6733847923941
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,242.97741807776117
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,184.53644573641643
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,9.73728887828181
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,134.49983403909513
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,314.7306348312212
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,298.12769308100536
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,274.7319362220468
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,7.9617551454752356
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,61.93730200286152
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,109.9100669844481
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,107.881955129738
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,93.96924048447275
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,4.7855827284353865
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,67.94924279295263
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,128.22705021173846
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,120.39259837512435
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,109.57096600288088
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,5.019747454002608
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,70.29589065431271
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,135.08477784496125
