InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,FixedCost
2024,RF_HSD,2027,INDIA,,5705.334712
2025,RF_HSD,2027,INDIA,,5705.334712
2026,RF_HSD,2027,INDIA,,5705.334712
2027,RF_HSD,2027,INDIA,,5705.334712
2021,RF_HSD,2028,INDIA,,5705.334712
2022,RF_HSD,2028,INDIA,,5705.334712
2023,RF_HSD,2028,INDIA,,5705.334712
2024,RF_HSD,2028,INDIA,,5705.334712
2025,RF_HSD,2028,INDIA,,5705.334712
2026,RF_HSD,2028,INDIA,,5705.334712
2027,RF_HSD,2028,INDIA,,5705.334712
2028,RF_HSD,2028,INDIA,,5705.334712
2021,RF_HSD,2029,INDIA,,5705.334712
2022,RF_HSD,2029,INDIA,,5705.334712
2023,RF_HSD,2029,INDIA,,5705.334712
2024,RF_HSD,2029,INDIA,,5705.334712
2025,RF_HSD,2029,INDIA,,5705.334712
2026,RF_HSD,2029,INDIA,,5705.334712
2027,RF_HSD,2029,INDIA,,5705.334712
2028,RF_HSD,2029,INDIA,,5705.334712
2029,RF_HSD,2029,INDIA,,5705.334712
2021,RF_HSD,2030,INDIA,,5705.334712
2022,RF_HSD,2030,INDIA,,5705.334712
2023,RF_HSD,2030,INDIA,,5705.334712
2024,RF_HSD,2030,INDIA,,5705.334712
2025,RF_HSD,2030,INDIA,,5705.334712
2026,RF_HSD,2030,INDIA,,5705.334712
2027,RF_HSD,2030,INDIA,,5705.334712
2028,RF_HSD,2030,INDIA,,5705.334712
2029,RF_HSD,2030,INDIA,,5705.334712
2030,RF_HSD,2030,INDIA,,5705.334712
2021,RF_HSD,2031,INDIA,,5705.334712
2022,RF_HSD,2031,INDIA,,5705.334712
2023,RF_HSD,2031,INDIA,,5705.334712
2024,RF_HSD,2031,INDIA,,5705.334712
2025,RF_HSD,2031,INDIA,,5705.334712
2026,RF_HSD,2031,INDIA,,5705.334712
2027,RF_HSD,2031,INDIA,,5705.334712
2028,RF_HSD,2031,INDIA,,5705.334712
2029,RF_HSD,2031,INDIA,,5705.334712
2030,RF_HSD,2031,INDIA,,5705.334712
2031,RF_HSD,2031,INDIA,,5705.334712
2020,RF_ATF,2021,INDIA,,5705.334712
2020,RF_ATF,2022,INDIA,,5705.334712
2020,RF_ATF,2023,INDIA,,5705.334712
