EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S02May,ALLDAYS,H23,0.512846014
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H00,0.645309944
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H01,0.653188021
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H02,0.620156672
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H03,0.593804652
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H04,0.620119926
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H05,0.617103342
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H06,0.443113595
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H07,0.424400345
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H08,0.674675607
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H09,0.889322199
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H10,0.959258891
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H11,0.98527164
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H12,0.992150423
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H13,0.978536937
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H14,0.981459802
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H15,1.026629688
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H16,0.890851251
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H17,0.873002792
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H18,0.869664988
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H19,0.767837738
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H20,0.768483545
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H21,0.635764456
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H22,0.634713828
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S03Jun,ALLDAYS,H23,0.688303081
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H00,0.824435984
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H01,0.836147165
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H02,0.805621268
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H03,0.78074582
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H04,0.801436491
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H05,0.803192256
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H06,0.624790684
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H07,0.476830413
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H08,0.711224975
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H09,1.060159763
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H10,1.118337738
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H11,1.141227891
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H12,1.150977068
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H13,1.120461853
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H14,1.115827561
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H15,1.155791241
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H16,1.029802563
