DemandSector,EnergyService,ServiceTechCategory,ConsumerGranularity,GeographicGranularity,TimeGranularity
D_TRANS,ShortDistPass,2W,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,ShortDistPass,IPT3W,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,ShortDistPass,IPT4W,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,ShortDistPass,4W,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,ShortDistPass,BUS,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,ShortDistPass,RAIL,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,LongDistPass,IPT4W,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,LongDistPass,BUS,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,LongDistPass,RAIL,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,LongDistPass,AIR,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,IntAirPass,AIR,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,Freight,LGV,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,Freight,MGV,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,Freight,HGV,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_TRANS,Freight,RAIL,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,Freight,AIR,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,Freight,WATER,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,IntFreight,AIR,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,IntFreight,WATER,CONSUMERALL,MODELGEOGRAPHY,YEAR
