Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2024,RURAL,INDIA,NER,AS,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.59445E-08
2024,RURAL,INDIA,NER,AS,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.61324E-08
2024,RURAL,INDIA,NER,AS,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.85842E-08
2024,RURAL,INDIA,NER,AS,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.20029E-08
2024,RURAL,INDIA,NER,AS,RES_COOL,AC,3STARAC,ELECTRICITY,7.05959E-08
2024,RURAL,INDIA,NER,AS,RES_COOL,AC,4STARAC,ELECTRICITY,6.25396E-08
2024,RURAL,INDIA,NER,AS,RES_COOL,AC,5STARAC,ELECTRICITY,5.88125E-08
2024,RURAL,INDIA,NER,AS,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.78662E-07
2024,RURAL,INDIA,NER,AS,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.66901E-08
2024,RURAL,INDIA,NER,AS,RES_TV,TV,AVGTV,ELECTRICITY,1.09413E-08
2024,RURAL,INDIA,NER,AS,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,NER,AS,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,NER,AS,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,NER,AS,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,NER,AS,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,ER,BR,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,ER,BR,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18328E-08
2024,RURAL,INDIA,ER,BR,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.66937E-08
2024,RURAL,INDIA,ER,BR,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.12636E-08
2024,RURAL,INDIA,ER,BR,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.61356E-08
2024,RURAL,INDIA,ER,BR,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.63975E-08
2024,RURAL,INDIA,ER,BR,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.88228E-08
2024,RURAL,INDIA,ER,BR,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.22144E-08
2024,RURAL,INDIA,ER,BR,RES_COOL,AC,3STARAC,ELECTRICITY,7.01386E-08
2024,RURAL,INDIA,ER,BR,RES_COOL,AC,4STARAC,ELECTRICITY,6.20288E-08
2024,RURAL,INDIA,ER,BR,RES_COOL,AC,5STARAC,ELECTRICITY,5.82709E-08
