ModelGeography,SubGeography1,SubGeography2,ServiceTech,EfficiencyLevelName,EnergyService,EnergyCarrier,Year,SpecificEnergyConsumption
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2020,2.444366755815e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2021,2.40511992020622e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2022,2.37075556608955e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2023,2.34061222402694e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2024,2.31412921890527e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2025,2.29082907655855e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2026,2.27030343087379e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2027,2.25220165351072e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2028,2.2362216172913e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2029,2.22210214386301e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2030,2.20961679016383e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2031,2.19856870621301e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2032,2.18878635572216e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2033,2.18011993592053e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2034,2.17243836740418e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2035,2.16562675136787e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2036,2.1595842121864e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2037,2.15422205940237e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2038,2.14946221581368e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2039,2.14523586833232e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2040,2.1414823062088e-08
INDIA,,,RAIL_E,AVERAGE,ShortDistPass,ELECTRICITY,2041,2.13814791754009e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2020,2.1567038027574e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2021,2.11492048159754e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2022,2.07913702820587e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2023,2.04841519858824e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2024,2.02198151374073e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2025,1.99919422506248e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2026,1.9795177990324e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2027,1.96250301680623e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2028,1.94777130982683e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2029,1.93500232242279e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2030,1.92392395563691e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2031,1.91430433585872e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2032,1.90594528933295e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2033,1.8986770043954e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2034,1.89235363780544e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2035,1.88684967710482e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2036,1.88205691269188e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2037,1.87788190492878e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2038,1.87424385573378e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2039,1.87107281266046e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2040,1.8683081478231e-08
INDIA,,,RAIL_E,AVERAGE,LongDistPass,ELECTRICITY,2041,1.86589726521774e-08
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2020,1.37253686124107e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2021,1.3511874979118e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2022,1.33242513902484e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2023,1.31590835279283e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2024,1.30134641126237e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2025,1.28204820651197e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2026,1.26975354281898e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2027,1.25862471307334e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2028,1.24848052470973e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2029,1.2391574594409e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2030,1.23050601692964e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2031,1.22238750518896e-10
INDIA,,,RAIL_HSD,AVERAGE,ShortDistPass,HSD,2032,1.21467116436047e-10
