EnergyConvTech,Year,Lifetime
EG_COAL,2021,40
EG_COAL,2022,40
EG_COAL,2023,40
EG_COAL,2024,40
EG_COAL,2025,40
EG_COAL,2026,40
EG_COAL,2027,40
EG_COAL,2028,40
EG_COAL,2029,40
EG_COAL,2030,40
EG_COAL,2031,40
EG_OCGT,2021,25
EG_OCGT,2022,25
EG_OCGT,2023,25
EG_OCGT,2024,25
EG_OCGT,2025,25
EG_OCGT,2026,25
EG_OCGT,2027,25
EG_OCGT,2028,25
EG_OCGT,2029,25
EG_OCGT,2030,25
EG_OCGT,2031,25
EG_CCGT,2021,25
EG_CCGT,2022,25
EG_CCGT,2023,25
EG_CCGT,2024,25
EG_CCGT,2025,25
EG_CCGT,2026,25
EG_CCGT,2027,25
EG_CCGT,2028,25
EG_CCGT,2029,25
EG_CCGT,2030,25
EG_CCGT,2031,25
EG_PHWR,2021,40
EG_PHWR,2022,40
EG_PHWR,2023,40
EG_PHWR,2024,40
EG_PHWR,2025,40
EG_PHWR,2026,40
EG_PHWR,2027,40
EG_PHWR,2028,40
EG_PHWR,2029,40
EG_PHWR,2030,40
EG_PHWR,2031,40
EG_LH,2021,40
EG_LH,2022,40
EG_LH,2023,40
EG_LH,2024,40
EG_LH,2025,40
EG_LH,2026,40
EG_LH,2027,40
EG_LH,2028,40
EG_LH,2029,40
EG_LH,2030,40
EG_LH,2031,40
EG_SH,2021,35
EG_SH,2022,35
EG_SH,2023,35
EG_SH,2024,35
EG_SH,2025,35
EG_SH,2026,35
EG_SH,2027,35
EG_SH,2028,35
EG_SH,2029,35
EG_SH,2030,35
EG_SH,2031,35
EG_BIOMASS,2021,20
EG_BIOMASS,2022,20
EG_BIOMASS,2023,20
EG_BIOMASS,2024,20
EG_BIOMASS,2025,20
EG_BIOMASS,2026,20
EG_BIOMASS,2027,20
EG_BIOMASS,2028,20
EG_BIOMASS,2029,20
EG_BIOMASS,2030,20
EG_BIOMASS,2031,20
EG_SOLARPV,2021,25
EG_SOLARPV,2022,25
EG_SOLARPV,2023,25
EG_SOLARPV,2024,25
EG_SOLARPV,2025,25
EG_SOLARPV,2026,25
EG_SOLARPV,2027,25
EG_SOLARPV,2028,25
EG_SOLARPV,2029,25
EG_SOLARPV,2030,25
EG_SOLARPV,2031,25
EG_WIND,2021,25
EG_WIND,2022,25
EG_WIND,2023,25
EG_WIND,2024,25
EG_WIND,2025,25
EG_WIND,2026,25
EG_WIND,2027,25
EG_WIND,2028,25
EG_WIND,2029,25
EG_WIND,2030,25
EG_WIND,2031,25
RF_MS,2021,40
RF_MS,2022,40
RF_MS,2023,40
RF_MS,2024,40
RF_MS,2025,40
RF_MS,2026,40
RF_MS,2027,40
RF_MS,2028,40
RF_MS,2029,40
RF_MS,2030,40
RF_MS,2031,40
RF_HSD,2021,40
RF_HSD,2022,40
RF_HSD,2023,40
RF_HSD,2024,40
RF_HSD,2025,40
RF_HSD,2026,40
RF_HSD,2027,40
RF_HSD,2028,40
RF_HSD,2029,40
RF_HSD,2030,40
RF_HSD,2031,40
RF_ATF,2021,40
RF_ATF,2022,40
RF_ATF,2023,40
RF_ATF,2024,40
RF_ATF,2025,40
RF_ATF,2026,40
RF_ATF,2027,40
RF_ATF,2028,40
RF_ATF,2029,40
RF_ATF,2030,40
RF_ATF,2031,40
RF_LPG,2021,40
RF_LPG,2022,40
RF_LPG,2023,40
RF_LPG,2024,40
RF_LPG,2025,40
RF_LPG,2026,40
RF_LPG,2027,40
RF_LPG,2028,40
RF_LPG,2029,40
RF_LPG,2030,40
RF_LPG,2031,40
RF_OTHERPP,2021,40
RF_OTHERPP,2022,40
RF_OTHERPP,2023,40
RF_OTHERPP,2024,40
RF_OTHERPP,2025,40
RF_OTHERPP,2026,40
RF_OTHERPP,2027,40
RF_OTHERPP,2028,40
RF_OTHERPP,2029,40
RF_OTHERPP,2030,40
RF_OTHERPP,2031,40
