EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,LegacyCapacity
EG_LH,INDIA,WR,UT,0
EG_SH,INDIA,WR,UT,0
EG_WIND,INDIA,WR,UT,0
EG_BIOMASS,INDIA,WR,UT,0
EG_SOLARPV,INDIA,WR,UT,0.074808
EG_COAL,INDIA,NER,AS,0.868
EG_CCGT,INDIA,NER,AS,1.012914
EG_PHWR,INDIA,NER,AS,0
EG_LH,INDIA,NER,AS,0.35
EG_SH,INDIA,NER,AS,0.03411
EG_WIND,INDIA,NER,AS,0
EG_BIOMASS,INDIA,NER,AS,0
EG_SOLARPV,INDIA,NER,AS,0.04771
EG_COAL,INDIA,NER,NE,0.0388
EG_CCGT,INDIA,NER,NE,1.1321
EG_PHWR,INDIA,NER,NE,0
EG_LH,INDIA,NER,NE,3.546
EG_SH,INDIA,NER,NE,0.304345
EG_WIND,INDIA,NER,NE,0
EG_BIOMASS,INDIA,NER,NE,0.0276
EG_SOLARPV,INDIA,NER,NE,0.02289
EG_COAL,INDIA,SR,AP,14.009403
EG_CCGT,INDIA,SR,AP,5.097906
EG_PHWR,INDIA,SR,AP,0
EG_LH,INDIA,SR,AP,1.611875
EG_SH,INDIA,SR,AP,0.16211
EG_WIND,INDIA,SR,AP,4.1113
EG_BIOMASS,INDIA,SR,AP,0.62248
EG_SOLARPV,INDIA,SR,AP,3.629378
EG_COAL,INDIA,SR,KA,13.319002
EG_CCGT,INDIA,SR,KA,0.5069
EG_PHWR,INDIA,SR,KA,0.88
EG_LH,INDIA,SR,KA,3.669775
EG_SH,INDIA,SR,KA,1.28073
EG_WIND,INDIA,SR,KA,4.945225
EG_BIOMASS,INDIA,SR,KA,1.899
EG_SOLARPV,INDIA,SR,KA,7.465248
EG_COAL,INDIA,SR,KL,0.1651
EG_CCGT,INDIA,SR,KL,0.72906
EG_PHWR,INDIA,SR,KL,0
EG_LH,INDIA,SR,KL,1.9105
EG_SH,INDIA,SR,KL,0.22202
EG_WIND,INDIA,SR,KL,0.0625
EG_BIOMASS,INDIA,SR,KL,0.00144
EG_SOLARPV,INDIA,SR,KL,0.144377
EG_COAL,INDIA,SR,TN,16.591334
EG_CCGT,INDIA,SR,TN,1.324657
EG_PHWR,INDIA,SR,TN,2.44
EG_LH,INDIA,SR,TN,1.7782
EG_SH,INDIA,SR,TN,0.12305
EG_WIND,INDIA,SR,TN,10.79445
EG_BIOMASS,INDIA,SR,TN,1.0389
EG_SOLARPV,INDIA,SR,TN,4.172277
EG_COAL,INDIA,SR,TS,7.940772
EG_CCGT,INDIA,SR,TS,0.001
EG_PHWR,INDIA,SR,TS,0
EG_LH,INDIA,SR,TS,0.8
EG_SH,INDIA,SR,TS,0.09087
EG_WIND,INDIA,SR,TS,0.129009
EG_BIOMASS,INDIA,SR,TS,0.2121
EG_SOLARPV,INDIA,SR,TS,3.677657
EG_COAL,INDIA,NR,DL,0
EG_CCGT,INDIA,NR,DL,2.2084
EG_PHWR,INDIA,NR,DL,0
EG_LH,INDIA,NR,DL,0
EG_SH,INDIA,NR,DL,0
EG_WIND,INDIA,NR,DL,0
EG_BIOMASS,INDIA,NR,DL,0.104
EG_SOLARPV,INDIA,NR,DL,0.165397
EG_COAL,INDIA,NR,HR,5.68571
EG_CCGT,INDIA,NR,HR,0.905207
EG_PHWR,INDIA,NR,HR,0
EG_LH,INDIA,NR,HR,0
EG_SH,INDIA,NR,HR,0.0735
EG_WIND,INDIA,NR,HR,0
EG_BIOMASS,INDIA,NR,HR,0.28992
EG_SOLARPV,INDIA,NR,HR,0.307919
EG_COAL,INDIA,NR,HP,0.031225
EG_CCGT,INDIA,NR,HP,0
EG_PHWR,INDIA,NR,HP,0
EG_LH,INDIA,NR,HP,9.81252
EG_SH,INDIA,NR,HP,0.91151
EG_WIND,INDIA,NR,HP,0
EG_BIOMASS,INDIA,NR,HP,0.0144
EG_SOLARPV,INDIA,NR,HP,0.038268
EG_COAL,INDIA,NR,JK,0
EG_CCGT,INDIA,NR,JK,0.175
EG_PHWR,INDIA,NR,JK,0
EG_LH,INDIA,NR,JK,3.36
EG_SH,INDIA,NR,JK,0.18048
EG_WIND,INDIA,NR,JK,0
EG_BIOMASS,INDIA,NR,JK,0
EG_SOLARPV,INDIA,NR,JK,0.0193
EG_COAL,INDIA,NR,PB,6.25797
EG_CCGT,INDIA,NR,PB,0.075242
EG_PHWR,INDIA,NR,PB,0
EG_LH,INDIA,NR,PB,1.0963
EG_SH,INDIA,NR,PB,0.17355
EG_WIND,INDIA,NR,PB,0
EG_BIOMASS,INDIA,NR,PB,0.4617
EG_SOLARPV,INDIA,NR,PB,0.967251
EG_COAL,INDIA,NR,RJ,11.846905
EG_CCGT,INDIA,NR,RJ,1.124429
EG_PHWR,INDIA,NR,RJ,1.18
EG_LH,INDIA,NR,RJ,0.411
EG_SH,INDIA,NR,RJ,0.02385
EG_WIND,INDIA,NR,RJ,4.405795
EG_BIOMASS,INDIA,NR,RJ,0.1233
EG_SOLARPV,INDIA,NR,RJ,5.377275
EG_COAL,INDIA,NR,UP,24.794933
