EnergyConvTech,InstYear,ModelGeography,SubGeography1,Year,Season,DayType,DaySlice,MaxUF
EG_WIND,2020,INDIA,NR,2021,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2022,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2023,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2024,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2025,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2026,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2027,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2028,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2029,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2030,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,NR,2031,SUMMER,ALLDAYS,EARLY,0.08871975
EG_WIND,2020,INDIA,WR,2021,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2022,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2023,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2024,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2025,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2026,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2027,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2028,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2029,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2030,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,WR,2031,SUMMER,ALLDAYS,EARLY,0.081601087
EG_WIND,2020,INDIA,SR,2021,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2022,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2023,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2024,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2025,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2026,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2027,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2028,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2029,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2030,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,SR,2031,SUMMER,ALLDAYS,EARLY,0.082790139
EG_WIND,2020,INDIA,ER,2021,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2022,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2023,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2024,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2025,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2026,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2027,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2028,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2029,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2030,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,ER,2031,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2021,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2022,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2023,SUMMER,ALLDAYS,EARLY,0.089618681
