Year,AnnualCost
2021,26031668.481002957
2022,27962175.256021336
2023,29776614.905877307
2024,31329284.906222377
2025,32994619.497614753
2026,34510656.65360702
2027,36087417.52387351
2028,37840787.638482265
2029,40083198.81070164
2030,42206522.04965555
2031,44404428.382815205
