Year,AnnualCarrierCost
2021,21142762.668998286
2022,22871839.54935891
2023,24396455.643891945
2024,25717103.334006913
2025,27046559.531492352
2026,28350042.37556471
2027,29762561.40187412
2028,31272074.35771596
2029,33076129.648720637
2030,34895136.06094675
2031,36915861.33900107
