Year,AnnualECTCost
2021,4849460.888895309
2022,5050890.783553066
2023,5340714.338876001
2024,5560803.891631102
2025,5890715.906800537
2026,6102315.598122445
2027,6258518.939674166
2028,6499408.5431049345
2029,6885110.805094609
2030,7130110.779810084
2031,7307291.834915418
