Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51377.68058436
2025,57344.059321860004
2026,58298.679919860006
2027,66337.18232522134
2028,69304.7376613692
2029,121958.35688639784
2030,181275.20889871576
2031,181275.20889871576
