Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,375.51626778254354
2022,INDIA,ALL,387.2325814357343
2023,INDIA,ALL,397.17593217732536
2024,INDIA,ALL,405.66530137507743
2025,INDIA,ALL,414.1775287924042
2026,INDIA,ALL,422.7794455550757
2027,INDIA,ALL,431.4429993209749
2028,INDIA,ALL,440.284085768995
2029,INDIA,ALL,449.3063428646452
2030,INDIA,ALL,458.5134831285632
2031,INDIA,ALL,467.9092951885055
