Year,ModelGeography,EnergyDemand
2021,INDIA,3495.3994266082723
2022,INDIA,3622.6232461364834
2023,INDIA,3733.200761446671
2024,INDIA,3830.12167997963
2025,INDIA,3927.4266784118295
2026,INDIA,4025.7384816534823
2027,INDIA,4124.78270511835
2028,INDIA,4225.635590563681
2029,INDIA,4328.316434594339
2030,INDIA,4432.844796116621
2031,INDIA,4539.240517668139
