Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,MID,INDIA,NR,PB,ALL,0.107121649,6.534420589
2021,SUMMER,ALLDAYS,MID,INDIA,NR,RJ,ALL,0.156153315,9.525352215
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UP,ALL,0.894196126,54.545963686
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UK,ALL,0.015268586,0.9313837460000001
2021,SUMMER,ALLDAYS,MID,INDIA,SR,AP,ALL,0.510603248,31.146798128
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KA,ALL,0.062755515,3.828086415
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KL,ALL,0.131752758,8.036918238
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TN,ALL,0.345200775,21.057247275
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TS,ALL,0.254228178,15.507918858000002
2021,SUMMER,ALLDAYS,MID,INDIA,NER,AS,ALL,0.003473835,0.21190393500000002
2021,SUMMER,ALLDAYS,MID,INDIA,NER,NE,ALL,0.001898987,0.115838207
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,BR,ALL,0.486246456,29.661033816
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,JH,ALL,0.250326283,15.269903263
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,OD,ALL,0.442640142,27.001048662000002
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,WB,ALL,0.49745504,30.344757440000002
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,CG,ALL,0.350755703,21.396097883
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GJ,ALL,0.280497721,17.110360981
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MP,ALL,0.73134762,44.612204819999995
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MH,ALL,1.118271648,68.214570528
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GA,ALL,0.001646582,0.100441502
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,UT,ALL,0.005157541,0.314610001
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,DL,ALL,0.176865153,10.788774333
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HR,ALL,0.147242281,8.981779141
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HP,ALL,0.003677151,0.224306211
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,JK,ALL,0.01119118,0.68266198
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,PB,ALL,0.107121649,6.534420589
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,RJ,ALL,0.156153315,9.525352215
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UP,ALL,0.894196126,54.545963686
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UK,ALL,0.015268586,0.9313837460000001
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,AP,ALL,0.510603248,31.146798128
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KA,ALL,0.062755515,3.828086415
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KL,ALL,0.131752758,8.036918238
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TN,ALL,0.345200775,21.057247275
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TS,ALL,0.254228178,15.507918858000002
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,AS,ALL,0.003473835,0.21190393500000002
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,NE,ALL,0.001898987,0.115838207
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,BR,ALL,0.648328608,39.548045088
