ModelGeography,SubGeography1,SubGeography2,Year,OPC+PPC+PSC+CC+LC3
INDIA,NR,JK,2022,0.159986497
INDIA,NR,HP,2022,2.514446791
INDIA,NR,JK,2023,0.169075804
INDIA,NR,JK,2024,0.178186848
INDIA,NR,JK,2025,0.183144986
INDIA,NR,JK,2026,0.188038277
INDIA,NR,JK,2027,0.192831436
INDIA,NR,JK,2028,0.197632882
INDIA,NR,JK,2029,0.202553498
INDIA,NR,JK,2030,0.207596225
INDIA,NR,JK,2031,0.212764072
INDIA,NR,JK,2032,0.217786333
INDIA,NR,JK,2033,0.222372359
INDIA,NR,JK,2034,0.226488481
INDIA,NR,JK,2035,0.230103821
INDIA,NR,JK,2036,0.233374173
INDIA,NR,JK,2037,0.236690463
INDIA,NR,JK,2038,0.240053315
INDIA,NR,JK,2039,0.243463362
INDIA,NR,JK,2040,0.246921244
INDIA,NR,JK,2041,0.250427608
INDIA,NR,HP,2023,2.657299959
INDIA,NR,HP,2024,2.800494763
INDIA,NR,HP,2025,2.878419926
INDIA,NR,HP,2026,2.955325922
INDIA,NR,HP,2027,3.030658167
INDIA,NR,HP,2028,3.10612066
INDIA,NR,HP,2029,3.183456119
INDIA,NR,HP,2030,3.262710733
INDIA,NR,HP,2031,3.343931814
INDIA,NR,HP,2032,3.422864772
INDIA,NR,HP,2033,3.494941601
INDIA,NR,HP,2034,3.55963311
INDIA,NR,HP,2035,3.616454044
INDIA,NR,HP,2036,3.667852912
INDIA,NR,HP,2037,3.719973775
INDIA,NR,HP,2038,3.772826446
INDIA,NR,HP,2039,3.826420857
INDIA,NR,HP,2040,3.880767063
INDIA,NR,HP,2041,3.935875243
INDIA,NR,PB,2022,1.17533177
INDIA,NR,PB,2023,1.242105848
INDIA,NR,PB,2024,1.309039618
INDIA,NR,PB,2025,1.345464299
INDIA,NR,PB,2026,1.381412587
INDIA,NR,PB,2027,1.416625256
INDIA,NR,PB,2028,1.451898806
INDIA,NR,PB,2029,1.48804784
INDIA,NR,PB,2030,1.525093947
INDIA,NR,PB,2031,1.563059244
INDIA,NR,PB,2032,1.599954999
INDIA,NR,PB,2033,1.633645983
INDIA,NR,PB,2034,1.663884835
INDIA,NR,PB,2035,1.690444733
INDIA,NR,PB,2036,1.714470186
INDIA,NR,PB,2037,1.738833122
INDIA,NR,PB,2038,1.763538128
INDIA,NR,PB,2039,1.788589846
INDIA,NR,PB,2040,1.813992978
INDIA,NR,PB,2041,1.83975228
INDIA,NR,UK,2022,0.651908045
INDIA,NR,UK,2023,0.688944871
INDIA,NR,UK,2024,0.726070272
INDIA,NR,UK,2025,0.746273539
INDIA,NR,UK,2026,0.766212572
INDIA,NR,UK,2027,0.785743587
INDIA,NR,UK,2028,0.80530837
INDIA,NR,UK,2029,0.825358748
INDIA,NR,UK,2030,0.845906695
INDIA,NR,UK,2031,0.866964479
INDIA,NR,UK,2032,0.887429032
INDIA,NR,UK,2033,0.906116031
INDIA,NR,UK,2034,0.922888275
INDIA,NR,UK,2035,0.937619954
INDIA,NR,UK,2036,0.950945882
INDIA,NR,UK,2037,0.964458997
INDIA,NR,UK,2038,0.978161845
INDIA,NR,UK,2039,0.992057
INDIA,NR,UK,2040,1.006147069
INDIA,NR,UK,2041,1.020434691
INDIA,NR,HR,2022,1.338449147
INDIA,NR,HR,2023,1.414490407
INDIA,NR,HR,2024,1.49071352
INDIA,NR,HR,2025,1.532193368
INDIA,NR,HR,2026,1.573130708
INDIA,NR,HR,2027,1.613230335
INDIA,NR,HR,2028,1.653399294
INDIA,NR,HR,2029,1.694565239
INDIA,NR,HR,2030,1.736752758
INDIA,NR,HR,2031,1.779987034
