ModelGeography,SubGeography1,SubGeography2,Year,OPC+PPC+PSC+CC+LC3
INDIA,NR,HR,2032,1.822003334
INDIA,NR,HR,2033,1.860370091
INDIA,NR,HR,2034,1.894805616
INDIA,NR,HR,2035,1.925051605
INDIA,NR,HR,2036,1.952411409
INDIA,NR,HR,2037,1.980155534
INDIA,NR,HR,2038,2.008289202
INDIA,NR,HR,2039,2.036817701
INDIA,NR,HR,2040,2.065746384
INDIA,NR,HR,2041,2.095080668
INDIA,NR,DL,2022,0
INDIA,NR,DL,2023,0
INDIA,NR,DL,2024,0
INDIA,NR,DL,2025,0
INDIA,NR,DL,2026,0
INDIA,NR,DL,2027,0
INDIA,NR,DL,2028,0
INDIA,NR,DL,2029,0
INDIA,NR,DL,2030,0
INDIA,NR,DL,2031,0
INDIA,NR,DL,2032,0
INDIA,NR,DL,2033,0
INDIA,NR,DL,2034,0
INDIA,NR,DL,2035,0
INDIA,NR,DL,2036,0
INDIA,NR,DL,2037,0
INDIA,NR,DL,2038,0
INDIA,NR,DL,2039,0
INDIA,NR,DL,2040,0
INDIA,NR,DL,2041,0
INDIA,NR,RJ,2022,13.64186295
INDIA,NR,RJ,2023,14.41689757
INDIA,NR,RJ,2024,15.19378572
INDIA,NR,RJ,2025,15.61656038
INDIA,NR,RJ,2026,16.03380566
INDIA,NR,RJ,2027,16.44251272
INDIA,NR,RJ,2028,16.85192643
INDIA,NR,RJ,2029,17.27150172
INDIA,NR,RJ,2030,17.70148918
INDIA,NR,RJ,2031,18.14214549
INDIA,NR,RJ,2032,18.57038784
INDIA,NR,RJ,2033,18.96143299
INDIA,NR,RJ,2034,19.31240987
INDIA,NR,RJ,2035,19.62068579
INDIA,NR,RJ,2036,19.89954487
INDIA,NR,RJ,2037,20.18232105
INDIA,NR,RJ,2038,20.46906758
INDIA,NR,RJ,2039,20.75983834
INDIA,NR,RJ,2040,21.05468789
INDIA,NR,RJ,2041,21.35367144
INDIA,NR,UP,2022,4.941877505
INDIA,NR,UP,2023,5.222640199
INDIA,NR,UP,2024,5.504074344
INDIA,NR,UP,2025,5.657227957
INDIA,NR,UP,2026,5.808378504
INDIA,NR,UP,2027,5.956436013
INDIA,NR,UP,2028,6.104749511
INDIA,NR,UP,2029,6.256744123
INDIA,NR,UP,2030,6.41251063
INDIA,NR,UP,2031,6.572142019
INDIA,NR,UP,2032,6.727276345
INDIA,NR,UP,2033,6.868935679
INDIA,NR,UP,2034,6.996079954
INDIA,NR,UP,2035,7.107755451
INDIA,NR,UP,2036,7.208774456
INDIA,NR,UP,2037,7.311212464
INDIA,NR,UP,2038,7.415088761
INDIA,NR,UP,2039,7.520422871
INDIA,NR,UP,2040,7.627234554
INDIA,NR,UP,2041,7.735543815
INDIA,WR,GA,2022,0
INDIA,WR,GA,2023,0
INDIA,WR,GA,2024,0
INDIA,WR,GA,2025,0
INDIA,WR,GA,2026,0
INDIA,WR,GA,2027,0
INDIA,WR,GA,2028,0
INDIA,WR,GA,2029,0
INDIA,WR,GA,2030,0
INDIA,WR,GA,2031,0
INDIA,WR,GA,2032,0
INDIA,WR,GA,2033,0
INDIA,WR,GA,2034,0
INDIA,WR,GA,2035,0
INDIA,WR,GA,2036,0
INDIA,WR,GA,2037,0
INDIA,WR,GA,2038,0
INDIA,WR,GA,2039,0
INDIA,WR,GA,2040,0
INDIA,WR,GA,2041,0
INDIA,WR,MH,2022,6.73288107
INDIA,WR,MH,2023,7.11539598
INDIA,WR,MH,2024,7.498825683
INDIA,WR,MH,2025,7.707484247
INDIA,WR,MH,2026,7.913413807
INDIA,WR,MH,2027,8.115129369
INDIA,WR,MH,2028,8.317193694
INDIA,WR,MH,2029,8.524273219
INDIA,WR,MH,2030,8.736491625
INDIA,WR,MH,2031,8.953975598
INDIA,WR,MH,2032,9.165332712
INDIA,WR,MH,2033,9.358331315
INDIA,WR,MH,2034,9.531554403
INDIA,WR,MH,2035,9.683702617
INDIA,WR,MH,2036,9.821332282
INDIA,WR,MH,2037,9.960895216
INDIA,WR,MH,2038,10.1024177
INDIA,WR,MH,2039,10.24592632
INDIA,WR,MH,2040,10.39144801
INDIA,WR,MH,2041,10.53901002
INDIA,WR,GJ,2022,7.146446562
INDIA,WR,GJ,2023,7.552457352
INDIA,WR,GJ,2024,7.959439127
INDIA,WR,GJ,2025,8.18091449
INDIA,WR,GJ,2026,8.39949322
INDIA,WR,GJ,2027,8.613599108
INDIA,WR,GJ,2028,8.828075182
INDIA,WR,GJ,2029,9.047874515
INDIA,WR,GJ,2030,9.273128381
INDIA,WR,GJ,2031,9.503971252
INDIA,WR,GJ,2032,9.728310922
INDIA,WR,GJ,2033,9.933164414
INDIA,WR,GJ,2034,10.11702769
INDIA,WR,GJ,2035,10.27852157
INDIA,WR,GJ,2036,10.4246051
INDIA,WR,GJ,2037,10.57274065
INDIA,WR,GJ,2038,10.72295611
INDIA,WR,GJ,2039,10.87527971
INDIA,WR,GJ,2040,11.02974003
INDIA,WR,GJ,2041,11.186366
INDIA,WR,MP,2022,7.304389619
INDIA,WR,MP,2023,7.719373621
INDIA,WR,MP,2024,8.135350068
INDIA,WR,MP,2025,8.361720241
INDIA,WR,MP,2026,8.585129762
INDIA,WR,MP,2027,8.803967588
INDIA,WR,MP,2028,9.023183782
INDIA,WR,MP,2029,9.247840882
INDIA,WR,MP,2030,9.478073066
INDIA,WR,MP,2031,9.714017777
INDIA,WR,MP,2032,9.943315561
INDIA,WR,MP,2033,10.1526965
INDIA,WR,MP,2034,10.34062332
INDIA,WR,MP,2035,10.50568637
INDIA,WR,MP,2036,10.65499848
INDIA,WR,MP,2037,10.80640796
INDIA,WR,MP,2038,10.95994332
INDIA,WR,MP,2039,11.11563342
INDIA,WR,MP,2040,11.27350746
INDIA,WR,MP,2041,11.433595
INDIA,WR,CG,2022,4.602515457
INDIA,WR,CG,2023,4.863997988
INDIA,WR,CG,2024,5.126105861
INDIA,WR,CG,2025,5.268742313
INDIA,WR,CG,2026,5.40951325
INDIA,WR,CG,2027,5.54740355
INDIA,WR,CG,2028,5.685532261
INDIA,WR,CG,2029,5.827089301
INDIA,WR,CG,2030,5.972159217
INDIA,WR,CG,2031,6.120828611
INDIA,WR,CG,2032,6.265309759
INDIA,WR,CG,2033,6.397241252
INDIA,WR,CG,2034,6.515654444
INDIA,WR,CG,2035,6.619661109
INDIA,WR,CG,2036,6.713743071
INDIA,WR,CG,2037,6.809146592
INDIA,WR,CG,2038,6.905889634
INDIA,WR,CG,2039,7.00399038
INDIA,WR,CG,2040,7.103467233
INDIA,WR,CG,2041,7.204338825
INDIA,SR,AP,2022,11.75047017
INDIA,SR,AP,2023,12.41804917
INDIA,SR,AP,2024,13.0872247
INDIA,SR,AP,2025,13.45138326
INDIA,SR,AP,2026,13.81077905
INDIA,SR,AP,2027,14.16282042
INDIA,SR,AP,2028,14.51547047
INDIA,SR,AP,2029,14.87687323
INDIA,SR,AP,2030,15.24724455
INDIA,SR,AP,2031,15.62680553
INDIA,SR,AP,2032,15.99567369
INDIA,SR,AP,2033,16.33250191
INDIA,SR,AP,2034,16.63481717
INDIA,SR,AP,2035,16.9003518
INDIA,SR,AP,2036,17.14054812
INDIA,SR,AP,2037,17.38411845
INDIA,SR,AP,2038,17.63110866
INDIA,SR,AP,2039,17.88156515
INDIA,SR,AP,2040,18.13553492
INDIA,SR,AP,2041,18.39306553
INDIA,SR,KA,2022,8.56224539
INDIA,SR,KA,2023,9.048691904
INDIA,SR,KA,2024,9.536301766
INDIA,SR,KA,2025,9.801654118
INDIA,SR,KA,2026,10.06353598
INDIA,SR,KA,2027,10.32005887
INDIA,SR,KA,2028,10.57702529
INDIA,SR,KA,2029,10.84036957
INDIA,SR,KA,2030,11.11024899
INDIA,SR,KA,2031,11.38682467
INDIA,SR,KA,2032,11.65560879
INDIA,SR,KA,2033,11.90104627
INDIA,SR,KA,2034,12.12133512
INDIA,SR,KA,2035,12.31482292
INDIA,SR,KA,2036,12.48984739
INDIA,SR,KA,2037,12.66733041
INDIA,SR,KA,2038,12.8473054
INDIA,SR,KA,2039,13.02980618
INDIA,SR,KA,2040,13.21486699
INDIA,SR,KA,2041,13.40252248
INDIA,SR,KL,2022,0.151562922
INDIA,SR,KL,2023,0.160173661
INDIA,SR,KL,2024,0.168804992
INDIA,SR,KL,2025,0.173502075
INDIA,SR,KL,2026,0.178137726
INDIA,SR,KL,2027,0.182678516
INDIA,SR,KL,2028,0.187227157
INDIA,SR,KL,2029,0.191888695
INDIA,SR,KL,2030,0.196665913
INDIA,SR,KL,2031,0.201561663
INDIA,SR,KL,2032,0.206319493
INDIA,SR,KL,2033,0.210664057
INDIA,SR,KL,2034,0.214563457
INDIA,SR,KL,2035,0.217988444
INDIA,SR,KL,2036,0.221086605
INDIA,SR,KL,2037,0.224228287
INDIA,SR,KL,2038,0.227414079
INDIA,SR,KL,2039,0.230644581
INDIA,SR,KL,2040,0.233920399
INDIA,SR,KL,2041,0.237242146
INDIA,SR,TN,2022,7.027485178
INDIA,SR,TN,2023,7.42673742
INDIA,SR,TN,2024,7.826944483
INDIA,SR,TN,2025,8.044733116
INDIA,SR,TN,2026,8.259673335
INDIA,SR,TN,2027,8.470215167
INDIA,SR,TN,2028,8.681121024
INDIA,SR,TN,2029,8.897261526
INDIA,SR,TN,2030,9.118765765
INDIA,SR,TN,2031,9.345765973
INDIA,SR,TN,2032,9.566371234
INDIA,SR,TN,2033,9.767814688
INDIA,SR,TN,2034,9.948617329
INDIA,SR,TN,2035,10.10742295
INDIA,SR,TN,2036,10.25107474
INDIA,SR,TN,2037,10.39674439
INDIA,SR,TN,2038,10.54445933
INDIA,SR,TN,2039,10.69424732
INDIA,SR,TN,2040,10.84613646
INDIA,SR,TN,2041,11.00015519
INDIA,SR,TS,2022,5.61757652
INDIA,SR,TS,2023,5.936727676
INDIA,SR,TS,2024,6.25664209
INDIA,SR,TS,2025,6.430736276
INDIA,SR,TS,2026,6.602553519
INDIA,SR,TS,2027,6.770854813
INDIA,SR,TS,2028,6.939447099
INDIA,SR,TS,2029,7.112223815
INDIA,SR,TS,2030,7.289288153
INDIA,SR,TS,2031,7.470745816
INDIA,SR,TS,2032,7.647091536
INDIA,SR,TS,2033,7.80811984
INDIA,SR,TS,2034,7.952648451
INDIA,SR,TS,2035,8.079593251
INDIA,SR,TS,2036,8.194424504
INDIA,SR,TS,2037,8.31086878
INDIA,SR,TS,2038,8.428948002
INDIA,SR,TS,2039,8.548684362
INDIA,SR,TS,2040,8.670100322
INDIA,SR,TS,2041,8.793218623
INDIA,ER,OD,2022,2.588167214
INDIA,ER,OD,2023,2.735208657
INDIA,ER,OD,2024,2.882601753
INDIA,ER,OD,2025,2.962811584
INDIA,ER,OD,2026,3.041972367
INDIA,ER,OD,2027,3.119513259
INDIA,ER,OD,2028,3.197188218
INDIA,ER,OD,2029,3.276791056
INDIA,ER,OD,2030,3.358369315
INDIA,ER,OD,2031,3.441971696
INDIA,ER,OD,2032,3.523218869
INDIA,ER,OD,2033,3.5974089
INDIA,ER,OD,2034,3.663997083
INDIA,ER,OD,2035,3.722483936
INDIA,ER,OD,2036,3.775389754
INDIA,ER,OD,2037,3.829038735
INDIA,ER,OD,2038,3.88344098
INDIA,ER,OD,2039,3.938606712
INDIA,ER,OD,2040,3.994546281
INDIA,ER,OD,2041,4.051270163
INDIA,ER,JH,2022,2.32828183
INDIA,ER,JH,2023,2.460558415
INDIA,ER,JH,2024,2.593151342
INDIA,ER,JH,2025,2.665307072
INDIA,ER,JH,2026,2.73651909
INDIA,ER,JH,2027,2.806273876
INDIA,ER,JH,2028,2.876149267
INDIA,ER,JH,2029,2.947758952
INDIA,ER,JH,2030,3.021145702
INDIA,ER,JH,2031,3.096353325
INDIA,ER,JH,2032,3.169442234
INDIA,ER,JH,2033,3.236182629
INDIA,ER,JH,2034,3.296084499
INDIA,ER,JH,2035,3.348698516
INDIA,ER,JH,2036,3.396291908
INDIA,ER,JH,2037,3.444553839
INDIA,ER,JH,2038,3.493493397
INDIA,ER,JH,2039,3.543119777
INDIA,ER,JH,2040,3.593442292
INDIA,ER,JH,2041,3.644470364
INDIA,ER,WB,2022,4.279757094
INDIA,ER,WB,2023,4.522902767
INDIA,ER,WB,2024,4.766629929
INDIA,ER,WB,2025,4.899263783
INDIA,ER,WB,2026,5.030162946
INDIA,ER,WB,2027,5.15838348
INDIA,ER,WB,2028,5.286825706
INDIA,ER,WB,2029,5.418455844
INDIA,ER,WB,2030,5.553352513
INDIA,ER,WB,2031,5.69159624
INDIA,ER,WB,2032,5.825945429
INDIA,ER,WB,2033,5.948625026
INDIA,ER,WB,2034,6.058734314
INDIA,ER,WB,2035,6.155447355
INDIA,ER,WB,2036,6.242931676
INDIA,ER,WB,2037,6.331644881
INDIA,ER,WB,2038,6.421603671
INDIA,ER,WB,2039,6.512824954
INDIA,ER,WB,2040,6.605325842
INDIA,ER,WB,2041,6.69912366
INDIA,ER,SK,2022,0
INDIA,ER,SK,2023,0
INDIA,ER,SK,2024,0
INDIA,ER,SK,2025,0
INDIA,ER,SK,2026,0
INDIA,ER,SK,2027,0
INDIA,ER,SK,2028,0
INDIA,ER,SK,2029,0
INDIA,ER,SK,2030,0
INDIA,ER,SK,2031,0
INDIA,ER,SK,2032,0
INDIA,ER,SK,2033,0
INDIA,ER,SK,2034,0
INDIA,ER,SK,2035,0
INDIA,ER,SK,2036,0
INDIA,ER,SK,2037,0
INDIA,ER,SK,2038,0
INDIA,ER,SK,2039,0
INDIA,ER,SK,2040,0
INDIA,ER,SK,2041,0
INDIA,ER,BR,2022,1.858303712
INDIA,ER,BR,2023,1.963879449
INDIA,ER,BR,2024,2.069707672
INDIA,ER,BR,2025,2.12729832
INDIA,ER,BR,2026,2.184135751
INDIA,ER,BR,2027,2.239810101
INDIA,ER,BR,2028,2.295580711
INDIA,ER,BR,2029,2.352735538
INDIA,ER,BR,2030,2.411308717
INDIA,ER,BR,2031,2.471335216
INDIA,ER,BR,2032,2.529670675
INDIA,ER,BR,2033,2.582939107
INDIA,ER,BR,2034,2.630749414
INDIA,ER,BR,2035,2.672742966
INDIA,ER,BR,2036,2.710729337
INDIA,ER,BR,2037,2.749249298
INDIA,ER,BR,2038,2.788310102
INDIA,ER,BR,2039,2.82791909
INDIA,ER,BR,2040,2.868083693
INDIA,ER,BR,2041,2.908811433
INDIA,NER,NE,2022,2.739370477
INDIA,NER,NE,2023,2.895002225
INDIA,NER,NE,2024,3.05100617
INDIA,NER,NE,2025,3.135901938
INDIA,NER,NE,2026,3.219687371
INDIA,NER,NE,2027,3.301758278
INDIA,NER,NE,2028,3.383971084
INDIA,NER,NE,2029,3.468224398
INDIA,NER,NE,2030,3.554568539
INDIA,NER,NE,2031,3.643055053
INDIA,NER,NE,2032,3.729048765
INDIA,NER,NE,2033,3.807573051
INDIA,NER,NE,2034,3.878051381
INDIA,NER,NE,2035,3.939955092
INDIA,NER,NE,2036,3.995951721
INDIA,NER,NE,2037,4.052734928
INDIA,NER,NE,2038,4.110315405
INDIA,NER,NE,2039,4.168703973
INDIA,NER,NE,2040,4.227911586
INDIA,NER,NE,2041,4.287949333
INDIA,NER,AS,2022,0
INDIA,NER,AS,2023,0
INDIA,NER,AS,2024,0
INDIA,NER,AS,2025,0
INDIA,NER,AS,2026,0
INDIA,NER,AS,2027,0
INDIA,NER,AS,2028,0
INDIA,NER,AS,2029,0
INDIA,NER,AS,2030,0
INDIA,NER,AS,2031,0
INDIA,NER,AS,2032,0
INDIA,NER,AS,2033,0
INDIA,NER,AS,2034,0
INDIA,NER,AS,2035,0
INDIA,NER,AS,2036,0
INDIA,NER,AS,2037,0
INDIA,NER,AS,2038,0
INDIA,NER,AS,2039,0
INDIA,NER,AS,2040,0
INDIA,NER,AS,2041,0
