ModelGeography,SubGeography1,SubGeography2,Year,LC3+OPC+PPC+PSC+CC
INDIA,WR,GA,2028,0
INDIA,WR,GA,2029,0
INDIA,WR,GA,2030,0
INDIA,WR,GA,2031,0
INDIA,WR,GA,2032,0
INDIA,WR,GA,2033,0
INDIA,WR,GA,2034,0
INDIA,WR,GA,2035,0
INDIA,WR,GA,2036,0
INDIA,WR,GA,2037,0
INDIA,WR,GA,2038,0
INDIA,WR,GA,2039,0
INDIA,WR,GA,2040,0
INDIA,WR,GA,2041,0
INDIA,WR,MH,2022,0.049873193
INDIA,WR,MH,2023,0.052706637
INDIA,WR,MH,2024,0.055546857
INDIA,WR,MH,2025,0.067282835
INDIA,WR,MH,2026,0.081410594
INDIA,WR,MH,2027,0.098387042
INDIA,WR,MH,2028,0.118835085
INDIA,WR,MH,2029,0.143532627
INDIA,WR,MH,2030,0.173362734
INDIA,WR,MH,2031,0.209391957
INDIA,WR,MH,2032,0.252590919
INDIA,WR,MH,2033,0.303943824
INDIA,WR,MH,2034,0.364824542
INDIA,WR,MH,2035,0.436804564
INDIA,WR,MH,2036,0.522085385
INDIA,WR,MH,2037,0.624014831
INDIA,WR,MH,2038,0.745842744
INDIA,WR,MH,2039,0.891453275
INDIA,WR,MH,2040,1.065488665
INDIA,WR,MH,2041,1.273497188
INDIA,WR,GJ,2022,0.052936641
INDIA,WR,GJ,2023,0.055944129
INDIA,WR,GJ,2024,0.058958808
INDIA,WR,GJ,2025,0.071415666
INDIA,WR,GJ,2026,0.086411219
INDIA,WR,GJ,2027,0.104430441
INDIA,WR,GJ,2028,0.126134499
INDIA,WR,GJ,2029,0.152349082
INDIA,WR,GJ,2030,0.184011495
INDIA,WR,GJ,2031,0.222253804
INDIA,WR,GJ,2032,0.268106251
INDIA,WR,GJ,2033,0.322613495
INDIA,WR,GJ,2034,0.387233796
INDIA,WR,GJ,2035,0.463635172
INDIA,WR,GJ,2036,0.554154346
INDIA,WR,GJ,2037,0.662344781
INDIA,WR,GJ,2038,0.791655943
INDIA,WR,GJ,2039,0.946210564
INDIA,WR,GJ,2040,1.130936033
INDIA,WR,GJ,2041,1.351721426
INDIA,WR,MP,2022,0.05410659
INDIA,WR,MP,2023,0.057180545
INDIA,WR,MP,2024,0.060261852
INDIA,WR,MP,2025,0.072994018
INDIA,WR,MP,2026,0.088320987
INDIA,WR,MP,2027,0.10673845
INDIA,WR,MP,2028,0.128922188
INDIA,WR,MP,2029,0.155716137
INDIA,WR,MP,2030,0.188078319
INDIA,WR,MP,2031,0.227165818
INDIA,WR,MP,2032,0.274031647
INDIA,WR,MP,2033,0.329743551
INDIA,WR,MP,2034,0.39579202
INDIA,WR,MP,2035,0.473881937
INDIA,WR,MP,2036,0.566401668
INDIA,WR,MP,2037,0.676983212
INDIA,WR,MP,2038,0.809152269
INDIA,WR,MP,2039,0.967122689
INDIA,WR,MP,2040,1.155930761
INDIA,WR,MP,2041,1.381595716
INDIA,WR,CG,2022,0.034092707
INDIA,WR,CG,2023,0.036029615
INDIA,WR,CG,2024,0.037971155
INDIA,WR,CG,2025,0.045993726
INDIA,WR,CG,2026,0.05565129
INDIA,WR,CG,2027,0.067256183
INDIA,WR,CG,2028,0.081234216
INDIA,WR,CG,2029,0.098117155
INDIA,WR,CG,2030,0.118508652
INDIA,WR,CG,2031,0.14313779
INDIA,WR,CG,2032,0.172668074
INDIA,WR,CG,2033,0.207772294
INDIA,WR,CG,2034,0.249389611
INDIA,WR,CG,2035,0.298594277
INDIA,WR,CG,2036,0.356891208
INDIA,WR,CG,2037,0.426568934
INDIA,WR,CG,2038,0.509849011
INDIA,WR,CG,2039,0.609386596
INDIA,WR,CG,2040,0.728355068
INDIA,WR,CG,2041,0.87054716
INDIA,SR,AP,2022,0.08704052
INDIA,SR,AP,2023,0.091985549
INDIA,SR,AP,2024,0.096942405
INDIA,SR,AP,2025,0.117424464
INDIA,SR,AP,2026,0.142080745
INDIA,SR,AP,2027,0.171708662
INDIA,SR,AP,2028,0.207395334
INDIA,SR,AP,2029,0.250498388
INDIA,SR,AP,2030,0.30255898
INDIA,SR,AP,2031,0.365438498
INDIA,SR,AP,2032,0.440830905
INDIA,SR,AP,2033,0.530453872
INDIA,SR,AP,2034,0.636705127
INDIA,SR,AP,2035,0.762327292
INDIA,SR,AP,2036,0.911162499
INDIA,SR,AP,2037,1.089053493
INDIA,SR,AP,2038,1.301672021
INDIA,SR,AP,2039,1.555796843
INDIA,SR,AP,2040,1.859529767
INDIA,SR,AP,2041,2.222553846
INDIA,SR,KA,2022,0.06342404
INDIA,SR,KA,2023,0.067027347
INDIA,SR,KA,2024,0.070639272
INDIA,SR,KA,2025,0.085563987
INDIA,SR,KA,2026,0.103530343
INDIA,SR,KA,2027,0.125119394
INDIA,SR,KA,2028,0.151123293
INDIA,SR,KA,2029,0.182531306
INDIA,SR,KA,2030,0.220466432
INDIA,SR,KA,2031,0.266285013
INDIA,SR,KA,2032,0.321221392
INDIA,SR,KA,2033,0.386527191
INDIA,SR,KA,2034,0.463949566
INDIA,SR,KA,2035,0.555486993
INDIA,SR,KA,2036,0.663939127
INDIA,SR,KA,2037,0.793563417
INDIA,SR,KA,2038,0.948492708
INDIA,SR,KA,2039,1.133666497
INDIA,SR,KA,2040,1.354988349
INDIA,SR,KA,2041,1.619514041
INDIA,SR,KL,2022,0.001122688
INDIA,SR,KL,2023,0.001186472
INDIA,SR,KL,2024,0.001250407
INDIA,SR,KL,2025,0.001514594
INDIA,SR,KL,2026,0.001832622
INDIA,SR,KL,2027,0.002214777
INDIA,SR,KL,2028,0.00267508
INDIA,SR,KL,2029,0.003231042
INDIA,SR,KL,2030,0.003902544
INDIA,SR,KL,2031,0.004713592
INDIA,SR,KL,2032,0.005686038
INDIA,SR,KL,2033,0.006842036
INDIA,SR,KL,2034,0.008212513
INDIA,SR,KL,2035,0.009832845
INDIA,SR,KL,2036,0.011752589
INDIA,SR,KL,2037,0.014047109
INDIA,SR,KL,2038,0.016789559
INDIA,SR,KL,2039,0.020067377
INDIA,SR,KL,2040,0.023985063
INDIA,SR,KL,2041,0.028667513
INDIA,SR,TN,2022,0.052055446
INDIA,SR,TN,2023,0.05501287
INDIA,SR,TN,2024,0.057977367
INDIA,SR,TN,2025,0.070226865
INDIA,SR,TN,2026,0.084972798
INDIA,SR,TN,2027,0.102692068
INDIA,SR,TN,2028,0.124034836
INDIA,SR,TN,2029,0.149813044
INDIA,SR,TN,2030,0.180948398
INDIA,SR,TN,2031,0.218554117
INDIA,SR,TN,2032,0.263643293
INDIA,SR,TN,2033,0.317243197
INDIA,SR,TN,2034,0.380787813
INDIA,SR,TN,2035,0.455917395
INDIA,SR,TN,2036,0.544929766
INDIA,SR,TN,2037,0.651319239
INDIA,SR,TN,2038,0.778477857
INDIA,SR,TN,2039,0.930459726
INDIA,SR,TN,2040,1.112110213
INDIA,SR,TN,2041,1.329220362
INDIA,SR,TS,2022,0.041611678
INDIA,SR,TS,2023,0.043975761
INDIA,SR,TS,2024,0.046345497
INDIA,SR,TS,2025,0.056137406
INDIA,SR,TS,2026,0.067924895
INDIA,SR,TS,2027,0.082089188
INDIA,SR,TS,2028,0.099150004
INDIA,SR,TS,2029,0.119756388
INDIA,SR,TS,2030,0.144645125
INDIA,SR,TS,2031,0.174706092
INDIA,SR,TS,2032,0.210749128
INDIA,SR,TS,2033,0.253595403
INDIA,SR,TS,2034,0.304391205
INDIA,SR,TS,2035,0.364447706
INDIA,SR,TS,2036,0.435601724
INDIA,SR,TS,2037,0.520646514
INDIA,SR,TS,2038,0.622293583
INDIA,SR,TS,2039,0.743783669
INDIA,SR,TS,2040,0.888990024
INDIA,SR,TS,2041,1.062541849
INDIA,ER,OD,2022,0.019171609
INDIA,ER,OD,2023,0.020260805
INDIA,ER,OD,2024,0.021352606
INDIA,ER,OD,2025,0.025863999
INDIA,ER,OD,2026,0.03129481
INDIA,ER,OD,2027,0.037820676
INDIA,ER,OD,2028,0.045681049
INDIA,ER,OD,2029,0.055174959
INDIA,ER,OD,2030,0.066641864
INDIA,ER,OD,2031,0.080491753
INDIA,ER,OD,2032,0.09709774
INDIA,ER,OD,2033,0.116838161
INDIA,ER,OD,2034,0.14024114
INDIA,ER,OD,2035,0.167910771
INDIA,ER,OD,2036,0.200693323
INDIA,ER,OD,2037,0.239875725
INDIA,ER,OD,2038,0.286707238
INDIA,ER,OD,2039,0.342680959
INDIA,ER,OD,2040,0.409581396
INDIA,ER,OD,2041,0.489541347
INDIA,ER,JH,2022,0.017246532
INDIA,ER,JH,2023,0.018226359
INDIA,ER,JH,2024,0.019208528
INDIA,ER,JH,2025,0.02326692
INDIA,ER,JH,2026,0.028152407
INDIA,ER,JH,2027,0.034022993
INDIA,ER,JH,2028,0.041094082
INDIA,ER,JH,2029,0.049634682
INDIA,ER,JH,2030,0.059950161
INDIA,ER,JH,2031,0.072409342
INDIA,ER,JH,2032,0.087347874
INDIA,ER,JH,2033,0.105106102
INDIA,ER,JH,2034,0.12615912
INDIA,ER,JH,2035,0.151050363
INDIA,ER,JH,2036,0.180541124
INDIA,ER,JH,2037,0.215789107
INDIA,ER,JH,2038,0.257918132
INDIA,ER,JH,2039,0.308271369
INDIA,ER,JH,2040,0.368454139
INDIA,ER,JH,2041,0.440385079
INDIA,ER,WB,2022,0.031701904
INDIA,ER,WB,2023,0.033502983
INDIA,ER,WB,2024,0.03530837
INDIA,ER,WB,2025,0.042768347
INDIA,ER,WB,2026,0.051748659
INDIA,ER,WB,2027,0.062539741
INDIA,ER,WB,2028,0.075537544
INDIA,ER,WB,2029,0.091236541
INDIA,ER,WB,2030,0.110198054
INDIA,ER,WB,2031,0.133100036
INDIA,ER,WB,2032,0.160559464
INDIA,ER,WB,2033,0.193201948
INDIA,ER,WB,2034,0.231900787
INDIA,ER,WB,2035,0.277654901
INDIA,ER,WB,2036,0.331863671
INDIA,ER,WB,2037,0.396655142
INDIA,ER,WB,2038,0.474095078
INDIA,ER,WB,2039,0.566652439
INDIA,ER,WB,2040,0.677278066
INDIA,ER,WB,2041,0.809498723
INDIA,ER,SK,2022,0
INDIA,ER,SK,2023,0
INDIA,ER,SK,2024,0
INDIA,ER,SK,2025,0
INDIA,ER,SK,2026,0
INDIA,ER,SK,2027,0
INDIA,ER,SK,2028,0
INDIA,ER,SK,2029,0
INDIA,ER,SK,2030,0
INDIA,ER,SK,2031,0
INDIA,ER,SK,2032,0
INDIA,ER,SK,2033,0
INDIA,ER,SK,2034,0
INDIA,ER,SK,2035,0
INDIA,ER,SK,2036,0
INDIA,ER,SK,2037,0
INDIA,ER,SK,2038,0
INDIA,ER,SK,2039,0
INDIA,ER,SK,2040,0
INDIA,ER,SK,2041,0
INDIA,ER,BR,2022,0.013765213
INDIA,ER,BR,2023,0.014547255
INDIA,ER,BR,2024,0.015331168
INDIA,ER,BR,2025,0.018570348
INDIA,ER,BR,2026,0.022469669
INDIA,ER,BR,2027,0.027155241
INDIA,ER,BR,2028,0.032798987
INDIA,ER,BR,2029,0.039615613
INDIA,ER,BR,2030,0.047848849
INDIA,ER,BR,2031,0.057793068
INDIA,ER,BR,2032,0.069716164
INDIA,ER,BR,2033,0.083889784
INDIA,ER,BR,2034,0.10069312
INDIA,ER,BR,2035,0.120559911
INDIA,ER,BR,2036,0.144097779
INDIA,ER,BR,2037,0.172230738
INDIA,ER,BR,2038,0.205855759
INDIA,ER,BR,2039,0.246044882
INDIA,ER,BR,2040,0.294079387
INDIA,ER,BR,2041,0.351490622
INDIA,NER,NE,2022,0.020291633
INDIA,NER,NE,2023,0.021444461
INDIA,NER,NE,2024,0.022600046
INDIA,NER,NE,2025,0.027374999
INDIA,NER,NE,2026,0.033123083
INDIA,NER,NE,2027,0.040030197
INDIA,NER,NE,2028,0.048349781
INDIA,NER,NE,2029,0.058398335
INDIA,NER,NE,2030,0.070535147
INDIA,NER,NE,2031,0.08519416
INDIA,NER,NE,2032,0.102770285
INDIA,NER,NE,2033,0.12366396
INDIA,NER,NE,2034,0.148434165
INDIA,NER,NE,2035,0.177720283
INDIA,NER,NE,2036,0.212418024
INDIA,NER,NE,2037,0.253889499
INDIA,NER,NE,2038,0.303456956
INDIA,NER,NE,2039,0.362700716
INDIA,NER,NE,2040,0.433509542
INDIA,NER,NE,2041,0.518140832
INDIA,NER,AS,2022,0
INDIA,NER,AS,2023,0
INDIA,NER,AS,2024,0
INDIA,NER,AS,2025,0
INDIA,NER,AS,2026,0
INDIA,NER,AS,2027,0
INDIA,NER,AS,2028,0
INDIA,NER,AS,2029,0
INDIA,NER,AS,2030,0
INDIA,NER,AS,2031,0
INDIA,NER,AS,2032,0
INDIA,NER,AS,2033,0
INDIA,NER,AS,2034,0
INDIA,NER,AS,2035,0
INDIA,NER,AS,2036,0
INDIA,NER,AS,2037,0
INDIA,NER,AS,2038,0
INDIA,NER,AS,2039,0
INDIA,NER,AS,2040,0
INDIA,NER,AS,2041,0
