ModelGeography,SubGeography1,SubGeography2,Year,LC3+OPC+PPC+PSC+CC
INDIA,NR,JK,2022,0.001185085
INDIA,NR,HP,2022,0.018625532
INDIA,NR,JK,2023,0.001252413
INDIA,NR,JK,2024,0.001319903
INDIA,NR,JK,2025,0.001598773
INDIA,NR,JK,2026,0.001934476
INDIA,NR,JK,2027,0.00233787
INDIA,NR,JK,2028,0.002823755
INDIA,NR,JK,2029,0.003410618
INDIA,NR,JK,2030,0.00411944
INDIA,NR,JK,2031,0.004975565
INDIA,NR,JK,2032,0.006002057
INDIA,NR,JK,2033,0.007222303
INDIA,NR,JK,2034,0.008668949
INDIA,NR,JK,2035,0.010379336
INDIA,NR,JK,2036,0.012405776
INDIA,NR,JK,2037,0.01482782
INDIA,NR,JK,2038,0.017722691
INDIA,NR,JK,2039,0.021182683
INDIA,NR,JK,2040,0.025318106
INDIA,NR,JK,2041,0.030260798
INDIA,NR,HP,2023,0.019683703
INDIA,NR,HP,2024,0.020744406
INDIA,NR,HP,2025,0.025127298
INDIA,NR,HP,2026,0.030403419
INDIA,NR,HP,2027,0.036743406
INDIA,NR,HP,2028,0.044379886
INDIA,NR,HP,2029,0.053603376
INDIA,NR,HP,2030,0.064743661
INDIA,NR,HP,2031,0.078199055
INDIA,NR,HP,2032,0.094332043
INDIA,NR,HP,2033,0.113510185
INDIA,NR,HP,2034,0.136246562
INDIA,NR,HP,2035,0.163128061
INDIA,NR,HP,2036,0.194976847
INDIA,NR,HP,2037,0.233043191
INDIA,NR,HP,2038,0.278540773
INDIA,NR,HP,2039,0.332920158
INDIA,NR,HP,2040,0.397915027
INDIA,NR,HP,2041,0.475597428
INDIA,NR,PB,2022,0.008706161
INDIA,NR,PB,2023,0.009200784
INDIA,NR,PB,2024,0.00969659
INDIA,NR,PB,2025,0.011745292
INDIA,NR,PB,2026,0.014211518
INDIA,NR,PB,2027,0.017175027
INDIA,NR,PB,2028,0.020744559
INDIA,NR,PB,2029,0.025055909
INDIA,NR,PB,2030,0.03026323
INDIA,NR,PB,2031,0.036552706
INDIA,NR,PB,2032,0.044093773
INDIA,NR,PB,2033,0.053058242
INDIA,NR,PB,2034,0.063685942
INDIA,NR,PB,2035,0.076251203
INDIA,NR,PB,2036,0.09113833
INDIA,NR,PB,2037,0.108931741
INDIA,NR,PB,2038,0.130198746
INDIA,NR,PB,2039,0.155617387
INDIA,NR,PB,2040,0.185998039
INDIA,NR,PB,2041,0.222309245
INDIA,NR,UK,2022,0.004828948
INDIA,NR,UK,2023,0.005103295
INDIA,NR,UK,2024,0.005378298
INDIA,NR,UK,2025,0.006514629
INDIA,NR,UK,2026,0.007882543
INDIA,NR,UK,2027,0.009526279
INDIA,NR,UK,2028,0.011506151
INDIA,NR,UK,2029,0.013897479
INDIA,NR,UK,2030,0.016785765
INDIA,NR,UK,2031,0.020274278
INDIA,NR,UK,2032,0.024456997
INDIA,NR,UK,2033,0.029429218
INDIA,NR,UK,2034,0.035323965
INDIA,NR,UK,2035,0.042293397
INDIA,NR,UK,2036,0.050550672
INDIA,NR,UK,2037,0.060419943
INDIA,NR,UK,2038,0.072215873
INDIA,NR,UK,2039,0.086314544
INDIA,NR,UK,2040,0.103165439
INDIA,NR,UK,2041,0.123305767
INDIA,NR,HR,2022,0.009914438
INDIA,NR,HR,2023,0.010477707
INDIA,NR,HR,2024,0.011042322
INDIA,NR,HR,2025,0.013375352
INDIA,NR,HR,2026,0.01618385
INDIA,NR,HR,2027,0.019558648
INDIA,NR,HR,2028,0.023623575
INDIA,NR,HR,2029,0.028533271
INDIA,NR,HR,2030,0.034463286
INDIA,NR,HR,2031,0.04162564
INDIA,NR,HR,2032,0.050213289
INDIA,NR,HR,2033,0.060421883
INDIA,NR,HR,2034,0.072524539
INDIA,NR,HR,2035,0.086833659
INDIA,NR,HR,2036,0.103786883
INDIA,NR,HR,2037,0.124049736
INDIA,NR,HR,2038,0.148268264
INDIA,NR,HR,2039,0.177214607
INDIA,NR,HR,2040,0.211811612
INDIA,NR,HR,2041,0.253162236
INDIA,NR,DL,2022,0
INDIA,NR,DL,2023,0
INDIA,NR,DL,2024,0
INDIA,NR,DL,2025,0
INDIA,NR,DL,2026,0
INDIA,NR,DL,2027,0
INDIA,NR,DL,2028,0
INDIA,NR,DL,2029,0
INDIA,NR,DL,2030,0
INDIA,NR,DL,2031,0
INDIA,NR,DL,2032,0
INDIA,NR,DL,2033,0
INDIA,NR,DL,2034,0
INDIA,NR,DL,2035,0
INDIA,NR,DL,2036,0
INDIA,NR,DL,2037,0
INDIA,NR,DL,2038,0
INDIA,NR,DL,2039,0
INDIA,NR,DL,2040,0
INDIA,NR,DL,2041,0
INDIA,NR,RJ,2022,0.101050837
INDIA,NR,RJ,2023,0.106791834
INDIA,NR,RJ,2024,0.112546561
INDIA,NR,RJ,2025,0.136325477
INDIA,NR,RJ,2026,0.16495051
INDIA,NR,RJ,2027,0.199347431
INDIA,NR,RJ,2028,0.240778342
INDIA,NR,RJ,2029,0.2908194
INDIA,NR,RJ,2030,0.351259829
INDIA,NR,RJ,2031,0.424260633
INDIA,NR,RJ,2032,0.51178844
INDIA,NR,RJ,2033,0.615837403
INDIA,NR,RJ,2034,0.739191195
INDIA,NR,RJ,2035,0.8850339
INDIA,NR,RJ,2036,1.057826092
INDIA,NR,RJ,2037,1.264350982
INDIA,NR,RJ,2038,1.51119326
INDIA,NR,RJ,2039,1.806222816
INDIA,NR,RJ,2040,2.15884555
INDIA,NR,RJ,2041,2.580303131
INDIA,NR,UP,2022,0.0366065
INDIA,NR,UP,2023,0.038686224
INDIA,NR,UP,2024,0.040770921
INDIA,NR,UP,2025,0.04938503
INDIA,NR,UP,2026,0.059754684
INDIA,NR,UP,2027,0.072215253
INDIA,NR,UP,2028,0.087223943
INDIA,NR,UP,2029,0.105351729
INDIA,NR,UP,2030,0.127246774
INDIA,NR,UP,2031,0.153691918
INDIA,NR,UP,2032,0.185399589
INDIA,NR,UP,2033,0.223092185
INDIA,NR,UP,2034,0.267778114
INDIA,NR,UP,2035,0.320610839
INDIA,NR,UP,2036,0.383206237
INDIA,NR,UP,2037,0.458021584
INDIA,NR,UP,2038,0.547442238
INDIA,NR,UP,2039,0.65431913
INDIA,NR,UP,2040,0.782059628
INDIA,NR,UP,2041,0.934736117
INDIA,WR,GA,2022,0
INDIA,WR,GA,2023,0
INDIA,WR,GA,2024,0
INDIA,WR,GA,2025,0
INDIA,WR,GA,2026,0
INDIA,WR,GA,2027,0
