ModelGeography,SubGeography1,SubGeography2,Year,PSC+OPC+PPC+CC+LC3
INDIA,WR,MH,2033,3.143761584
INDIA,WR,MH,2034,3.295465702
INDIA,WR,MH,2035,3.445850155
INDIA,WR,MH,2036,3.596890589
INDIA,WR,MH,2037,3.75454292
INDIA,WR,MH,2038,3.919095998
INDIA,WR,MH,2039,4.090851249
INDIA,WR,MH,2040,4.270123222
INDIA,WR,MH,2041,4.457240159
INDIA,WR,GJ,2022,1.852782442
INDIA,WR,GJ,2023,1.958044499
INDIA,WR,GJ,2024,2.063558292
INDIA,WR,GJ,2025,2.182920946
INDIA,WR,GJ,2026,2.30670001
INDIA,WR,GJ,2027,2.434582902
INDIA,WR,GJ,2028,2.56807566
INDIA,WR,GJ,2029,2.708882947
INDIA,WR,GJ,2030,2.857405141
INDIA,WR,GJ,2031,3.014064503
INDIA,WR,GJ,2032,3.175314523
INDIA,WR,GJ,2033,3.336866333
INDIA,WR,GJ,2034,3.497888838
INDIA,WR,GJ,2035,3.657510617
INDIA,WR,GJ,2036,3.81782867
INDIA,WR,GJ,2037,3.985164756
INDIA,WR,GJ,2038,4.159825464
INDIA,WR,GJ,2039,4.342130738
INDIA,WR,GJ,2040,4.532414446
INDIA,WR,GJ,2041,4.731024992
INDIA,WR,MP,2022,1.893730642
INDIA,WR,MP,2023,2.001319087
INDIA,WR,MP,2024,2.109164833
INDIA,WR,MP,2025,2.231165511
INDIA,WR,MP,2026,2.357680207
INDIA,WR,MP,2027,2.488389428
INDIA,WR,MP,2028,2.624832499
INDIA,WR,MP,2029,2.768751757
INDIA,WR,MP,2030,2.920556428
INDIA,WR,MP,2031,3.080678107
INDIA,WR,MP,2032,3.2454919
INDIA,WR,MP,2033,3.410614155
INDIA,WR,MP,2034,3.575195405
INDIA,WR,MP,2035,3.738344973
INDIA,WR,MP,2036,3.902206203
INDIA,WR,MP,2037,4.07324057
INDIA,WR,MP,2038,4.251761442
INDIA,WR,MP,2039,4.438095829
INDIA,WR,MP,2040,4.632584983
INDIA,WR,MP,2041,4.835585005
INDIA,WR,CG,2022,1.193244748
INDIA,WR,CG,2023,1.261036515
INDIA,WR,CG,2024,1.328990408
INDIA,WR,CG,2025,1.405863362
INDIA,WR,CG,2026,1.485580611
INDIA,WR,CG,2027,1.567940842
INDIA,WR,CG,2028,1.653913986
INDIA,WR,CG,2029,1.744597895
INDIA,WR,CG,2030,1.840250426
INDIA,WR,CG,2031,1.941143524
INDIA,WR,CG,2032,2.044993136
INDIA,WR,CG,2033,2.149037111
INDIA,WR,CG,2034,2.252740198
INDIA,WR,CG,2035,2.355541177
INDIA,WR,CG,2036,2.458790577
INDIA,WR,CG,2037,2.56655979
INDIA,WR,CG,2038,2.679046269
INDIA,WR,CG,2039,2.796456065
INDIA,WR,CG,2040,2.919004202
INDIA,WR,CG,2041,3.046915059
INDIA,SR,AP,2022,3.046418191
INDIA,SR,AP,2023,3.219494229
INDIA,SR,AP,2024,3.392984182
INDIA,SR,AP,2025,3.589244979
INDIA,SR,AP,2026,3.792767414
INDIA,SR,AP,2027,4.003037525
INDIA,SR,AP,2028,4.222531598
INDIA,SR,AP,2029,4.45405251
INDIA,SR,AP,2030,4.698258577
INDIA,SR,AP,2031,4.955844098
INDIA,SR,AP,2032,5.22097776
INDIA,SR,AP,2033,5.486607637
INDIA,SR,AP,2034,5.75136721
INDIA,SR,AP,2035,6.013823654
INDIA,SR,AP,2036,6.277424941
INDIA,SR,AP,2037,6.552565553
INDIA,SR,AP,2038,6.8397496
INDIA,SR,AP,2039,7.139503142
INDIA,SR,AP,2040,7.452375143
INDIA,SR,AP,2041,7.77893846
INDIA,SR,KA,2022,2.219841397
INDIA,SR,KA,2023,2.34595716
INDIA,SR,KA,2024,2.472374532
INDIA,SR,KA,2025,2.615384393
INDIA,SR,KA,2026,2.76368561
INDIA,SR,KA,2027,2.916903674
INDIA,SR,KA,2028,3.076842986
INDIA,SR,KA,2029,3.245545926
INDIA,SR,KA,2030,3.423492191
INDIA,SR,KA,2031,3.611187696
INDIA,SR,KA,2032,3.804383325
INDIA,SR,KA,2033,3.997940533
INDIA,SR,KA,2034,4.190863573
INDIA,SR,KA,2035,4.382108387
INDIA,SR,KA,2036,4.574187416
INDIA,SR,KA,2037,4.774674835
INDIA,SR,KA,2038,4.983937975
INDIA,SR,KA,2039,5.202360161
INDIA,SR,KA,2040,5.430341409
INDIA,SR,KA,2041,5.668299143
INDIA,SR,KL,2022,0.039294091
INDIA,SR,KL,2023,0.041526505
INDIA,SR,KL,2024,0.043764257
INDIA,SR,KL,2025,0.046295718
INDIA,SR,KL,2026,0.048920844
INDIA,SR,KL,2027,0.051633003
INDIA,SR,KL,2028,0.054464138
INDIA,SR,KL,2029,0.0574504
INDIA,SR,KL,2030,0.060600281
INDIA,SR,KL,2031,0.063922737
INDIA,SR,KL,2032,0.067342552
INDIA,SR,KL,2033,0.070768767
INDIA,SR,KL,2034,0.074183757
INDIA,SR,KL,2035,0.07756904
INDIA,SR,KL,2036,0.080969089
INDIA,SR,KL,2037,0.084517978
INDIA,SR,KL,2038,0.088222209
INDIA,SR,KL,2039,0.092088567
INDIA,SR,KL,2040,0.096124133
INDIA,SR,KL,2041,0.100336295
INDIA,SR,TN,2022,1.821940602
INDIA,SR,TN,2023,1.925450442
INDIA,SR,TN,2024,2.029207829
INDIA,SR,TN,2025,2.146583544
INDIA,SR,TN,2026,2.268302154
INDIA,SR,TN,2027,2.394056278
INDIA,SR,TN,2028,2.525326885
INDIA,SR,TN,2029,2.663790262
INDIA,SR,TN,2030,2.809840122
INDIA,SR,TN,2031,2.963891696
INDIA,SR,TN,2032,3.122457511
INDIA,SR,TN,2033,3.281320093
INDIA,SR,TN,2034,3.43966218
INDIA,SR,TN,2035,3.596626858
INDIA,SR,TN,2036,3.754276221
INDIA,SR,TN,2037,3.918826792
INDIA,SR,TN,2038,4.090580058
INDIA,SR,TN,2039,4.269850636
INDIA,SR,TN,2040,4.456966838
INDIA,SR,TN,2041,4.652271268
INDIA,SR,TS,2022,1.456408728
INDIA,SR,TS,2023,1.53915162
INDIA,SR,TS,2024,1.622092394
INDIA,SR,TS,2025,1.715919281
INDIA,SR,TS,2026,1.813217759
INDIA,SR,TS,2027,1.913742114
INDIA,SR,TS,2028,2.018676192
INDIA,SR,TS,2029,2.12935997
INDIA,SR,TS,2030,2.246108173
INDIA,SR,TS,2031,2.369252724
INDIA,SR,TS,2032,2.496005833
INDIA,SR,TS,2033,2.62299617
INDIA,SR,TS,2034,2.749570438
INDIA,SR,TS,2035,2.875043644
INDIA,SR,TS,2036,3.001064167
INDIA,SR,TS,2037,3.132601324
INDIA,SR,TS,2038,3.269896116
INDIA,SR,TS,2039,3.413200038
INDIA,SR,TS,2040,3.562775534
INDIA,SR,TS,2041,3.718896473
INDIA,ER,OD,2022,0.671006315
INDIA,ER,OD,2023,0.70912817
INDIA,ER,OD,2024,0.747341195
INDIA,ER,OD,2025,0.790569743
INDIA,ER,OD,2026,0.835397744
INDIA,ER,OD,2027,0.881711994
INDIA,ER,OD,2028,0.93005792
INDIA,ER,OD,2029,0.981052887
INDIA,ER,OD,2030,1.034841895
INDIA,ER,OD,2031,1.091577872
INDIA,ER,OD,2032,1.149976407
INDIA,ER,OD,2033,1.20848424
INDIA,ER,OD,2034,1.266800378
INDIA,ER,OD,2035,1.324609228
INDIA,ER,OD,2036,1.382670241
INDIA,ER,OD,2037,1.443272915
INDIA,ER,OD,2038,1.506528285
INDIA,ER,OD,2039,1.572552221
INDIA,ER,OD,2040,1.641465638
INDIA,ER,OD,2041,1.713394715
INDIA,ER,JH,2022,0.603628623
INDIA,ER,JH,2023,0.637922552
INDIA,ER,JH,2024,0.672298496
INDIA,ER,JH,2025,0.71118634
INDIA,ER,JH,2026,0.751513032
INDIA,ER,JH,2027,0.793176733
INDIA,ER,JH,2028,0.836668104
INDIA,ER,JH,2029,0.882542518
INDIA,ER,JH,2030,0.930930416
INDIA,ER,JH,2031,0.981969368
INDIA,ER,JH,2032,1.034503937
INDIA,ER,JH,2033,1.087136829
INDIA,ER,JH,2034,1.139597274
INDIA,ER,JH,2035,1.19160137
INDIA,ER,JH,2036,1.243832308
INDIA,ER,JH,2037,1.298349692
INDIA,ER,JH,2038,1.355253406
INDIA,ER,JH,2039,1.414647687
INDIA,ER,JH,2040,1.476641308
INDIA,ER,JH,2041,1.541347777
INDIA,ER,WB,2022,1.109566654
INDIA,ER,WB,2023,1.172604421
INDIA,ER,WB,2024,1.235792944
INDIA,ER,WB,2025,1.307275066
INDIA,ER,WB,2026,1.381402022
INDIA,ER,WB,2027,1.457986617
INDIA,ER,WB,2028,1.537930764
INDIA,ER,WB,2029,1.622255327
INDIA,ER,WB,2030,1.711200079
INDIA,ER,WB,2031,1.805017896
INDIA,ER,WB,2032,1.901584897
INDIA,ER,WB,2033,1.998332631
INDIA,ER,WB,2034,2.094763382
INDIA,ER,WB,2035,2.190355287
INDIA,ER,WB,2036,2.286364166
INDIA,ER,WB,2037,2.3865759
INDIA,ER,WB,2038,2.491174094
INDIA,ER,WB,2039,2.600350351
INDIA,ER,WB,2040,2.714304614
INDIA,ER,WB,2041,2.833245529
INDIA,ER,SK,2022,0
INDIA,ER,SK,2023,0
INDIA,ER,SK,2024,0
INDIA,ER,SK,2025,0
INDIA,ER,SK,2026,0
INDIA,ER,SK,2027,0
INDIA,ER,SK,2028,0
INDIA,ER,SK,2029,0
INDIA,ER,SK,2030,0
INDIA,ER,SK,2031,0
INDIA,ER,SK,2032,0
INDIA,ER,SK,2033,0
INDIA,ER,SK,2034,0
INDIA,ER,SK,2035,0
INDIA,ER,SK,2036,0
INDIA,ER,SK,2037,0
INDIA,ER,SK,2038,0
INDIA,ER,SK,2039,0
INDIA,ER,SK,2040,0
INDIA,ER,SK,2041,0
INDIA,ER,BR,2022,0.481782444
INDIA,ER,BR,2023,0.509153931
INDIA,ER,BR,2024,0.536590878
INDIA,ER,BR,2025,0.567628969
INDIA,ER,BR,2026,0.599815468
INDIA,ER,BR,2027,0.633069093
INDIA,ER,BR,2028,0.667781462
INDIA,ER,BR,2029,0.704395841
INDIA,ER,BR,2030,0.743016342
INDIA,ER,BR,2031,0.783752765
INDIA,ER,BR,2032,0.825682906
INDIA,ER,BR,2033,0.867691522
INDIA,ER,BR,2034,0.909562501
INDIA,ER,BR,2035,0.951069248
INDIA,ER,BR,2036,0.992757048
INDIA,ER,BR,2037,1.036269759
INDIA,ER,BR,2038,1.081687106
INDIA,ER,BR,2039,1.129092284
INDIA,ER,BR,2040,1.178572108
INDIA,ER,BR,2041,1.230217175
INDIA,NER,NE,2022,0.710207161
INDIA,NER,NE,2023,0.750556132
INDIA,NER,NE,2024,0.7910016
INDIA,NER,NE,2025,0.836755602
INDIA,NER,NE,2026,0.884202499
INDIA,NER,NE,2027,0.933222472
INDIA,NER,NE,2028,0.984392814
INDIA,NER,NE,2029,1.038366957
INDIA,NER,NE,2030,1.095298372
INDIA,NER,NE,2031,1.15534892
INDIA,NER,NE,2032,1.217159155
INDIA,NER,NE,2033,1.279085072
INDIA,NER,NE,2034,1.340808097
INDIA,NER,NE,2035,1.401994196
INDIA,NER,NE,2036,1.463447191
INDIA,NER,NE,2037,1.527590332
INDIA,NER,NE,2038,1.594541143
INDIA,NER,NE,2039,1.664422262
INDIA,NER,NE,2040,1.737361668
INDIA,NER,NE,2041,1.813492912
INDIA,NER,AS,2022,0
INDIA,NER,AS,2023,0
INDIA,NER,AS,2024,0
INDIA,NER,AS,2025,0
INDIA,NER,AS,2026,0
INDIA,NER,AS,2027,0
INDIA,NER,AS,2028,0
INDIA,NER,AS,2029,0
INDIA,NER,AS,2030,0
INDIA,NER,AS,2031,0
INDIA,NER,AS,2032,0
INDIA,NER,AS,2033,0
INDIA,NER,AS,2034,0
INDIA,NER,AS,2035,0
INDIA,NER,AS,2036,0
INDIA,NER,AS,2037,0
INDIA,NER,AS,2038,0
INDIA,NER,AS,2039,0
INDIA,NER,AS,2040,0
INDIA,NER,AS,2041,0
