ModelGeography,SubGeography1,SubGeography2,Year,PSC+OPC+PPC+CC+LC3
INDIA,NR,JK,2022,0.041477981
INDIA,NR,HP,2022,0.651893613
INDIA,NR,JK,2023,0.043834468
INDIA,NR,JK,2024,0.04619659
INDIA,NR,JK,2025,0.048868745
INDIA,NR,JK,2026,0.05163977
INDIA,NR,JK,2027,0.054502666
INDIA,NR,JK,2028,0.05749115
INDIA,NR,JK,2029,0.060643383
INDIA,NR,JK,2030,0.063968328
INDIA,NR,JK,2031,0.06747544
INDIA,NR,JK,2032,0.071085321
INDIA,NR,JK,2033,0.074701959
INDIA,NR,JK,2034,0.078306747
INDIA,NR,JK,2035,0.081880177
INDIA,NR,JK,2036,0.085469195
INDIA,NR,JK,2037,0.089215325
INDIA,NR,JK,2038,0.09312543
INDIA,NR,JK,2039,0.097206672
INDIA,NR,JK,2040,0.101466527
INDIA,NR,JK,2041,0.105912793
INDIA,NR,HP,2023,0.688929619
INDIA,NR,HP,2024,0.726054198
INDIA,NR,HP,2025,0.768051439
INDIA,NR,HP,2026,0.811602576
INDIA,NR,HP,2027,0.856597627
INDIA,NR,HP,2028,0.903566485
INDIA,NR,HP,2029,0.95310893
INDIA,NR,HP,2030,1.005365831
INDIA,NR,HP,2031,1.060485761
INDIA,NR,HP,2032,1.117220893
INDIA,NR,HP,2033,1.17406221
INDIA,NR,HP,2034,1.230717292
INDIA,NR,HP,2035,1.286879536
INDIA,NR,HP,2036,1.34328676
INDIA,NR,HP,2037,1.402163249
INDIA,NR,HP,2038,1.463616876
INDIA,NR,HP,2039,1.52776021
INDIA,NR,HP,2040,1.594710722
INDIA,NR,HP,2041,1.664590997
INDIA,NR,PB,2022,0.304715644
INDIA,NR,PB,2023,0.322027442
INDIA,NR,PB,2024,0.339380642
INDIA,NR,PB,2025,0.359011478
INDIA,NR,PB,2026,0.379368653
INDIA,NR,PB,2027,0.40040076
INDIA,NR,PB,2028,0.422355486
INDIA,NR,PB,2029,0.445513188
INDIA,NR,PB,2030,0.469939713
INDIA,NR,PB,2031,0.495704507
INDIA,NR,PB,2032,0.522224298
INDIA,NR,PB,2033,0.548793723
INDIA,NR,PB,2034,0.575276096
INDIA,NR,PB,2035,0.601528101
INDIA,NR,PB,2036,0.627894617
INDIA,NR,PB,2037,0.655415346
INDIA,NR,PB,2038,0.68414071
INDIA,NR,PB,2039,0.714123329
INDIA,NR,PB,2040,0.745418111
INDIA,NR,PB,2041,0.778082356
INDIA,NR,UK,2022,0.169013197
INDIA,NR,UK,2023,0.178615337
INDIA,NR,UK,2024,0.188240441
INDIA,NR,UK,2025,0.199128856
INDIA,NR,UK,2026,0.210420141
INDIA,NR,UK,2027,0.222085783
INDIA,NR,UK,2028,0.234263164
INDIA,NR,UK,2029,0.247107786
INDIA,NR,UK,2030,0.260656171
INDIA,NR,UK,2031,0.27494684
INDIA,NR,UK,2032,0.289656274
INDIA,NR,UK,2033,0.304393238
INDIA,NR,UK,2034,0.319081918
INDIA,NR,UK,2035,0.333642822
INDIA,NR,UK,2036,0.348267241
INDIA,NR,UK,2037,0.363531854
INDIA,NR,UK,2038,0.379464628
INDIA,NR,UK,2039,0.396094749
INDIA,NR,UK,2040,0.413452674
INDIA,NR,UK,2041,0.431570183
INDIA,NR,HR,2022,0.347005335
INDIA,NR,HR,2023,0.366719735
INDIA,NR,HR,2024,0.386481283
INDIA,NR,HR,2025,0.408836567
INDIA,NR,HR,2026,0.432018995
INDIA,NR,HR,2027,0.455970024
INDIA,NR,HR,2028,0.480971718
INDIA,NR,HR,2029,0.50734334
INDIA,NR,HR,2030,0.535159879
INDIA,NR,HR,2031,0.564500417
INDIA,NR,HR,2032,0.594700734
INDIA,NR,HR,2033,0.624957573
INDIA,NR,HR,2034,0.655115279
INDIA,NR,HR,2035,0.685010645
INDIA,NR,HR,2036,0.715036415
INDIA,NR,HR,2037,0.746376584
INDIA,NR,HR,2038,0.779088572
INDIA,NR,HR,2039,0.813232301
INDIA,NR,HR,2040,0.848870302
INDIA,NR,HR,2041,0.886067826
INDIA,NR,DL,2022,0
INDIA,NR,DL,2023,0
INDIA,NR,DL,2024,0
INDIA,NR,DL,2025,0
INDIA,NR,DL,2026,0
INDIA,NR,DL,2027,0
INDIA,NR,DL,2028,0
INDIA,NR,DL,2029,0
INDIA,NR,DL,2030,0
INDIA,NR,DL,2031,0
INDIA,NR,DL,2032,0
INDIA,NR,DL,2033,0
INDIA,NR,DL,2034,0
INDIA,NR,DL,2035,0
INDIA,NR,DL,2036,0
INDIA,NR,DL,2037,0
INDIA,NR,DL,2038,0
INDIA,NR,DL,2039,0
INDIA,NR,DL,2040,0
INDIA,NR,DL,2041,0
INDIA,NR,RJ,2022,3.536779283
INDIA,NR,RJ,2023,3.737714186
INDIA,NR,RJ,2024,3.93912963
INDIA,NR,RJ,2025,4.166981185
INDIA,NR,RJ,2026,4.403263234
INDIA,NR,RJ,2027,4.647379085
INDIA,NR,RJ,2028,4.902203617
INDIA,NR,RJ,2029,5.170990866
INDIA,NR,RJ,2030,5.454505114
INDIA,NR,RJ,2031,5.753552413
INDIA,NR,RJ,2032,6.061362826
INDIA,NR,RJ,2033,6.369749328
INDIA,NR,RJ,2034,6.677125437
INDIA,NR,RJ,2035,6.981827699
INDIA,NR,RJ,2036,7.287859081
INDIA,NR,RJ,2037,7.607287195
INDIA,NR,RJ,2038,7.940697293
INDIA,NR,RJ,2039,8.288700112
INDIA,NR,RJ,2040,8.651932978
INDIA,NR,RJ,2041,9.031060958
INDIA,NR,UP,2022,1.281227501
INDIA,NR,UP,2023,1.354017829
INDIA,NR,UP,2024,1.426982237
INDIA,NR,UP,2025,1.509523345
INDIA,NR,UP,2026,1.595118468
INDIA,NR,UP,2027,1.683551451
INDIA,NR,UP,2028,1.775863742
INDIA,NR,UP,2029,1.873234142
INDIA,NR,UP,2030,1.97593952
INDIA,NR,UP,2031,2.084271874
INDIA,NR,UP,2032,2.195778737
INDIA,NR,UP,2033,2.307494294
INDIA,NR,UP,2034,2.418843828
INDIA,NR,UP,2035,2.529224739
INDIA,NR,UP,2036,2.640087134
INDIA,NR,UP,2037,2.755802606
INDIA,NR,UP,2038,2.876583167
INDIA,NR,UP,2039,3.002650062
INDIA,NR,UP,2040,3.134234167
INDIA,NR,UP,2041,3.271576409
INDIA,WR,GA,2022,0
INDIA,WR,GA,2023,0
INDIA,WR,GA,2024,0
INDIA,WR,GA,2025,0
INDIA,WR,GA,2026,0
INDIA,WR,GA,2027,0
INDIA,WR,GA,2028,0
INDIA,WR,GA,2029,0
INDIA,WR,GA,2030,0
INDIA,WR,GA,2031,0
INDIA,WR,GA,2032,0
INDIA,WR,GA,2033,0
INDIA,WR,GA,2034,0
INDIA,WR,GA,2035,0
INDIA,WR,GA,2036,0
INDIA,WR,GA,2037,0
INDIA,WR,GA,2038,0
INDIA,WR,GA,2039,0
INDIA,WR,GA,2040,0
INDIA,WR,GA,2041,0
INDIA,WR,MH,2022,1.745561759
INDIA,WR,MH,2023,1.844732291
INDIA,WR,MH,2024,1.944139992
INDIA,WR,MH,2025,2.056595118
INDIA,WR,MH,2026,2.173211077
INDIA,WR,MH,2027,2.293693375
INDIA,WR,MH,2028,2.419460895
INDIA,WR,MH,2029,2.552119652
INDIA,WR,MH,2030,2.692046854
INDIA,WR,MH,2031,2.839640325
INDIA,WR,MH,2032,2.991558791
