EnergyCarrier,EmissionType,DemandSector,EnergyService,ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Emission
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2031,79596.2938408803
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2031,1525.5414912729032
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2021,122117.3393116177
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2021,7874.654182730886
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2021,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2021,2586.037791187833
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2021,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2022,130226.74910397221
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2022,8515.388284925508
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2022,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2022,2793.786278661534
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2022,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2023,136166.74714336166
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2023,9029.12449978608
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2023,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2023,2959.2149513608274
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2023,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2024,142241.0003563567
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2024,9565.630705782583
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2024,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2024,3131.4215047601506
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2024,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2025,148433.62819893262
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2025,10124.635674428117
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2025,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2025,3310.2362641744808
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2025,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2026,154803.91767813292
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2026,10711.053196087303
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2026,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2026,3497.177875467092
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2026,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2027,161326.93914979036
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2027,11324.136611392907
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2027,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2027,3691.9060714372577
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2027,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2028,168113.92597579464
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2028,11972.802698303454
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2028,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2028,3897.2211593592415
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2028,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2029,175175.01681487102
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2029,12659.145229543517
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2029,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2029,4113.682044224915
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2029,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2030,182520.71284153327
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2030,13385.382393360496
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2030,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2030,4341.876066532433
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2030,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2031,190161.88965226582
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2031,14153.864187057701
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2031,0.0
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2031,4582.420381225468
COKING_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2031,0.0
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2021,32710.108590011354
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2022,37193.079484638365
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2023,40823.02275747155
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2024,44028.90559574712
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2025,47607.79084299919
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2026,50554.731515922525
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2027,53411.41810847992
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2028,57361.221268416324
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2029,59752.360800061724
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2030,62718.78093576858
NATGAS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2031,66044.44082335586
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2021,11355.333207943539
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2022,12242.466611458975
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2023,12985.045875838161
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2024,13612.156233323918
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2025,14381.699693558458
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2026,14991.314099393636
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2027,15613.350410436076
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2028,16590.760374584588
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2029,17157.86377552783
