EnergyStorTech,ModelGeography,InstYear,Year,FixedCost,Efficiency
FOURHR_BATTERY,INDIA,2020,2021,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2022,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2023,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2024,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2025,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2026,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2027,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2028,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2029,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2030,4534.443069,0.8
FOURHR_BATTERY,INDIA,2020,2031,4534.443069,0.8
FOURHR_BATTERY,INDIA,2021,2021,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2022,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2023,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2024,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2025,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2026,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2027,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2028,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2029,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2030,4396.174264,0.8
FOURHR_BATTERY,INDIA,2021,2031,4396.174264,0.8
FOURHR_BATTERY,INDIA,2022,2022,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2023,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2024,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2025,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2026,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2027,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2028,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2029,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2030,4152.298195,0.8
FOURHR_BATTERY,INDIA,2022,2031,4152.298195,0.8
FOURHR_BATTERY,INDIA,2023,2023,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2024,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2025,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2026,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2027,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2028,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2029,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2030,3930.452404,0.8
FOURHR_BATTERY,INDIA,2023,2031,3930.452404,0.8
FOURHR_BATTERY,INDIA,2024,2024,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2025,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2026,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2027,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2028,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2029,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2030,3701.452184,0.8
FOURHR_BATTERY,INDIA,2024,2031,3701.452184,0.8
FOURHR_BATTERY,INDIA,2025,2025,3461.719774,0.8
FOURHR_BATTERY,INDIA,2025,2026,3461.719774,0.8
FOURHR_BATTERY,INDIA,2025,2027,3461.719774,0.8
FOURHR_BATTERY,INDIA,2025,2028,3461.719774,0.8
FOURHR_BATTERY,INDIA,2025,2029,3461.719774,0.8
FOURHR_BATTERY,INDIA,2025,2030,3461.719774,0.8
FOURHR_BATTERY,INDIA,2025,2031,3461.719774,0.8
FOURHR_BATTERY,INDIA,2026,2026,3210.917487,0.8
FOURHR_BATTERY,INDIA,2026,2027,3210.917487,0.8
FOURHR_BATTERY,INDIA,2026,2028,3210.917487,0.8
FOURHR_BATTERY,INDIA,2026,2029,3210.917487,0.8
FOURHR_BATTERY,INDIA,2026,2030,3210.917487,0.8
FOURHR_BATTERY,INDIA,2026,2031,3210.917487,0.8
FOURHR_BATTERY,INDIA,2027,2027,3106.536292,0.8
FOURHR_BATTERY,INDIA,2027,2028,3106.536292,0.8
FOURHR_BATTERY,INDIA,2027,2029,3106.536292,0.8
FOURHR_BATTERY,INDIA,2027,2030,3106.536292,0.8
FOURHR_BATTERY,INDIA,2027,2031,3106.536292,0.8
